step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.25,0.5,0.25,0.1,1.5,27.0327,0.25,0.25,0.0815
1,0.25,0.5,0.25,0.1,1.5,27.0327,0.25,0.25,0.0726
2,0.2498,0.4689,0.2498,0.1004,1.0576,18.4032,0.2376,0.2498,0.0715
3,0.2501,0.5501,0.2501,0.1003,1.0325,18.3774,0.2955,0.2501,0.0821
4,0.3015,0.5803,0.3015,0.1901,0.9865,18.3507,0.3179,0.3015,0.0708
5,0.2728,0.6732,0.2728,0.1525,0.8435,9.8263,0.4207,0.2728,0.0677
6,0.2515,0.6846,0.2515,0.1032,0.8654,9.8399,0.4398,0.2515,0.0767
7,0.3498,0.6945,0.3498,0.2316,0.8334,9.8215,0.4667,0.3498,0.0811
8,0.2934,0.7085,0.2934,0.1815,0.8471,9.8071,0.4701,0.2934,0.0721
9,0.3149,0.7005,0.3149,0.2136,0.8112,9.7667,0.4586,0.3149,0.0695
10,0.4155,0.7269,0.4155,0.36,0.7763,9.728,0.5098,0.4155,0.0719
11,0.4825,0.717,0.4825,0.4333,0.7672,9.7205,0.4922,0.4825,0.0838
12,0.4834,0.7372,0.4834,0.4283,0.7538,9.7041,0.532,0.4834,0.0756
13,0.4453,0.723,0.4453,0.3895,0.7613,9.7135,0.5115,0.4453,0.0635
14,0.4501,0.7429,0.4501,0.3927,0.7484,9.6912,0.5423,0.4501,0.0621
15,0.4144,0.7392,0.4144,0.3429,0.7589,9.7074,0.5403,0.4144,0.064
16,0.496,0.7269,0.496,0.4312,0.7383,9.6873,0.5224,0.496,0.0658
17,0.5467,0.753,0.5467,0.4868,0.7228,9.6611,0.5582,0.5467,0.0607
18,0.5613,0.7523,0.5613,0.494,0.7117,9.6447,0.5577,0.5613,0.0789
19,0.5705,0.763,0.5705,0.5,0.709,9.6443,0.5771,0.5705,0.0958
20,0.5767,0.7747,0.5767,0.5094,0.6978,9.6283,0.6021,0.5767,0.0691
21,0.571,0.7711,0.571,0.5065,0.7054,9.6305,0.5846,0.571,0.0649
22,0.5838,0.7809,0.5838,0.5057,0.7019,9.6329,0.5939,0.5838,0.0657
23,0.5974,0.7933,0.5974,0.5229,0.6869,9.6116,0.6281,0.5974,0.0742
24,0.5855,0.7914,0.5855,0.512,0.6868,9.6109,0.6235,0.5855,0.0951
25,0.5804,0.8333,0.5804,0.5122,0.6494,1.3263,0.6639,0.5804,0.0743
26,0.5887,0.8231,0.5887,0.5205,0.6616,1.8846,0.6593,0.5887,0.0669
27,0.5877,0.8229,0.5877,0.5202,0.6544,1.5483,0.6568,0.5877,0.0675
28,0.5758,0.8309,0.5758,0.507,0.6367,1.2529,0.6516,0.5758,0.069
29,0.6015,0.8424,0.6015,0.5291,0.6209,1.2471,0.6747,0.6015,0.0669
30,0.598,0.8298,0.598,0.5305,0.63,1.2907,0.6591,0.598,0.0681
31,0.5884,0.8311,0.5884,0.5264,0.6358,1.2986,0.646,0.5884,0.0723
32,0.6025,0.8304,0.6025,0.5249,0.6247,1.2798,0.6609,0.6025,0.0645
33,0.6059,0.8745,0.6059,0.528,0.5914,1.1362,0.7328,0.6059,0.0704
34,0.5903,0.856,0.5903,0.5136,0.6081,1.1757,0.6914,0.5903,0.075
35,0.5901,0.8589,0.5901,0.5231,0.6205,1.2139,0.6914,0.5901,0.0674
36,0.6092,0.8896,0.6092,0.531,0.5971,1.1536,0.7504,0.6092,0.0651
37,0.6212,0.9121,0.6212,0.5506,0.5605,1.0576,0.8003,0.6212,0.0724
38,0.6171,0.8926,0.6171,0.5382,0.5759,1.092,0.7547,0.6171,0.0657
39,0.6213,0.8979,0.6213,0.5492,0.5724,1.0768,0.7665,0.6213,0.0665
40,0.6387,0.8956,0.6387,0.604,0.5599,1.0414,0.7683,0.6387,0.0892
41,0.6092,0.8798,0.6092,0.5406,0.5725,1.0777,0.7368,0.6092,0.0684
42,0.614,0.8871,0.614,0.559,0.5629,1.0579,0.7431,0.614,0.0739
43,0.6278,0.9017,0.6278,0.564,0.5581,1.0549,0.7785,0.6278,0.0665
44,0.6353,0.9146,0.6353,0.5727,0.5422,1.0239,0.8043,0.6353,0.06
45,0.6592,0.9111,0.6592,0.6197,0.5311,1.0006,0.7961,0.6592,0.0675
46,0.6676,0.9121,0.6676,0.6343,0.5355,1.0099,0.8028,0.6676,0.0645
47,0.6548,0.9146,0.6548,0.6078,0.5303,1.0005,0.8059,0.6548,0.0656
48,0.6669,0.9219,0.6669,0.6292,0.5234,0.9888,0.8235,0.6669,0.076
49,0.6426,0.9046,0.6426,0.601,0.535,1.0096,0.784,0.6426,0.0793
50,0.6578,0.917,0.6578,0.6151,0.5268,0.9949,0.8148,0.6578,0.0624
51,0.6293,0.9093,0.6293,0.5658,0.5304,1.0057,0.797,0.6293,0.0815
52,0.669,0.9162,0.669,0.6341,0.5205,0.9838,0.8136,0.669,0.0792
53,0.6523,0.9194,0.6523,0.6103,0.5222,0.9884,0.816,0.6523,0.0752
54,0.6769,0.9211,0.6769,0.6473,0.5085,0.9654,0.8221,0.6769,0.0691
55,0.7193,0.9253,0.7193,0.7093,0.505,0.9534,0.8283,0.7193,0.067
56,0.7,0.9286,0.7,0.6778,0.4952,0.9393,0.8362,0.7,0.0696
57,0.6641,0.9216,0.6641,0.6325,0.5145,0.9722,0.8202,0.6641,0.0725
58,0.7032,0.924,0.7032,0.685,0.5023,0.9517,0.826,0.7032,0.0873
59,0.74,0.9335,0.74,0.733,0.4941,0.9345,0.8444,0.74,0.0708
