step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7655,0.9376,0.7655,0.7537,0.4792,0.9135,0.8516,0.7655,0.1958
1,0.7629,0.9452,0.7629,0.7663,0.4888,0.9175,0.8686,0.7629,0.5007
2,0.7806,0.9445,0.7806,0.7776,0.4542,0.8719,0.8657,0.7806,0.6077
3,0.8208,0.9481,0.8208,0.8191,0.4488,0.8631,0.8696,0.8208,0.696
4,0.8362,0.9509,0.8362,0.8358,0.4479,0.8564,0.8726,0.8362,0.7707
5,0.8331,0.952,0.8331,0.8333,0.4561,0.8726,0.8738,0.8331,0.8778
6,0.8412,0.9572,0.8412,0.8399,0.4453,0.8569,0.8883,0.8412,1.0427
7,0.8482,0.9576,0.8482,0.8482,0.4487,0.8596,0.8892,0.8482,1.1316
8,0.8519,0.9588,0.8519,0.8515,0.4503,0.8634,0.8927,0.8519,1.155
9,0.8529,0.959,0.8529,0.8528,0.451,0.863,0.8921,0.8529,1.2972
10,0.857,0.9596,0.857,0.8567,0.4532,0.8677,0.8922,0.857,1.6657
11,0.8567,0.9608,0.8567,0.857,0.4512,0.8647,0.8966,0.8567,1.8044
12,0.8539,0.9609,0.8539,0.854,0.4536,0.8671,0.8974,0.8539,1.7925
13,0.855,0.9615,0.855,0.8549,0.4537,0.8662,0.896,0.855,1.9016
14,0.8548,0.9611,0.8548,0.8546,0.4591,0.876,0.8976,0.8548,1.8651
15,0.8532,0.9599,0.8532,0.8528,0.4619,0.8805,0.8937,0.8532,2.0375
16,0.8534,0.9602,0.8534,0.8532,0.4609,0.8793,0.8959,0.8534,2.4003
17,0.8561,0.9611,0.8561,0.8558,0.4602,0.8782,0.8972,0.8561,2.6377
18,0.8573,0.9624,0.8573,0.8574,0.4559,0.8705,0.9018,0.8573,2.4666
19,0.8534,0.9617,0.8534,0.8535,0.4546,0.8684,0.8998,0.8534,2.5427
20,0.8611,0.9637,0.8611,0.8612,0.4571,0.8705,0.9044,0.8611,2.8695
21,0.8597,0.963,0.8597,0.8597,0.4542,0.8679,0.9035,0.8597,3.2199
22,0.8571,0.9624,0.8571,0.8571,0.4523,0.8648,0.9018,0.8571,3.0592
23,0.8602,0.9642,0.8602,0.8601,0.4491,0.8596,0.9048,0.8602,3.0554
24,0.8587,0.9638,0.8587,0.8583,0.444,0.8517,0.9032,0.8587,3.5415
25,0.8632,0.9646,0.8632,0.863,0.4444,0.8528,0.9063,0.8632,3.816
26,0.8597,0.9633,0.8597,0.8593,0.4454,0.8549,0.9027,0.8597,3.6425
27,0.861,0.9631,0.861,0.8608,0.4454,0.8545,0.9023,0.861,3.7419
28,0.8576,0.9631,0.8576,0.8574,0.4504,0.8616,0.9025,0.8576,4.2871
29,0.857,0.9627,0.857,0.8566,0.4539,0.8668,0.9017,0.857,4.1321
30,0.8557,0.9634,0.8557,0.8552,0.4526,0.8652,0.9021,0.8557,4.1725
31,0.857,0.963,0.857,0.8566,0.4542,0.8675,0.9009,0.857,4.6655
32,0.8591,0.9634,0.8591,0.8587,0.4456,0.8535,0.9019,0.8591,4.3989
33,0.8608,0.9639,0.8608,0.8607,0.4459,0.8551,0.9049,0.8608,4.8541
34,0.864,0.9642,0.864,0.8638,0.4455,0.8534,0.9045,0.864,4.9546
35,0.8568,0.9621,0.8568,0.8565,0.4525,0.8636,0.898,0.8568,4.5819
