step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3835,0.7314,0.3835,0.2716,0.7775,9.7397,0.5387,0.3835,0.135
1,0.5133,0.9118,0.5133,0.508,0.5956,1.089,0.8105,0.5133,0.311
2,0.5803,0.9142,0.5803,0.5891,0.5748,1.0529,0.8181,0.5803,0.3518
3,0.6886,0.9303,0.6886,0.698,0.5208,0.9675,0.8443,0.6886,0.3859
4,0.7451,0.9299,0.7451,0.7496,0.5042,0.9457,0.8445,0.7451,0.3711
5,0.7311,0.9317,0.7311,0.7308,0.5048,0.9472,0.8477,0.7311,0.3803
6,0.763,0.935,0.763,0.7646,0.4991,0.9344,0.8505,0.763,0.3615
7,0.7904,0.9427,0.7904,0.7913,0.4777,0.9007,0.8634,0.7904,0.4352
8,0.7925,0.9459,0.7925,0.7938,0.4763,0.9002,0.8711,0.7925,0.4507
9,0.8096,0.946,0.8096,0.8105,0.4683,0.8863,0.8679,0.8096,0.5221
10,0.8109,0.9448,0.8109,0.8117,0.4647,0.8801,0.8661,0.8109,0.5136
11,0.8117,0.9479,0.8117,0.8135,0.4656,0.8754,0.8697,0.8117,0.5036
12,0.8098,0.9478,0.8098,0.8125,0.4726,0.8855,0.8685,0.8098,0.571
13,0.8068,0.9472,0.8068,0.809,0.4764,0.894,0.8692,0.8068,0.5942
14,0.8229,0.9527,0.8229,0.8245,0.4633,0.8724,0.8814,0.8229,0.6032
15,0.8207,0.953,0.8207,0.8228,0.4631,0.8715,0.8823,0.8207,0.6092
16,0.8293,0.9538,0.8293,0.8307,0.4551,0.8603,0.8827,0.8293,0.6025
17,0.833,0.9565,0.833,0.8343,0.4483,0.8508,0.8917,0.833,0.6252
18,0.8433,0.9588,0.8433,0.8443,0.4428,0.8437,0.8953,0.8433,0.6549
19,0.8481,0.9589,0.8481,0.849,0.4383,0.8359,0.8955,0.8481,0.6919
20,0.8462,0.9575,0.8462,0.8471,0.4353,0.8308,0.8934,0.8462,0.6582
21,0.8491,0.9586,0.8491,0.8498,0.4353,0.8308,0.8937,0.8491,0.7088
22,0.849,0.9594,0.849,0.8498,0.4328,0.8257,0.8965,0.849,0.7491
23,0.8516,0.9596,0.8516,0.8523,0.435,0.8284,0.8961,0.8516,0.7644
24,0.8542,0.9587,0.8542,0.8543,0.4327,0.8264,0.8942,0.8542,0.7892
25,0.8536,0.961,0.8536,0.8544,0.4347,0.8299,0.8997,0.8536,0.8107
26,0.8509,0.9583,0.8509,0.8515,0.4343,0.8274,0.8929,0.8509,0.8488
27,0.8549,0.9595,0.8549,0.8555,0.4342,0.8278,0.8967,0.8549,0.8746
28,0.858,0.9619,0.858,0.8586,0.4302,0.8221,0.902,0.858,0.869
29,0.8574,0.9617,0.8574,0.8581,0.4302,0.821,0.9011,0.8574,0.8911
30,0.8489,0.9598,0.8489,0.8499,0.443,0.8398,0.8948,0.8489,0.952
31,0.8541,0.9593,0.8541,0.8546,0.4365,0.8306,0.8961,0.8541,0.8656
32,0.8572,0.9605,0.8572,0.8577,0.4272,0.8161,0.8971,0.8572,0.936
33,0.8579,0.9609,0.8579,0.8581,0.4336,0.8275,0.8972,0.8579,0.9896
34,0.8586,0.9612,0.8586,0.8592,0.4299,0.8208,0.8993,0.8586,1.0142
35,0.8557,0.9599,0.8557,0.8561,0.4367,0.8312,0.8954,0.8557,1.0426
36,0.8558,0.9599,0.8558,0.8559,0.433,0.8254,0.896,0.8558,1.0873
37,0.8585,0.961,0.8585,0.8587,0.4341,0.8264,0.8987,0.8585,1.0302
38,0.8589,0.9616,0.8589,0.8592,0.4294,0.8204,0.8999,0.8589,1.0844
39,0.8599,0.9609,0.8599,0.8602,0.4384,0.8323,0.8965,0.8599,1.1127
40,0.8614,0.9618,0.8614,0.8618,0.4371,0.8309,0.8997,0.8614,1.0928
41,0.8574,0.9608,0.8574,0.8581,0.4422,0.8386,0.8974,0.8574,1.1019
42,0.8586,0.9614,0.8586,0.8592,0.4382,0.8324,0.8992,0.8586,1.2479
43,0.8573,0.9609,0.8573,0.8578,0.4415,0.837,0.8975,0.8573,1.2129
