step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0036,0.5044,0.0036,0.0022,1.9176,35.7088,0.0042,0.0036,0.2203
1,0.009,0.5088,0.009,0.0066,1.8192,35.3949,0.009,0.009,0.1814
2,0.0136,0.5125,0.0136,0.0088,1.7151,35.1232,0.0126,0.0136,0.1823
3,0.0174,0.5168,0.0174,0.0126,1.7019,34.8172,0.0172,0.0173,0.1851
4,0.0207,0.5197,0.0207,0.0137,1.6256,34.617,0.0205,0.0207,0.1857
5,0.0233,0.5235,0.0233,0.0164,1.5683,34.3515,0.024,0.0233,0.1891
6,0.0256,0.5272,0.0256,0.0183,1.4659,34.089,0.0262,0.0256,0.1911
7,0.0268,0.5292,0.0268,0.02,1.4876,33.9553,0.0278,0.0267,0.1945
8,0.0301,0.5315,0.0301,0.0225,1.4681,33.7866,0.0314,0.03,0.1948
9,0.0328,0.5342,0.0328,0.0247,1.3783,33.5845,0.0348,0.0327,0.1981
10,0.0354,0.5375,0.0354,0.0272,1.3453,33.3569,0.0379,0.0353,0.2016
11,0.0394,0.5408,0.0394,0.0294,1.306,33.1192,0.0415,0.0393,0.2059
12,0.0404,0.543,0.0404,0.0311,1.3198,32.9649,0.0431,0.0403,0.2055
13,0.0428,0.546,0.0428,0.0328,1.2649,32.7293,0.0461,0.0428,0.2095
14,0.0452,0.5482,0.0452,0.0351,1.2657,32.5613,0.0493,0.0451,0.2116
15,0.0458,0.5494,0.0458,0.0361,1.2355,32.492,0.0509,0.0458,0.2176
16,0.0478,0.5513,0.0478,0.0379,1.2105,32.3589,0.0533,0.0478,0.2155
17,0.0495,0.5521,0.0495,0.0391,1.1737,32.2847,0.0547,0.0494,0.2198
18,0.05,0.5544,0.05,0.04,1.1685,32.1244,0.0557,0.05,0.2209
19,0.0515,0.5562,0.0515,0.0421,1.1617,31.9913,0.0577,0.0514,0.2253
20,0.0527,0.5571,0.0527,0.0423,1.1612,31.924,0.0589,0.0526,0.2251
21,0.0535,0.5588,0.0535,0.0435,1.1559,31.793,0.0608,0.0535,0.2396
22,0.0549,0.5607,0.0549,0.0442,1.1545,31.6655,0.0625,0.0549,0.229
23,0.0574,0.5628,0.0574,0.0465,1.1568,31.503,0.0655,0.0574,0.2577
24,0.0594,0.5648,0.0594,0.0486,1.1825,31.4021,0.0682,0.0594,0.2579
25,0.0619,0.5662,0.0619,0.0495,1.1287,31.3004,0.0709,0.0618,0.2624
26,0.0645,0.5683,0.0645,0.0523,1.1575,31.1683,0.0734,0.0645,0.2661
27,0.0678,0.5707,0.0678,0.0532,1.1136,30.997,0.0777,0.0678,0.2723
28,0.0702,0.5726,0.0702,0.0566,1.0987,30.8653,0.0801,0.0702,0.2745
29,0.0738,0.5743,0.0738,0.0602,1.0965,30.7631,0.0831,0.0739,0.2737
30,0.0764,0.5764,0.0764,0.0622,1.0937,30.6271,0.0855,0.0764,0.2503
31,0.0795,0.5782,0.0795,0.0644,1.0753,30.4835,0.0888,0.0795,0.2531
32,0.0807,0.5786,0.0807,0.0676,1.1021,30.4494,0.09,0.0807,0.2538
33,0.0833,0.5803,0.0833,0.0681,1.0652,30.3223,0.0914,0.0833,0.2554
34,0.0838,0.5812,0.0838,0.0699,1.0937,30.2542,0.0928,0.0838,0.2578
35,0.0843,0.5832,0.0843,0.0702,1.0941,30.1309,0.094,0.0843,0.2613
36,0.0859,0.5842,0.0859,0.0721,1.0759,30.0325,0.0957,0.0859,0.2546
37,0.0884,0.5848,0.0884,0.0723,1.0528,29.9928,0.0976,0.0883,0.3308
38,0.0904,0.5863,0.0904,0.0761,1.09,29.8866,0.101,0.0904,0.3364
39,0.0909,0.5873,0.0909,0.0773,1.0999,29.7596,0.1023,0.0908,0.3373
40,0.0931,0.5894,0.0931,0.0781,1.0627,29.6238,0.1047,0.0931,0.3415
41,0.0954,0.5922,0.0954,0.0809,1.0868,29.4295,0.108,0.0953,0.3471
42,0.0989,0.5926,0.0989,0.0815,1.0337,29.387,0.1098,0.0988,0.2996
43,0.0998,0.5935,0.0998,0.082,1.0255,29.3155,0.1106,0.0997,0.2712
44,0.101,0.5947,0.101,0.0843,1.0472,29.2526,0.1125,0.1009,0.2824
45,0.1013,0.5961,0.1013,0.0848,1.0512,29.134,0.1137,0.1012,0.2821
46,0.1046,0.597,0.1046,0.0858,1.0158,29.0523,0.1159,0.1045,0.2957
47,0.1048,0.5972,0.1048,0.0856,1.0215,29.0515,0.1167,0.1047,0.2873
48,0.1069,0.5983,0.1069,0.0877,1.0241,28.9831,0.1187,0.1069,0.2907
