step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.001,0.5,0.001,0.0,1.998,36.0081,0.001,0.001,0.0278
1,0.0018,0.5008,0.0018,0.0,1.5809,35.9729,0.001,0.0018,0.0325
2,0.0028,0.5014,0.0028,0.0,1.4789,35.9365,0.0015,0.0028,0.046
3,0.0039,0.5019,0.0039,0.0001,1.4089,35.9003,0.0015,0.0038,0.0325
4,0.0044,0.5021,0.0044,0.0001,1.4092,35.8659,0.0012,0.0044,0.0272
5,0.0055,0.5028,0.0055,0.0002,1.405,35.8295,0.0013,0.0055,0.0206
6,0.0065,0.5034,0.0065,0.0002,1.3746,35.793,0.0018,0.0065,0.0522
7,0.0068,0.5038,0.0068,0.0002,1.3578,35.7574,0.0017,0.0067,0.0493
8,0.0072,0.5043,0.0072,0.0003,1.3539,35.7238,0.0018,0.0071,0.0252
9,0.0079,0.5047,0.0079,0.0003,1.3109,35.6883,0.0023,0.0079,0.0277
10,0.0088,0.5052,0.0088,0.0003,1.3019,35.6521,0.003,0.0087,0.0327
11,0.0098,0.5057,0.0098,0.0004,1.2793,35.6166,0.0037,0.0097,0.0226
12,0.0107,0.5062,0.0107,0.0004,1.2762,35.5805,0.0035,0.0106,0.0248
13,0.0116,0.5066,0.0116,0.0005,1.2642,35.5449,0.0036,0.0115,0.028
14,0.0115,0.5071,0.0115,0.0005,1.2498,35.5101,0.0037,0.0114,0.0205
15,0.0119,0.5076,0.0119,0.0005,1.244,35.4752,0.0041,0.0118,0.0227
16,0.0125,0.508,0.0125,0.0006,1.2317,35.44,0.0046,0.0124,0.0363
17,0.0134,0.5085,0.0134,0.0006,1.2228,35.4056,0.0047,0.0133,0.0249
18,0.0142,0.509,0.0142,0.0007,1.2173,35.3709,0.0049,0.0141,0.0245
19,0.0146,0.5095,0.0146,0.0008,1.212,35.3375,0.0051,0.0145,0.0314
20,0.0155,0.51,0.0155,0.0008,1.2056,35.3031,0.0052,0.0155,0.0291
21,0.0165,0.5104,0.0165,0.0009,1.1986,35.2688,0.0061,0.0165,0.0203
22,0.0171,0.5109,0.0171,0.0009,1.199,35.2348,0.0063,0.0171,0.0212
23,0.0173,0.5114,0.0173,0.001,1.1947,35.2011,0.0063,0.0173,0.0214
24,0.0184,0.5119,0.0184,0.0011,1.1943,35.1649,0.0067,0.0183,0.022
25,0.0193,0.5124,0.0193,0.0012,1.1944,35.1296,0.0069,0.0193,0.0249
26,0.0197,0.5128,0.0197,0.0013,1.1907,35.0947,0.0073,0.0197,0.0294
27,0.0206,0.5134,0.0206,0.0014,1.1889,35.0597,0.0075,0.0206,0.0205
28,0.0216,0.5138,0.0216,0.0015,1.1875,35.0257,0.0077,0.0215,0.0229
29,0.0224,0.5143,0.0224,0.0016,1.1927,34.9914,0.0075,0.0224,0.0296
30,0.0227,0.5145,0.0227,0.0017,1.1882,34.9596,0.0076,0.0226,0.0237
31,0.0227,0.515,0.0227,0.0017,1.18,34.9263,0.0076,0.0227,0.0237
32,0.0233,0.5154,0.0233,0.0018,1.175,34.892,0.0078,0.0233,0.0225
33,0.0243,0.5159,0.0243,0.002,1.1736,34.8565,0.008,0.0242,0.0223
34,0.0252,0.5164,0.0252,0.0021,1.1719,34.8211,0.0082,0.0252,0.0188
35,0.0262,0.5169,0.0262,0.0022,1.1657,34.7849,0.0085,0.0261,0.0203
36,0.0271,0.5173,0.0271,0.0023,1.1634,34.7513,0.0088,0.027,0.0202
