step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.001,0.5,0.001,0.0,1.998,36.0069,0.001,0.001,0.1937
1,0.002,0.501,0.002,0.0,1.586,35.9715,0.0012,0.002,0.2361
2,0.003,0.5015,0.003,0.0,1.5214,35.936,0.0013,0.003,0.2681
3,0.0038,0.5019,0.0038,0.0,1.4944,35.9008,0.0013,0.0038,0.2572
4,0.0046,0.5023,0.0046,0.0001,1.4416,35.8661,0.0014,0.0047,0.2659
5,0.0055,0.5028,0.0055,0.0001,1.399,35.831,0.0017,0.0056,0.2754
6,0.0065,0.5033,0.0065,0.0002,1.3719,35.7956,0.0026,0.0065,0.337
7,0.0074,0.5038,0.0074,0.0004,1.3675,35.7605,0.0029,0.0075,0.2656
8,0.0083,0.5043,0.0083,0.0006,1.3594,35.7253,0.0032,0.0084,0.2974
9,0.009,0.5048,0.009,0.0007,1.3405,35.6894,0.0039,0.009,0.2734
10,0.0099,0.5053,0.0099,0.0008,1.3217,35.6534,0.0044,0.0099,0.2819
11,0.0104,0.5058,0.0104,0.0009,1.3048,35.6191,0.0044,0.0104,0.2629
12,0.0113,0.5063,0.0113,0.0011,1.2965,35.5834,0.0046,0.0113,0.281
13,0.0121,0.5067,0.0121,0.0012,1.2751,35.5488,0.0054,0.0121,0.2813
14,0.0125,0.5069,0.0125,0.0013,1.2663,35.5158,0.0057,0.0126,0.2656
15,0.0127,0.5074,0.0127,0.0014,1.2542,35.481,0.0057,0.0127,0.3095
16,0.0134,0.5078,0.0134,0.0015,1.2461,35.4454,0.0059,0.0134,0.2926
17,0.0141,0.5083,0.0141,0.0016,1.2402,35.4115,0.0059,0.0141,0.2691
18,0.0146,0.5088,0.0146,0.0018,1.2386,35.3779,0.0062,0.0146,0.2758
19,0.0154,0.5092,0.0154,0.0019,1.2311,35.3431,0.0061,0.0154,0.2943
20,0.0161,0.5097,0.0161,0.0021,1.2246,35.3084,0.0064,0.0161,0.2753
21,0.0164,0.5098,0.0164,0.0022,1.2289,35.3077,0.0064,0.0164,0.2851
22,0.0172,0.5102,0.0172,0.0023,1.2266,35.2733,0.0065,0.0172,0.2768
23,0.0179,0.5107,0.0179,0.0025,1.2179,35.2396,0.0065,0.018,0.2796
24,0.0186,0.5111,0.0186,0.0025,1.2101,35.2047,0.0066,0.0186,0.272
25,0.0194,0.5116,0.0194,0.0026,1.2039,35.1709,0.0066,0.0194,0.2865
26,0.0201,0.5121,0.0201,0.0028,1.1987,35.1362,0.0069,0.0201,0.2736
27,0.0208,0.5126,0.0208,0.0032,1.1967,35.1023,0.007,0.0208,0.2866
28,0.0215,0.5131,0.0215,0.0033,1.1912,35.0676,0.0071,0.0215,0.2835
29,0.0223,0.5136,0.0223,0.0035,1.1867,35.0331,0.0074,0.0223,0.2887
30,0.0224,0.5139,0.0224,0.0035,1.1818,35.0004,0.0076,0.0225,0.2874
31,0.0232,0.5143,0.0232,0.0037,1.1781,34.9654,0.0079,0.0232,0.2888
32,0.0235,0.5148,0.0235,0.0038,1.177,34.932,0.0079,0.0236,0.3117
33,0.024,0.5153,0.024,0.0039,1.1744,34.8988,0.008,0.0241,0.2833
34,0.0242,0.5157,0.0242,0.0041,1.1721,34.8658,0.008,0.0242,0.3015
35,0.0244,0.5162,0.0244,0.0043,1.1713,34.8325,0.0082,0.0244,0.2946
36,0.0252,0.5166,0.0252,0.0045,1.1679,34.798,0.0087,0.0252,0.2934
37,0.0258,0.5171,0.0258,0.0046,1.1643,34.7631,0.009,0.0258,0.285
38,0.026,0.5175,0.026,0.0047,1.1628,34.731,0.0089,0.0261,0.3116
39,0.0263,0.5179,0.0263,0.0046,1.1604,34.6977,0.0092,0.0263,0.3086
40,0.0269,0.5183,0.0269,0.0048,1.1572,34.6649,0.0093,0.027,0.2885
41,0.0275,0.5187,0.0275,0.0049,1.1541,34.6317,0.0096,0.0276,0.331
42,0.0272,0.5188,0.0272,0.0049,1.1547,34.6314,0.0096,0.0273,0.2893
43,0.0275,0.5188,0.0275,0.0052,1.1625,34.6309,0.0097,0.0275,0.3051
44,0.0276,0.5189,0.0276,0.0054,1.1611,34.6006,0.0097,0.0276,0.2924
45,0.0276,0.5192,0.0276,0.0056,1.1678,34.5986,0.0098,0.0276,0.292
46,0.0275,0.5192,0.0275,0.0058,1.1749,34.5989,0.0097,0.0275,0.2942
47,0.0278,0.5196,0.0278,0.006,1.1734,34.5651,0.0098,0.0279,0.2999
48,0.0284,0.5197,0.0284,0.0063,1.1749,34.5638,0.01,0.0284,0.3079
49,0.0285,0.5197,0.0285,0.0062,1.1755,34.5637,0.01,0.0286,0.3089
50,0.029,0.5198,0.029,0.0063,1.1755,34.5624,0.01,0.0291,0.3036
51,0.0296,0.5198,0.0296,0.0064,1.1756,34.5617,0.0101,0.0297,0.2997
52,0.03,0.5203,0.03,0.0065,1.1738,34.5278,0.0101,0.03,0.2847
53,0.0304,0.5207,0.0304,0.0067,1.1732,34.4938,0.0102,0.0305,0.3046
54,0.031,0.5212,0.031,0.007,1.1719,34.4604,0.0102,0.0311,0.2966
55,0.0314,0.5217,0.0314,0.0072,1.1705,34.4275,0.0103,0.0315,0.3004
56,0.0315,0.5222,0.0315,0.0074,1.1692,34.3945,0.0103,0.0316,0.297
57,0.031,0.5222,0.031,0.0076,1.18,34.3947,0.0103,0.031,0.3177
58,0.0311,0.5226,0.0311,0.0077,1.1786,34.3613,0.0103,0.0312,0.3002
59,0.0313,0.5231,0.0313,0.0079,1.1781,34.3277,0.0103,0.0314,0.3207
