step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0348,0.5227,0.0348,0.0048,1.143,34.3118,0.0188,0.0348,0.1253
1,0.0572,0.5406,0.0572,0.0134,1.1018,32.929,0.0313,0.0571,0.3403
2,0.0714,0.5576,0.0714,0.0225,1.0877,31.7023,0.0385,0.0713,15.8803
3,0.0809,0.5709,0.0809,0.0303,1.0786,30.748,0.047,0.0808,11.1401
4,0.0946,0.5885,0.0946,0.0422,1.0708,29.4767,0.0559,0.0944,13.7091
5,0.1047,0.6006,0.1047,0.0512,1.067,28.6282,0.0629,0.1045,9.4408
6,0.1154,0.614,0.1154,0.0604,1.0599,27.733,0.0711,0.1152,13.4694
7,0.1242,0.6261,0.1242,0.0698,1.063,26.9132,0.0805,0.1241,15.5034
8,0.1336,0.6375,0.1336,0.0782,1.0585,26.0789,0.0908,0.1335,11.7687
9,0.1404,0.6469,0.1404,0.084,1.0538,25.3506,0.098,0.1403,16.7247
10,0.1457,0.6548,0.1457,0.0887,1.0538,24.7974,0.1044,0.1455,13.1717
11,0.1504,0.6623,0.1504,0.0941,1.0501,24.282,0.1094,0.1503,12.6572
12,0.1603,0.6704,0.1603,0.1034,1.045,23.7168,0.1183,0.1601,18.3533
13,0.1675,0.6771,0.1675,0.1089,1.0409,23.2777,0.1251,0.1672,15.1665
14,0.1761,0.683,0.1761,0.1171,1.0363,22.8974,0.135,0.1758,13.6233
15,0.1837,0.6895,0.1837,0.1241,1.0298,22.4131,0.1436,0.1836,18.8408
16,0.1918,0.6984,0.1918,0.1317,1.025,21.8166,0.1496,0.1916,17.6911
17,0.1985,0.707,0.1985,0.1373,1.021,21.2296,0.1582,0.1983,13.8233
18,0.2061,0.713,0.2061,0.1442,1.0162,20.8032,0.1646,0.206,20.0746
19,0.2126,0.7169,0.2126,0.1497,1.0148,20.5339,0.1702,0.2125,20.4878
20,0.2174,0.7228,0.2174,0.1546,1.013,20.1612,0.1754,0.2173,7.6582
21,0.2248,0.7277,0.2248,0.1603,1.0088,19.8209,0.1811,0.2247,21.898
