step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0085,0.5046,0.0085,0.0005,1.1724,35.7043,0.0069,0.0086,6.6608
1,0.0179,0.5095,0.0179,0.0017,1.1113,35.363,0.0145,0.018,2.3711
2,0.027,0.5143,0.027,0.0039,1.0834,35.0167,0.0225,0.027,2.5619
3,0.0344,0.5187,0.0344,0.0057,1.0648,34.7077,0.0292,0.0344,1.9036
4,0.0415,0.5227,0.0415,0.0078,1.0543,34.4265,0.0355,0.0415,2.4242
5,0.0501,0.5277,0.0501,0.0111,1.0423,34.0719,0.0438,0.0501,2.472
6,0.0589,0.5325,0.0589,0.0132,1.0313,33.7399,0.0505,0.0589,4.0776
7,0.0666,0.5369,0.0666,0.0177,1.0254,33.4312,0.0578,0.0667,3.7777
8,0.0731,0.5413,0.0731,0.0193,1.0182,33.1231,0.0645,0.0732,4.4747
9,0.082,0.5463,0.082,0.0235,1.0125,32.7758,0.0722,0.0821,5.27
10,0.0884,0.5505,0.0884,0.026,1.0062,32.4794,0.0766,0.0885,3.4631
11,0.0959,0.5553,0.0959,0.0297,1.0001,32.1466,0.0839,0.096,5.1679
12,0.1036,0.5603,0.1036,0.0338,0.9952,31.8054,0.0908,0.1038,4.1757
13,0.1106,0.565,0.1106,0.0381,0.9902,31.471,0.0976,0.1107,6.0561
14,0.1178,0.5698,0.1178,0.0403,0.9833,31.1376,0.1034,0.1179,4.6133
15,0.124,0.574,0.124,0.0457,0.9797,30.8421,0.1092,0.1242,6.3052
16,0.1309,0.5782,0.1309,0.0495,0.9758,30.5483,0.1164,0.1311,6.7777
17,0.1372,0.5827,0.1372,0.0531,0.9705,30.2254,0.1209,0.1373,8.6356
18,0.1447,0.588,0.1447,0.0587,0.9658,29.8658,0.1297,0.1448,7.1943
19,0.1526,0.593,0.1526,0.0648,0.9614,29.5288,0.1379,0.1528,8.6904
20,0.1578,0.5971,0.1578,0.0682,0.9577,29.2287,0.1427,0.1579,8.8263
21,0.1663,0.6021,0.1663,0.0743,0.9531,28.8862,0.1503,0.1665,8.3207
22,0.1704,0.6063,0.1704,0.0793,0.9503,28.5985,0.1548,0.1706,10.8612
23,0.1782,0.6117,0.1782,0.0839,0.9455,28.2381,0.1617,0.1784,6.0133
24,0.1828,0.6156,0.1828,0.0886,0.9432,27.9559,0.1669,0.183,9.8446
25,0.1889,0.6197,0.1889,0.0945,0.9403,27.6677,0.1733,0.1891,11.0773
26,0.1963,0.6232,0.1963,0.1006,0.9362,27.4272,0.1793,0.1964,9.6568
27,0.2032,0.628,0.2032,0.1053,0.9314,27.0936,0.1871,0.2033,10.1119
28,0.2083,0.6324,0.2083,0.1098,0.9283,26.7983,0.1931,0.2085,9.5175
29,0.215,0.6362,0.215,0.1175,0.9262,26.5314,0.1983,0.2151,9.2702
30,0.2208,0.6411,0.2208,0.1225,0.923,26.2011,0.204,0.221,15.6113
31,0.2263,0.6455,0.2263,0.1271,0.92,25.9003,0.2104,0.2264,8.5258
32,0.2307,0.649,0.2307,0.1315,0.9176,25.6466,0.2146,0.2308,15.2914
33,0.2369,0.6541,0.2369,0.1386,0.9149,25.3048,0.2206,0.2371,18.2375
34,0.2442,0.6579,0.2442,0.1455,0.9102,25.0509,0.2275,0.2443,14.0303
35,0.2494,0.6616,0.2494,0.1494,0.9078,24.788,0.2329,0.2495,10.2546
36,0.2544,0.6643,0.2544,0.154,0.9053,24.5993,0.2372,0.2545,11.1138
37,0.2599,0.6699,0.2599,0.1605,0.902,24.2196,0.245,0.2601,15.2468
38,0.264,0.6728,0.264,0.1666,0.9,24.0138,0.2489,0.264,10.5888
39,0.2709,0.677,0.2709,0.1716,0.8977,23.7319,0.2537,0.271,12.9229
40,0.2722,0.6809,0.2722,0.178,0.8951,23.4673,0.2584,0.2723,11.3949
41,0.2805,0.6848,0.2805,0.1835,0.8915,23.193,0.2669,0.2806,11.7464
42,0.2843,0.6882,0.2843,0.1885,0.8896,22.9703,0.2704,0.2844,11.3939
43,0.2924,0.6919,0.2924,0.1963,0.8867,22.7119,0.2777,0.2925,14.3094
44,0.2971,0.6961,0.2971,0.2012,0.8837,22.4227,0.2838,0.2973,14.7847
45,0.3013,0.6993,0.3013,0.2061,0.8818,22.203,0.2886,0.3015,18.3887
46,0.3056,0.7043,0.3056,0.2122,0.8796,21.8611,0.294,0.3057,15.3376
47,0.3105,0.7077,0.3105,0.2187,0.8764,21.633,0.3003,0.3107,12.6258
48,0.315,0.7113,0.315,0.2243,0.8747,21.3877,0.3051,0.3151,15.2732
49,0.3197,0.7156,0.3197,0.229,0.8725,21.0886,0.31,0.3198,17.9317
50,0.3243,0.7184,0.3243,0.236,0.8703,20.895,0.3153,0.3244,15.7933
51,0.33,0.7231,0.33,0.243,0.8675,20.5749,0.3219,0.3301,13.6398
52,0.3351,0.7251,0.3351,0.2464,0.8655,20.4337,0.3264,0.3352,12.5499
