step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.001,0.5,0.001,0.0,1.998,36.0081,0.001,0.001,0.111
1,0.0019,0.501,0.0019,0.0,1.5219,35.9722,0.0016,0.0019,0.1957
2,0.0027,0.5014,0.0027,0.0001,1.3812,35.9364,0.0015,0.0026,0.2075
3,0.0037,0.5019,0.0037,0.0001,1.3089,35.9018,0.003,0.0037,0.2073
4,0.0045,0.5024,0.0045,0.0002,1.2528,35.8663,0.0038,0.0045,0.209
5,0.0053,0.5029,0.0053,0.0002,1.224,35.8317,0.0039,0.0053,0.2104
6,0.0064,0.5034,0.0064,0.0002,1.1969,35.7959,0.0046,0.0064,0.2155
7,0.0071,0.5038,0.0071,0.0003,1.1766,35.7622,0.0053,0.007,0.2171
8,0.0069,0.5041,0.0069,0.0003,1.1706,35.7288,0.0051,0.0069,0.2161
9,0.0077,0.5044,0.0077,0.0002,1.151,35.6947,0.0054,0.0077,0.2175
10,0.009,0.5051,0.009,0.0004,1.1461,35.6601,0.0053,0.009,0.2215
11,0.0097,0.5055,0.0097,0.0005,1.1354,35.625,0.0063,0.0097,0.2233
12,0.0103,0.5058,0.0103,0.0006,1.1309,35.5921,0.0064,0.0103,0.2249
13,0.0106,0.5062,0.0106,0.0005,1.124,35.5577,0.0068,0.0106,0.2254
14,0.0115,0.5068,0.0115,0.0005,1.1154,35.5241,0.0069,0.0115,0.2289
15,0.0131,0.5075,0.0131,0.0007,1.1112,35.4882,0.0069,0.0131,0.2286
16,0.0131,0.5078,0.0131,0.0007,1.1103,35.4546,0.0078,0.0132,0.2307
17,0.0141,0.5083,0.0141,0.0008,1.1056,35.426,0.0085,0.0141,0.2318
18,0.015,0.5087,0.015,0.001,1.0973,35.3861,0.0089,0.015,0.2363
19,0.0146,0.5089,0.0146,0.0011,1.1088,35.3867,0.0083,0.0146,0.233
20,0.0156,0.5092,0.0156,0.0013,1.105,35.3536,0.0096,0.0156,0.2385
21,0.0162,0.5096,0.0162,0.0015,1.1045,35.3177,0.0109,0.0162,0.2439
22,0.0176,0.5103,0.0176,0.0016,1.099,35.2817,0.012,0.0176,0.244
23,0.0175,0.5107,0.0175,0.0016,1.095,35.2506,0.0112,0.0175,0.2428
24,0.0191,0.511,0.0191,0.0017,1.0925,35.2186,0.0122,0.0191,0.2487
25,0.0199,0.5116,0.0199,0.0021,1.0942,35.1806,0.0125,0.0199,0.2468
26,0.0211,0.5121,0.0211,0.0022,1.0956,35.1556,0.0121,0.0211,0.2516
27,0.0217,0.5126,0.0217,0.0019,1.088,35.1105,0.0126,0.0217,0.2498
28,0.0224,0.5133,0.0224,0.002,1.0839,35.0756,0.0143,0.0224,0.2526
29,0.0221,0.5135,0.0221,0.0022,1.0816,35.0453,0.0131,0.0221,0.2527
30,0.024,0.514,0.024,0.0026,1.0826,35.0109,0.0144,0.0239,0.2586
31,0.0244,0.5145,0.0244,0.0026,1.0799,34.9827,0.0146,0.0244,0.2558
32,0.0239,0.5148,0.0239,0.0023,1.0789,34.9484,0.0141,0.0238,0.2563
33,0.0254,0.5155,0.0254,0.0025,1.0754,34.9077,0.0149,0.0254,0.2595
34,0.0246,0.5156,0.0246,0.0027,1.0771,34.8772,0.0139,0.0246,0.2649
35,0.0259,0.5164,0.0259,0.0028,1.0751,34.8441,0.0148,0.0259,0.264
36,0.0273,0.5169,0.0273,0.0029,1.068,34.8078,0.0161,0.0273,0.2647
37,0.0279,0.5173,0.0279,0.003,1.0699,34.7749,0.0164,0.0279,0.2649
38,0.0284,0.518,0.0284,0.0032,1.0712,34.7358,0.016,0.0284,0.2687
39,0.0284,0.5182,0.0284,0.0032,1.0708,34.7048,0.0174,0.0284,0.2744
40,0.0291,0.5189,0.0291,0.0038,1.0703,34.6683,0.0181,0.0291,0.2721
41,0.0303,0.5193,0.0303,0.0036,1.065,34.6417,0.0196,0.0302,0.2756
42,0.0313,0.5198,0.0313,0.0038,1.0642,34.6008,0.0187,0.0313,0.2771
43,0.0329,0.5202,0.0329,0.0042,1.0636,34.5679,0.0201,0.0329,0.2717
44,0.0327,0.5207,0.0327,0.0046,1.0653,34.5363,0.0206,0.0327,0.277
45,0.0327,0.5211,0.0327,0.0046,1.0619,34.5058,0.0205,0.0328,0.2827
46,0.0331,0.5213,0.0331,0.0044,1.0625,34.4824,0.0211,0.0331,0.2794
47,0.0337,0.5219,0.0337,0.005,1.0643,34.4448,0.0207,0.0337,0.2838
48,0.036,0.5226,0.036,0.005,1.0619,34.402,0.0207,0.036,0.2836
49,0.0348,0.523,0.0348,0.0049,1.0585,34.372,0.0216,0.0348,0.2889
50,0.0356,0.5233,0.0356,0.005,1.0602,34.3459,0.022,0.0355,0.2846
51,0.0356,0.5238,0.0356,0.0054,1.0583,34.3079,0.0224,0.0356,0.2868
52,0.0375,0.5245,0.0375,0.0057,1.0572,34.2669,0.0241,0.0375,0.2947
53,0.0375,0.5245,0.0375,0.0061,1.0561,34.2577,0.0236,0.0375,0.3017
54,0.0386,0.5252,0.0386,0.0059,1.0519,34.2151,0.025,0.0386,0.3041
