step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1231,0.6486,0.1231,0.0798,0.9878,19.4656,0.0966,0.1215,0.0286
1,0.1597,0.7209,0.1597,0.1161,0.9487,12.0076,0.1517,0.1599,9.9134
2,0.2046,0.7721,0.2046,0.1682,0.916,9.791,0.2138,0.2069,11.0045
3,0.2726,0.818,0.2726,0.2334,0.8715,7.7758,0.2891,0.2783,13.379
4,0.3045,0.836,0.3045,0.266,0.8388,7.2606,0.3215,0.3092,12.388
5,0.3511,0.8602,0.3511,0.3076,0.8033,6.0356,0.3699,0.3496,13.1535
6,0.372,0.8855,0.372,0.3314,0.7793,4.6222,0.4075,0.3701,13.9969
7,0.3959,0.9027,0.3959,0.3575,0.7607,3.7974,0.434,0.3904,15.3063
8,0.4219,0.9175,0.4219,0.3827,0.7367,3.3537,0.466,0.416,15.5904
9,0.451,0.9318,0.451,0.4124,0.7146,2.8693,0.5005,0.444,16.0516
10,0.4752,0.9378,0.4752,0.4354,0.6885,2.7518,0.5266,0.4673,17.1186
11,0.4991,0.944,0.4991,0.4676,0.6672,2.6431,0.553,0.4948,17.1062
12,0.5042,0.9523,0.5042,0.475,0.6571,2.3975,0.568,0.5008,18.8861
13,0.5256,0.958,0.5256,0.4946,0.6382,2.2984,0.597,0.5198,19.0721
14,0.5429,0.96,0.5429,0.5057,0.6192,2.2309,0.6139,0.5324,20.243
15,0.5564,0.9659,0.5564,0.5206,0.6077,1.8672,0.6261,0.546,20.5693
16,0.572,0.9693,0.572,0.5365,0.5934,1.7893,0.6449,0.5606,21.1027
17,0.5901,0.9712,0.5901,0.5572,0.5756,1.7159,0.6618,0.5801,20.679
18,0.6023,0.9725,0.6023,0.5696,0.5629,1.668,0.6742,0.5914,22.558
19,0.6237,0.9749,0.6237,0.5985,0.5414,1.5869,0.6928,0.616,22.0262
20,0.6316,0.9768,0.6316,0.6066,0.53,1.5322,0.7043,0.6234,23.4988
21,0.6395,0.9827,0.6395,0.6182,0.516,1.4441,0.7243,0.6321,22.6348
22,0.6532,0.9837,0.6532,0.6368,0.5048,1.3949,0.7357,0.6477,23.2903
23,0.6604,0.9851,0.6604,0.6475,0.4943,1.3492,0.7485,0.6555,23.6211
24,0.6813,0.9856,0.6813,0.6767,0.4774,1.3007,0.7617,0.6813,23.6313
25,0.6915,0.9862,0.6915,0.6905,0.4694,1.2723,0.7694,0.6928,25.0004
26,0.6945,0.9868,0.6945,0.6947,0.4618,1.2428,0.7749,0.6952,24.5732
27,0.6991,0.9872,0.6991,0.6987,0.4524,1.2168,0.785,0.6999,26.1857
28,0.7085,0.9876,0.7085,0.7109,0.4406,1.1839,0.7932,0.711,26.383
29,0.7149,0.9878,0.7149,0.717,0.4357,1.1697,0.7971,0.7173,26.2566
30,0.7177,0.9882,0.7177,0.7205,0.4277,1.1455,0.8031,0.7195,26.6592
31,0.7276,0.9885,0.7276,0.7303,0.4199,1.1223,0.8087,0.729,26.2305
32,0.7371,0.9887,0.7371,0.7394,0.4127,1.1018,0.8134,0.7377,28.7619
33,0.7373,0.9889,0.7373,0.7395,0.4074,1.0859,0.8161,0.7382,28.0748
34,0.7422,0.9894,0.7422,0.7447,0.4007,1.0654,0.821,0.7431,26.5611
35,0.7452,0.9896,0.7452,0.7494,0.3976,1.0532,0.8232,0.7462,28.9213
36,0.7478,0.9899,0.7478,0.7526,0.3919,1.033,0.8267,0.7496,28.8399
37,0.7549,0.9901,0.7549,0.7612,0.3866,1.021,0.8292,0.7582,30.113
38,0.7562,0.9903,0.7562,0.7618,0.3819,1.0067,0.8316,0.7587,29.6156
39,0.7595,0.9905,0.7595,0.7651,0.3774,0.9925,0.8343,0.762,29.5506
