step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0173,0.5,0.0173,0.0004,1.9654,35.4192,0.013,0.013,1.9869
1,0.0242,0.5071,0.0242,0.0013,1.5381,34.9903,0.0171,0.0216,0.5717
2,0.0334,0.5128,0.0334,0.0027,1.3927,34.5802,0.0212,0.0318,0.3995
3,0.0346,0.5133,0.0346,0.0038,1.3265,34.0203,0.0221,0.032,0.395
4,0.0336,0.5145,0.0336,0.0038,1.3469,34.0228,0.0212,0.0315,0.4279
5,0.0387,0.5197,0.0387,0.0049,1.2617,33.6267,0.0265,0.0369,0.4497
6,0.0448,0.5243,0.0448,0.0071,1.2168,33.208,0.0282,0.0435,0.5779
7,0.0474,0.5273,0.0474,0.0088,1.1909,32.6681,0.0294,0.0454,0.4245
8,0.0522,0.5305,0.0522,0.0107,1.1603,32.257,0.0331,0.0504,0.4532
9,0.0566,0.534,0.0566,0.0127,1.1437,31.7375,0.0343,0.054,0.4482
10,0.0596,0.5373,0.0596,0.0149,1.1273,31.262,0.0357,0.0569,0.489
11,0.0596,0.5371,0.0596,0.0153,1.1346,31.2624,0.0355,0.0566,0.8375
12,0.0614,0.5384,0.0614,0.0157,1.1324,31.262,0.0358,0.0585,0.5452
13,0.0637,0.5388,0.0637,0.0173,1.1203,30.7813,0.0357,0.0605,0.6459
14,0.0642,0.5384,0.0642,0.0176,1.1216,30.7821,0.0355,0.061,0.594
15,0.067,0.5441,0.067,0.0206,1.1079,30.3874,0.0384,0.0642,0.5296
16,0.0657,0.5463,0.0657,0.0211,1.096,29.8431,0.0392,0.0632,0.7116
17,0.0678,0.5504,0.0678,0.0227,1.0833,29.4178,0.0403,0.0655,0.4441
18,0.0734,0.5566,0.0734,0.0264,1.0698,29.0028,0.0466,0.0716,0.6288
19,0.0729,0.5574,0.0729,0.0255,1.0686,29.0001,0.0469,0.0712,0.8964
20,0.0787,0.5641,0.0787,0.0301,1.0602,28.6203,0.051,0.078,1.3221
21,0.08,0.5682,0.08,0.0321,1.053,28.1504,0.0526,0.0792,1.0072
22,0.0805,0.5699,0.0805,0.0342,1.0646,28.1486,0.0527,0.08,0.6465
23,0.0813,0.5726,0.0813,0.0362,1.0596,27.6935,0.0539,0.0808,0.6867
24,0.0882,0.5788,0.0882,0.0409,1.0494,27.2994,0.06,0.0884,0.8709
25,0.0892,0.5834,0.0892,0.0423,1.0433,26.9145,0.0598,0.0896,0.8209
26,0.0884,0.5837,0.0884,0.0424,1.0463,26.9147,0.0604,0.0889,0.9343
27,0.0915,0.585,0.0915,0.0442,1.0374,26.3939,0.0615,0.0916,0.7093
28,0.0935,0.5855,0.0935,0.0459,1.0382,26.3907,0.0631,0.0934,1.0
29,0.0958,0.5888,0.0958,0.0486,1.0317,25.8749,0.0647,0.0953,0.8351
30,0.0945,0.5901,0.0945,0.0496,1.0377,25.8741,0.0659,0.0939,0.8288
31,0.0978,0.5945,0.0978,0.0541,1.0329,25.4472,0.0701,0.0972,1.45
32,0.1019,0.5992,0.1019,0.0581,1.0271,25.0608,0.0735,0.1016,0.918
33,0.1042,0.6028,0.1042,0.0605,1.0235,24.6264,0.0748,0.1039,1.0049
34,0.1022,0.6029,0.1022,0.0591,1.0282,24.6292,0.0744,0.1019,0.9404
35,0.107,0.6047,0.107,0.0616,1.0251,24.6184,0.0765,0.1057,1.0344
36,0.1078,0.6075,0.1078,0.0629,1.0205,24.1037,0.0784,0.1062,0.9261
37,0.1134,0.613,0.1134,0.0679,1.0117,23.7405,0.0843,0.1123,1.0929
38,0.1144,0.617,0.1144,0.0707,1.0085,23.4111,0.0867,0.1139,1.5545
39,0.1218,0.6225,0.1218,0.0761,1.0022,22.8938,0.0901,0.1199,0.8593
40,0.1233,0.6228,0.1233,0.0776,0.998,22.3888,0.0914,0.1213,1.1338
41,0.1243,0.6226,0.1243,0.0771,0.9981,22.3876,0.0919,0.1216,1.0402
42,0.1266,0.6273,0.1266,0.0808,0.995,21.9637,0.0958,0.1238,1.4306
43,0.1276,0.6323,0.1276,0.0832,0.9915,21.4143,0.0978,0.1246,1.2843
44,0.1317,0.6336,0.1317,0.086,0.9914,21.4086,0.0992,0.129,1.064
45,0.1353,0.6377,0.1353,0.0879,0.9892,21.3853,0.1008,0.1317,1.0182
46,0.1401,0.6437,0.1401,0.093,0.9847,21.0388,0.1075,0.138,2.4183
47,0.1462,0.6485,0.1462,0.0978,0.9798,20.4777,0.1113,0.1425,1.2529
48,0.1475,0.6495,0.1475,0.0997,0.9775,20.0647,0.1133,0.1439,1.1151
49,0.1513,0.6501,0.1513,0.0995,0.9754,20.0589,0.1149,0.1466,1.0804
50,0.1536,0.6552,0.1536,0.1031,0.9728,19.677,0.1183,0.1491,1.2443
51,0.1531,0.6547,0.1531,0.1033,0.9741,19.6801,0.1185,0.1487,1.3465
52,0.1526,0.6547,0.1526,0.1029,0.975,19.6777,0.1193,0.1482,1.3612
53,0.1521,0.6546,0.1521,0.1022,0.975,19.6795,0.1198,0.1477,1.7788
54,0.1541,0.657,0.1541,0.1031,0.9727,19.6694,0.1218,0.1497,1.2059
55,0.1615,0.6623,0.1615,0.1071,0.9682,19.6377,0.1252,0.156,1.3782
56,0.1654,0.6682,0.1654,0.1125,0.9644,19.2184,0.1317,0.1599,1.2933
57,0.1618,0.6685,0.1618,0.1106,0.9651,19.2192,0.1322,0.1568,1.3884
58,0.1648,0.6731,0.1648,0.1143,0.9613,18.7233,0.1353,0.1597,1.4683
59,0.1638,0.6731,0.1638,0.1142,0.962,18.7243,0.135,0.1588,1.2753
