step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0395,0.5235,0.0395,0.0074,1.179,31.8708,0.0241,0.0364,0.0344
1,0.0532,0.5525,0.0532,0.0202,1.1047,29.3551,0.0354,0.0526,0.0768
2,0.0711,0.5765,0.0711,0.0345,1.0598,26.6139,0.0523,0.0698,2.0596
3,0.0833,0.608,0.0833,0.0477,1.0286,23.6733,0.0706,0.0797,2.896
4,0.0859,0.618,0.0859,0.0519,1.024,22.3597,0.0729,0.0816,9.1809
5,0.1068,0.6493,0.1068,0.0725,1.0004,19.6355,0.095,0.1033,4.9353
6,0.1096,0.6659,0.1096,0.0801,0.9988,17.9594,0.1065,0.1049,8.0398
7,0.1136,0.6902,0.1136,0.0879,0.9918,15.7591,0.1235,0.1088,12.7829
8,0.1238,0.7126,0.1238,0.0989,0.9819,14.1575,0.1385,0.1228,7.9679
9,0.1325,0.7295,0.1325,0.108,0.9753,11.898,0.1467,0.1304,11.8477
10,0.1493,0.7501,0.1493,0.1272,0.9641,10.1762,0.1606,0.1479,3.6099
11,0.1552,0.7608,0.1552,0.1336,0.9568,9.3259,0.1713,0.1543,12.2179
12,0.1694,0.7705,0.1694,0.1452,0.9486,8.8941,0.1803,0.1682,6.4662
13,0.1791,0.7806,0.1791,0.147,0.9452,8.8272,0.1889,0.1754,8.8049
14,0.1916,0.7869,0.1916,0.162,0.9379,8.7705,0.2009,0.1874,13.1421
15,0.2041,0.7939,0.2041,0.1767,0.9307,8.7179,0.2141,0.2015,11.6701
16,0.2161,0.8059,0.2161,0.1895,0.9219,8.3561,0.2235,0.2131,7.6991
17,0.229,0.8121,0.229,0.194,0.9119,7.9358,0.2355,0.2256,10.4411
18,0.2369,0.8302,0.2369,0.204,0.9045,6.8694,0.2513,0.234,8.0908
19,0.2438,0.8351,0.2438,0.2123,0.9003,6.8208,0.2607,0.2413,13.6066
20,0.2606,0.8402,0.2606,0.2279,0.8872,6.7609,0.273,0.2621,11.1571
21,0.2708,0.8422,0.2708,0.2379,0.883,6.2518,0.2775,0.2741,12.8205
22,0.2838,0.8447,0.2838,0.2523,0.8749,6.2051,0.2876,0.2855,5.5038
23,0.2882,0.8477,0.2882,0.2568,0.8718,6.1776,0.2897,0.2907,8.026
24,0.2912,0.8526,0.2912,0.2593,0.8673,6.1423,0.2977,0.2945,8.382
