step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1307,0.6485,0.1307,0.0866,0.9785,19.8204,0.0965,0.1278,0.0318
1,0.1791,0.7478,0.1791,0.136,0.9378,12.2887,0.1818,0.1798,5.787
2,0.2303,0.8141,0.2303,0.1991,0.9013,8.4713,0.2534,0.2339,3.1793
3,0.292,0.8553,0.292,0.2687,0.8664,6.5364,0.3185,0.2975,6.8223
4,0.3508,0.881,0.3508,0.3279,0.8281,5.2985,0.3743,0.3587,5.5923
5,0.401,0.9178,0.401,0.3929,0.791,3.9413,0.4408,0.4142,5.0772
6,0.442,0.9329,0.442,0.4359,0.7627,3.3021,0.4817,0.4538,10.5531
7,0.4772,0.9487,0.4772,0.4734,0.7311,2.2947,0.5234,0.49,9.6139
8,0.5052,0.9584,0.5052,0.5056,0.7029,2.1333,0.5586,0.5181,16.5089
9,0.5338,0.964,0.5338,0.533,0.6752,1.9988,0.5898,0.542,17.0005
10,0.5442,0.9674,0.5442,0.5446,0.6582,1.9171,0.6048,0.553,15.7295
11,0.562,0.971,0.562,0.563,0.6405,1.8387,0.6253,0.5704,14.3172
12,0.5776,0.9727,0.5776,0.5819,0.6232,1.7666,0.6394,0.5876,14.813
13,0.586,0.9752,0.586,0.5907,0.6071,1.7044,0.6612,0.5965,23.4121
14,0.6005,0.9771,0.6005,0.6046,0.5913,1.644,0.6776,0.6106,18.7505
15,0.6186,0.9795,0.6186,0.6225,0.5751,1.5713,0.6915,0.6275,24.4888
16,0.6326,0.9813,0.6326,0.6374,0.5562,1.5066,0.7078,0.6417,20.1581
17,0.6522,0.9853,0.6522,0.6565,0.5376,1.4163,0.7229,0.6587,24.3144
18,0.655,0.9856,0.655,0.6606,0.5278,1.3886,0.7292,0.6617,19.1965
19,0.6685,0.9866,0.6685,0.6724,0.5118,1.3382,0.7422,0.6758,16.9081
20,0.6843,0.9874,0.6843,0.6873,0.4959,1.2862,0.753,0.6898,25.2354
21,0.6927,0.9887,0.6927,0.6951,0.4813,1.2371,0.7645,0.6977,24.559
22,0.7103,0.9897,0.7103,0.7118,0.4679,1.1937,0.7763,0.7142,14.738
23,0.7177,0.9902,0.7177,0.7197,0.4566,1.1612,0.7834,0.7215,20.9452
24,0.7282,0.9909,0.7282,0.7291,0.4445,1.1257,0.7917,0.7306,24.8421
25,0.7381,0.9913,0.7381,0.7379,0.4328,1.0921,0.7987,0.7396,25.5626
26,0.7417,0.9916,0.7417,0.7415,0.4244,1.0687,0.8034,0.7428,13.1269
27,0.7485,0.9922,0.7485,0.7497,0.4175,1.0421,0.8099,0.7497,31.7398
28,0.7559,0.9926,0.7559,0.7583,0.4103,1.0197,0.8159,0.7576,28.58
29,0.7625,0.9929,0.7625,0.7651,0.3989,0.9912,0.8248,0.7643,39.7214
30,0.7669,0.9931,0.7669,0.7691,0.3906,0.971,0.8285,0.768,35.0297
31,0.7671,0.9934,0.7671,0.77,0.3821,0.9475,0.8331,0.7694,40.4387
32,0.7763,0.9938,0.7763,0.7787,0.3736,0.9256,0.8396,0.7783,35.5995
33,0.7809,0.994,0.7809,0.7833,0.3658,0.9046,0.8432,0.7821,17.994
34,0.7842,0.9943,0.7842,0.7866,0.3596,0.8879,0.8493,0.7852,40.7692
35,0.7913,0.9945,0.7913,0.7939,0.3528,0.8694,0.8537,0.7923,32.1075
36,0.7918,0.9948,0.7918,0.7928,0.345,0.8502,0.8593,0.792,43.9042
37,0.799,0.995,0.799,0.7994,0.3366,0.8309,0.8646,0.7985,40.8772
38,0.8013,0.9952,0.8013,0.8037,0.3305,0.8159,0.8682,0.8029,46.6692
39,0.8089,0.9953,0.8089,0.8117,0.3238,0.8,0.8722,0.8112,49.4745
40,0.8112,0.9954,0.8112,0.8137,0.3184,0.788,0.8758,0.813,23.3498
41,0.813,0.9954,0.813,0.8151,0.314,0.7777,0.8773,0.8144,32.113
42,0.8168,0.9955,0.8168,0.8191,0.3106,0.7698,0.88,0.8186,40.6865
43,0.8255,0.9957,0.8255,0.8267,0.3031,0.7526,0.8852,0.8261,46.1431
44,0.8268,0.9958,0.8268,0.8278,0.2998,0.7448,0.886,0.8268,32.0084
45,0.8316,0.996,0.8316,0.8335,0.2952,0.7344,0.8886,0.8329,25.8159
46,0.8324,0.9961,0.8324,0.8343,0.2915,0.7247,0.8902,0.8335,32.133
47,0.8331,0.9961,0.8331,0.8345,0.289,0.7181,0.8903,0.8339,57.0298
48,0.8326,0.9961,0.8326,0.834,0.2887,0.716,0.8904,0.8335,56.545
49,0.8339,0.9962,0.8339,0.8347,0.285,0.7068,0.892,0.8348,53.3053
50,0.8344,0.9962,0.8344,0.835,0.283,0.7023,0.8931,0.8352,30.7167
51,0.8367,0.9963,0.8367,0.8366,0.2796,0.6939,0.8953,0.8366,27.2128
52,0.8387,0.9964,0.8387,0.84,0.2751,0.6823,0.8987,0.84,47.9925
53,0.8443,0.9965,0.8443,0.8451,0.2706,0.6718,0.9015,0.8449,63.1519
54,0.8454,0.9966,0.8454,0.8467,0.2678,0.6643,0.9035,0.8463,31.6631
55,0.8469,0.9967,0.8469,0.8484,0.2651,0.6572,0.9053,0.8475,28.6155
56,0.851,0.9967,0.851,0.8521,0.2615,0.6493,0.9071,0.8511,34.9099
57,0.8489,0.9968,0.8489,0.8504,0.2581,0.6425,0.9092,0.8493,25.2239
58,0.8555,0.9968,0.8555,0.8566,0.2548,0.6347,0.9107,0.8555,28.318
59,0.8578,0.9969,0.8578,0.8592,0.2514,0.6271,0.9123,0.8581,34.2832
