step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0122,0.5,0.0122,0.0003,1.9755,35.6029,0.013,0.013,0.0326
1,0.0201,0.5058,0.0201,0.0011,1.5129,35.138,0.0139,0.0204,0.0281
2,0.0296,0.5112,0.0296,0.0032,1.3703,34.6043,0.0165,0.0275,0.0408
3,0.0392,0.5173,0.0392,0.0063,1.2763,34.1643,0.0203,0.0374,0.0492
4,0.0456,0.5235,0.0456,0.0079,1.2205,33.7243,0.0218,0.044,0.0486
5,0.0487,0.5276,0.0487,0.0089,1.1814,33.3257,0.0235,0.0477,0.0524
6,0.0492,0.53,0.0492,0.0105,1.154,32.7405,0.0236,0.0465,0.0556
7,0.0504,0.5328,0.0504,0.0123,1.1391,32.3509,0.0249,0.0482,0.0575
8,0.0606,0.5392,0.0606,0.0165,1.1182,31.9166,0.0283,0.0586,0.0625
9,0.0611,0.5425,0.0611,0.0174,1.1039,31.393,0.0294,0.059,0.0607
10,0.0622,0.5437,0.0622,0.0187,1.0925,30.9231,0.0317,0.0598,0.0628
11,0.0668,0.5478,0.0668,0.0206,1.0807,30.4037,0.0337,0.0635,0.0684
12,0.0678,0.5472,0.0678,0.0209,1.0833,30.4063,0.034,0.0651,0.0685
13,0.067,0.5482,0.067,0.0202,1.0848,30.4028,0.036,0.0645,0.0703
14,0.0718,0.5533,0.0718,0.0238,1.072,29.8474,0.0396,0.0684,0.0702
15,0.0731,0.558,0.0731,0.0259,1.0661,29.4787,0.0416,0.0699,0.0715
16,0.0764,0.56,0.0764,0.0282,1.0717,29.4766,0.0433,0.0738,1.5262
17,0.0787,0.5631,0.0787,0.0307,1.0656,29.0767,0.0444,0.0764,1.7834
18,0.0833,0.5669,0.0833,0.0331,1.0558,28.5281,0.0465,0.0801,1.945
19,0.0846,0.5702,0.0846,0.035,1.0485,28.1019,0.0478,0.0811,2.369
20,0.0848,0.5738,0.0848,0.0362,1.041,27.7001,0.0492,0.0816,3.154
21,0.0815,0.5732,0.0815,0.0341,1.0431,27.7005,0.0494,0.0783,3.0983
22,0.0887,0.5791,0.0887,0.0402,1.0358,27.3178,0.0566,0.0864,1.5318
23,0.0925,0.5849,0.0925,0.0449,1.0305,27.0664,0.0613,0.0928,1.9996
24,0.0943,0.5886,0.0943,0.0468,1.0247,26.6252,0.0632,0.0946,2.1994
25,0.0994,0.5942,0.0994,0.0519,1.0191,26.2378,0.0683,0.1004,2.3931
26,0.0986,0.5938,0.0986,0.0524,1.0166,25.7716,0.0683,0.0995,1.7971
27,0.1004,0.5992,0.1004,0.0545,1.0132,25.3882,0.0701,0.1015,2.9078
28,0.1029,0.5994,0.1029,0.0547,1.0117,25.3844,0.0723,0.1045,2.9172
29,0.105,0.6015,0.105,0.0576,1.0093,24.8415,0.0726,0.106,5.0371
30,0.108,0.6021,0.108,0.0573,1.0087,24.8386,0.0736,0.109,4.675
31,0.1096,0.6027,0.1096,0.0581,1.0091,24.8353,0.0743,0.1107,3.2169
32,0.1141,0.6032,0.1141,0.0587,1.007,24.8301,0.0771,0.1158,2.4969
33,0.1057,0.6015,0.1057,0.0595,1.0153,24.842,0.0772,0.1068,3.4675
34,0.1126,0.6059,0.1126,0.0632,1.0104,24.3068,0.0794,0.1122,6.8091
35,0.1134,0.6089,0.1134,0.0657,1.008,23.9809,0.0803,0.1135,4.388
36,0.1177,0.61,0.1177,0.0682,1.0084,23.975,0.0817,0.1168,3.7955
37,0.121,0.6118,0.121,0.0686,1.0068,23.9621,0.0833,0.119,5.1329
38,0.122,0.6171,0.122,0.0711,1.0042,23.5966,0.0877,0.1202,4.4249
39,0.1243,0.6196,0.1243,0.0729,1.0018,23.0758,0.0885,0.1222,9.2811
40,0.1261,0.6238,0.1261,0.0746,0.999,22.573,0.09,0.1238,8.8894
41,0.1294,0.6264,0.1294,0.0762,0.9974,22.5635,0.0925,0.1263,5.5014
