step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0127,0.5,0.0127,0.0003,1.9745,35.5845,0.013,0.013,0.0252
1,0.0191,0.5053,0.0191,0.001,1.4741,35.1338,0.0143,0.0193,9.3939
2,0.0224,0.5101,0.0224,0.003,1.3081,34.7345,0.0177,0.023,9.3482
3,0.0127,0.51,0.0127,0.0003,1.3514,34.7365,0.0178,0.013,8.7182
4,0.0127,0.5117,0.0127,0.0003,1.2564,34.3675,0.0192,0.013,8.8735
5,0.0183,0.5135,0.0183,0.0015,1.2532,34.3681,0.0206,0.0192,8.6177
6,0.0127,0.5142,0.0127,0.0003,1.2822,34.3705,0.0224,0.013,9.1318
7,0.0127,0.5142,0.0127,0.0003,1.3197,34.3733,0.0219,0.013,8.9504
8,0.0127,0.5128,0.0127,0.0003,1.2844,34.37,0.0201,0.013,8.914
9,0.0127,0.5116,0.0127,0.0003,1.2753,34.3698,0.0198,0.013,9.1492
10,0.0206,0.5111,0.0206,0.0011,1.2806,34.3707,0.0197,0.0209,9.0738
11,0.0127,0.5117,0.0127,0.0003,1.2946,34.372,0.0204,0.013,8.9406
12,0.0127,0.5118,0.0127,0.0003,1.2768,34.3711,0.0207,0.013,9.3146
13,0.0127,0.5131,0.0127,0.0003,1.2411,34.1874,0.022,0.013,8.955
14,0.0127,0.5173,0.0127,0.0003,1.2112,33.656,0.0248,0.013,9.2736
15,0.0127,0.5172,0.0127,0.0003,1.1864,33.1944,0.024,0.013,9.183
16,0.0127,0.5199,0.0127,0.0003,1.1655,32.7001,0.0254,0.013,9.2798
17,0.0127,0.521,0.0127,0.0003,1.1543,32.6982,0.0261,0.013,9.4128
18,0.0127,0.5217,0.0127,0.0003,1.144,32.6931,0.0279,0.013,9.395
19,0.0127,0.523,0.0127,0.0003,1.1302,32.353,0.0293,0.013,9.2708
20,0.0127,0.5231,0.0127,0.0003,1.1317,32.3549,0.0294,0.013,9.4478
21,0.0127,0.5235,0.0127,0.0003,1.1283,32.3556,0.0298,0.013,9.9315
22,0.0127,0.5243,0.0127,0.0003,1.1244,32.3544,0.0305,0.013,9.2911
23,0.0127,0.525,0.0127,0.0003,1.1241,32.3547,0.0315,0.013,9.4717
24,0.0127,0.5271,0.0127,0.0003,1.1138,31.9157,0.0318,0.013,9.6575
25,0.0189,0.5272,0.0189,0.0015,1.1165,31.9177,0.0311,0.0198,9.581
26,0.0278,0.5272,0.0278,0.0024,1.1183,31.919,0.0313,0.0274,9.728
27,0.0278,0.5277,0.0278,0.0024,1.1117,31.9123,0.0328,0.0274,9.8574
28,0.0127,0.5278,0.0127,0.0003,1.1155,31.9142,0.0329,0.013,9.6459
29,0.0127,0.5315,0.0127,0.0003,1.1075,31.6105,0.0336,0.013,9.7594
30,0.0127,0.5315,0.0127,0.0003,1.1127,31.6129,0.0337,0.013,9.861
31,0.0127,0.5361,0.0127,0.0003,1.1051,31.2019,0.0357,0.013,9.978
32,0.0127,0.5355,0.0127,0.0003,1.1073,31.2042,0.0351,0.013,9.8772
33,0.0127,0.5356,0.0127,0.0003,1.1126,31.2068,0.0346,0.013,9.8918
34,0.0127,0.5372,0.0127,0.0003,1.1059,30.7892,0.0346,0.013,9.8146
35,0.0127,0.5395,0.0127,0.0003,1.0993,30.3303,0.0349,0.013,9.9845
36,0.0127,0.5412,0.0127,0.0003,1.0935,29.9549,0.0352,0.013,9.9234
37,0.0127,0.5427,0.0127,0.0003,1.0893,29.951,0.0376,0.013,9.9453
38,0.0127,0.5451,0.0127,0.0003,1.084,29.4111,0.0377,0.013,9.9463
39,0.0127,0.548,0.0127,0.0003,1.0792,29.0121,0.039,0.013,10.1312
40,0.0127,0.5517,0.0127,0.0003,1.0748,28.5888,0.0412,0.013,10.1986
41,0.0127,0.5531,0.0127,0.0003,1.0719,28.587,0.0415,0.013,10.2655
42,0.0127,0.5535,0.0127,0.0003,1.0732,28.5896,0.0416,0.013,10.153
43,0.0127,0.5533,0.0127,0.0003,1.0703,28.5856,0.0417,0.013,10.1983
44,0.0127,0.5532,0.0127,0.0003,1.0745,28.5892,0.0415,0.013,9.885
45,0.0127,0.553,0.0127,0.0003,1.0763,28.5919,0.0416,0.013,10.139
46,0.0127,0.5532,0.0127,0.0003,1.0735,28.5902,0.0424,0.013,10.1734
47,0.0127,0.5551,0.0127,0.0003,1.0717,28.5908,0.0425,0.013,9.9382
48,0.0127,0.5551,0.0127,0.0003,1.0731,28.5936,0.0425,0.013,10.1381
49,0.0127,0.5548,0.0127,0.0003,1.0728,28.5952,0.0424,0.013,10.0774
50,0.0127,0.5569,0.0127,0.0003,1.0694,28.2314,0.0429,0.013,10.5263
51,0.0127,0.559,0.0127,0.0003,1.0661,27.7618,0.0428,0.013,10.121
52,0.0127,0.5587,0.0127,0.0003,1.0666,27.7642,0.0429,0.013,10.1036
53,0.0127,0.5619,0.0127,0.0003,1.0635,27.3768,0.0432,0.013,10.1669
54,0.0127,0.5622,0.0127,0.0003,1.0606,26.9736,0.0429,0.013,10.214
55,0.0127,0.5666,0.0127,0.0003,1.058,26.644,0.0434,0.013,10.2644
56,0.0127,0.5687,0.0127,0.0003,1.0554,26.225,0.0447,0.013,10.2107
57,0.0127,0.5711,0.0127,0.0003,1.0529,25.8553,0.0452,0.013,10.29
58,0.0127,0.5721,0.0127,0.0003,1.0516,25.8541,0.0458,0.013,10.702
59,0.0127,0.5721,0.0127,0.0003,1.0511,25.8563,0.0458,0.013,10.4171
