step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0443,0.5296,0.0443,0.0141,1.0736,31.5982,0.0244,0.0444,14.8058
1,0.0143,0.563,0.0143,0.0004,1.0277,27.586,0.0411,0.013,14.1621
2,0.0283,0.5876,0.0283,0.0034,1.0119,23.8657,0.0519,0.0232,13.478
3,0.0369,0.6173,0.0369,0.007,1.0034,20.692,0.0711,0.0298,13.3678
4,0.0657,0.6325,0.0657,0.0237,1.0021,19.5482,0.0779,0.0638,15.1198
5,0.0698,0.6467,0.0698,0.0328,0.9977,16.6421,0.0833,0.0683,14.9987
6,0.0196,0.6549,0.0196,0.0016,0.9974,15.4932,0.0842,0.0229,14.6316
7,0.0413,0.6698,0.0413,0.005,0.996,13.8627,0.0887,0.0422,14.3068
8,0.0502,0.6829,0.0502,0.008,0.9945,12.5361,0.0989,0.0504,13.951
9,0.0255,0.6928,0.0255,0.0014,0.9939,11.3697,0.1022,0.0245,15.1349
10,0.0153,0.6974,0.0153,0.0004,0.9939,11.0391,0.103,0.013,14.9714
11,0.0153,0.7179,0.0153,0.0004,0.9928,9.8019,0.1174,0.013,14.1113
12,0.0153,0.7314,0.0153,0.0004,0.9922,9.4238,0.1225,0.013,14.3652
13,0.0153,0.7411,0.0153,0.0004,0.992,8.7687,0.1329,0.013,14.121
14,0.0153,0.7479,0.0153,0.0004,0.9913,8.293,0.1408,0.013,14.3601
15,0.0252,0.763,0.0252,0.0015,0.9908,7.07,0.1513,0.0245,14.5687
16,0.0308,0.771,0.0308,0.0025,0.9905,6.5946,0.1577,0.0317,15.0912
17,0.0346,0.7797,0.0346,0.0053,0.9906,6.3703,0.1721,0.0352,14.1506
18,0.0148,0.7866,0.0148,0.0004,0.9905,5.9482,0.179,0.013,14.1063
19,0.0148,0.7893,0.0148,0.0004,0.9899,5.9333,0.1877,0.013,14.4511
20,0.0229,0.7977,0.0229,0.0012,0.9897,5.575,0.205,0.0229,14.6887
21,0.0336,0.7995,0.0336,0.0027,0.9897,5.5748,0.2061,0.0313,13.946
22,0.0222,0.8015,0.0222,0.0049,0.9897,5.5763,0.2054,0.0232,13.8633
23,0.0331,0.8073,0.0331,0.0078,0.9897,5.1471,0.2113,0.0323,13.1398
24,0.0331,0.8092,0.0331,0.0078,0.9895,5.1397,0.2136,0.0323,14.1765
25,0.011,0.8075,0.011,0.0003,0.9895,5.1397,0.2102,0.013,14.7173
26,0.011,0.8104,0.011,0.0003,0.9896,5.1451,0.2092,0.013,14.6587
27,0.011,0.8114,0.011,0.0003,0.9897,5.154,0.2133,0.013,14.2371
28,0.0155,0.8167,0.0155,0.0009,0.9894,5.139,0.2206,0.0177,13.8226
29,0.0252,0.8176,0.0252,0.0073,0.9896,5.147,0.2239,0.0266,14.2211
30,0.013,0.8237,0.013,0.0003,0.9895,4.8513,0.2288,0.013,13.96
31,0.013,0.8274,0.013,0.0003,0.9892,4.8419,0.2386,0.013,14.7802
32,0.013,0.8316,0.013,0.0003,0.9889,4.8285,0.2422,0.013,14.6749
33,0.0189,0.8341,0.0189,0.002,0.9888,4.8152,0.2464,0.0191,13.8081
34,0.0189,0.8396,0.0189,0.002,0.9886,4.646,0.2521,0.0191,14.7061
35,0.0318,0.8451,0.0318,0.0055,0.9884,4.6381,0.2535,0.0302,14.4052
36,0.015,0.8477,0.015,0.0004,0.9884,4.6395,0.2559,0.013,14.3349
37,0.015,0.8505,0.015,0.0004,0.9885,4.643,0.257,0.013,12.4834
38,0.015,0.8512,0.015,0.0004,0.9884,4.6336,0.2577,0.013,11.7881
39,0.015,0.8518,0.015,0.0004,0.9883,4.6275,0.2545,0.013,12.8374
40,0.0217,0.8531,0.0217,0.0037,0.9882,4.6262,0.2565,0.0196,14.1862
41,0.013,0.8555,0.013,0.0003,0.9882,4.6266,0.2606,0.013,14.0454
42,0.013,0.8614,0.013,0.0003,0.9882,4.3996,0.2671,0.013,14.5308
43,0.0265,0.8612,0.0265,0.006,0.9883,4.4038,0.2669,0.0247,13.4975
44,0.0262,0.8605,0.0262,0.0074,0.9883,4.4053,0.264,0.0254,13.4275
45,0.0148,0.8611,0.0148,0.0004,0.9882,4.4006,0.2675,0.013,14.6638
46,0.0148,0.8618,0.0148,0.0004,0.9882,4.4011,0.2669,0.013,14.2467
47,0.0268,0.8622,0.0268,0.0052,0.9882,4.4016,0.2654,0.025,14.1209
48,0.0148,0.8633,0.0148,0.0004,0.9882,4.4013,0.2675,0.013,14.3186
49,0.0148,0.8639,0.0148,0.0004,0.9881,4.3957,0.2679,0.013,14.3849
50,0.0148,0.8642,0.0148,0.0004,0.988,4.3935,0.2684,0.013,14.3003
51,0.0148,0.8663,0.0148,0.0004,0.988,4.3899,0.2698,0.013,14.2327
52,0.0268,0.8683,0.0268,0.0044,0.9881,4.3884,0.268,0.025,13.5091
53,0.0301,0.8708,0.0301,0.0078,0.9881,4.3909,0.2709,0.0274,14.0413
54,0.013,0.8701,0.013,0.0003,0.9881,4.3896,0.272,0.013,12.8358
55,0.013,0.8705,0.013,0.0003,0.9881,4.3881,0.2715,0.013,13.5459
56,0.013,0.8705,0.013,0.0003,0.9881,4.3896,0.2719,0.013,12.7834
57,0.013,0.8719,0.013,0.0003,0.988,4.3869,0.2733,0.013,13.6756
58,0.013,0.8728,0.013,0.0003,0.9879,4.3862,0.2747,0.013,13.7113
59,0.013,0.8738,0.013,0.0003,0.9879,4.3848,0.2762,0.013,13.7763
