step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0494,0.5314,0.0494,0.0135,1.0703,31.082,0.024,0.0449,0.0202
1,0.0158,0.5636,0.0158,0.0004,1.0277,27.6349,0.0426,0.013,0.0156
2,0.0158,0.5939,0.0158,0.0004,1.0154,24.5594,0.0597,0.013,0.015
3,0.0158,0.6213,0.0158,0.0004,1.0047,20.9079,0.0737,0.013,0.0161
4,0.0158,0.6386,0.0158,0.0004,1.0014,18.838,0.0855,0.013,0.015
5,0.0293,0.6628,0.0293,0.0024,0.9994,16.5072,0.1006,0.026,0.0145
6,0.0448,0.6767,0.0448,0.0072,0.9969,14.145,0.1047,0.0382,0.017
7,0.0545,0.7042,0.0545,0.0102,0.9953,12.9643,0.1224,0.0477,0.0148
8,0.0775,0.7157,0.0775,0.0215,0.9943,12.0716,0.1256,0.0703,0.0134
9,0.0158,0.7232,0.0158,0.0004,0.9943,12.0761,0.1387,0.013,0.0139
10,0.0382,0.737,0.0382,0.0036,0.9937,10.9896,0.1462,0.0329,0.0139
11,0.015,0.7523,0.015,0.0004,0.9931,10.2455,0.16,0.013,0.0148
12,0.0252,0.7579,0.0252,0.0014,0.9931,10.2504,0.1637,0.0238,0.0144
13,0.0283,0.7643,0.0283,0.003,0.9929,9.56,0.1623,0.0252,0.0145
14,0.0558,0.7674,0.0558,0.0106,0.9927,9.1033,0.1706,0.0487,0.0135
15,0.0558,0.7773,0.0558,0.0106,0.992,8.2719,0.1768,0.0487,0.0133
16,0.0329,0.7843,0.0329,0.0032,0.9924,7.9913,0.1759,0.0262,0.0123
17,0.0329,0.7946,0.0329,0.0032,0.9917,7.3111,0.1822,0.0262,0.0127
18,0.0161,0.8032,0.0161,0.0004,0.9915,6.9531,0.1941,0.013,0.0117
19,0.0161,0.8035,0.0161,0.0004,0.9912,6.9488,0.2018,0.013,0.0123
20,0.0161,0.8061,0.0161,0.0004,0.9909,6.9471,0.2068,0.013,0.0141
21,0.0161,0.8277,0.0161,0.0004,0.9903,5.8504,0.2288,0.013,0.0134
22,0.0318,0.8327,0.0318,0.003,0.9901,5.4189,0.2315,0.0256,0.0139
23,0.0451,0.8373,0.0451,0.0051,0.9898,5.4065,0.2343,0.0369,0.0142
24,0.0173,0.8406,0.0173,0.0004,0.99,5.4091,0.2375,0.013,0.0135
25,0.0173,0.8402,0.0173,0.0004,0.99,5.4091,0.2358,0.013,0.0137
26,0.0173,0.8492,0.0173,0.0004,0.9895,5.0242,0.2501,0.013,0.0149
27,0.0173,0.8563,0.0173,0.0004,0.9892,4.723,0.2576,0.013,0.0154
28,0.0173,0.8564,0.0173,0.0004,0.989,4.7149,0.2572,0.013,0.0157
29,0.0173,0.8573,0.0173,0.0004,0.989,4.7159,0.258,0.013,0.0154
30,0.0173,0.8617,0.0173,0.0004,0.9888,4.7032,0.2645,0.013,0.0155
31,0.0173,0.864,0.0173,0.0004,0.9888,4.7036,0.2681,0.013,0.0142
32,0.0173,0.8658,0.0173,0.0004,0.9889,4.7094,0.276,0.013,0.014
33,0.0173,0.8637,0.0173,0.0004,0.9888,4.7003,0.2732,0.013,0.0145
34,0.0173,0.863,0.0173,0.0004,0.9887,4.6981,0.2763,0.013,0.014
35,0.0173,0.8655,0.0173,0.0004,0.9887,4.6973,0.2793,0.013,0.0149
36,0.0173,0.8665,0.0173,0.0004,0.9887,4.6939,0.2807,0.013,0.0148
37,0.0173,0.8659,0.0173,0.0004,0.9885,4.6848,0.2816,0.013,0.0156
38,0.0173,0.8677,0.0173,0.0004,0.9883,4.6771,0.2904,0.013,0.0135
39,0.0173,0.868,0.0173,0.0004,0.9883,4.6794,0.2929,0.013,0.0135
40,0.0173,0.8687,0.0173,0.0004,0.9883,4.6758,0.2901,0.013,0.0139
41,0.0173,0.87,0.0173,0.0004,0.9884,4.6759,0.2904,0.013,0.0153
42,0.0173,0.8751,0.0173,0.0004,0.9883,4.6744,0.2974,0.013,0.0136
43,0.0173,0.8743,0.0173,0.0004,0.9883,4.6739,0.2996,0.013,0.0155
44,0.0173,0.8759,0.0173,0.0004,0.9882,4.6699,0.3027,0.013,0.0135
45,0.0173,0.8767,0.0173,0.0004,0.9881,4.6665,0.307,0.013,0.0128
46,0.0173,0.8766,0.0173,0.0004,0.9881,4.6677,0.3068,0.013,0.0156
47,0.0173,0.8778,0.0173,0.0004,0.9881,4.6706,0.3073,0.013,0.0144
48,0.0173,0.8787,0.0173,0.0004,0.9882,4.6739,0.3107,0.013,0.0141
49,0.0173,0.8801,0.0173,0.0004,0.9882,4.6753,0.3145,0.013,0.0148
50,0.0173,0.8802,0.0173,0.0004,0.9882,4.6755,0.3161,0.013,0.0146
51,0.0173,0.8807,0.0173,0.0004,0.9882,4.675,0.3174,0.013,0.0149
52,0.0173,0.8814,0.0173,0.0004,0.9881,4.6701,0.3203,0.013,0.0154
53,0.0173,0.8829,0.0173,0.0004,0.9881,4.6699,0.3228,0.013,0.0151
54,0.0173,0.885,0.0173,0.0004,0.988,4.666,0.3277,0.013,0.0135
55,0.0173,0.8857,0.0173,0.0004,0.9879,4.6653,0.3282,0.013,0.0137
56,0.0173,0.8877,0.0173,0.0004,0.9879,4.6623,0.3289,0.013,0.0137
57,0.0173,0.888,0.0173,0.0004,0.988,4.6644,0.3287,0.013,0.013
58,0.0173,0.8875,0.0173,0.0004,0.988,4.6646,0.3201,0.013,0.014
59,0.0173,0.8883,0.0173,0.0004,0.988,4.6641,0.323,0.013,0.0146
