step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0158,0.6557,0.0158,0.0004,1.0037,19.9911,0.1201,0.013,2.2847
1,0.0255,0.7591,0.0255,0.0014,0.9926,9.5402,0.1818,0.0221,3.2861
2,0.0163,0.8059,0.0163,0.0004,0.9907,7.0478,0.2321,0.013,4.3484
3,0.0163,0.8327,0.0163,0.0004,0.99,5.7866,0.2504,0.013,5.9773
4,0.0298,0.844,0.0298,0.0016,0.9895,5.7712,0.2628,0.0258,6.0194
5,0.0163,0.8532,0.0163,0.0004,0.9891,5.3248,0.2689,0.013,7.8582
6,0.0163,0.8722,0.0163,0.0004,0.9885,4.7822,0.2906,0.013,10.7428
7,0.0138,0.8841,0.0138,0.0004,0.9882,4.4025,0.3094,0.013,8.6352
8,0.0138,0.8903,0.0138,0.0004,0.9881,4.3957,0.3224,0.013,9.13
9,0.0158,0.8989,0.0158,0.0004,0.9876,4.3687,0.3412,0.013,10.7588
10,0.0155,0.9024,0.0155,0.0004,0.9877,4.3668,0.3505,0.013,12.001
11,0.0155,0.9044,0.0155,0.0004,0.9874,4.3564,0.3576,0.013,13.7065
12,0.0194,0.9066,0.0194,0.001,0.9873,4.3496,0.3604,0.0161,13.8338
13,0.0153,0.909,0.0153,0.0004,0.9872,4.3477,0.3637,0.013,15.5124
14,0.0153,0.9118,0.0153,0.0004,0.9872,4.3452,0.3673,0.013,16.0906
15,0.0153,0.916,0.0153,0.0004,0.9871,4.346,0.3737,0.013,12.997
16,0.0153,0.918,0.0153,0.0004,0.9871,4.3431,0.3773,0.013,15.1713
17,0.0219,0.9203,0.0219,0.0013,0.987,4.3398,0.3784,0.018,17.8454
18,0.0268,0.9207,0.0268,0.0014,0.9869,4.3378,0.3828,0.0209,19.4574
19,0.0171,0.9227,0.0171,0.0004,0.987,4.3407,0.3856,0.013,21.506
20,0.0171,0.9244,0.0171,0.0004,0.9869,4.3387,0.3851,0.013,22.2786
21,0.0171,0.9268,0.0171,0.0004,0.9869,4.337,0.3919,0.013,23.1622
22,0.0171,0.9272,0.0171,0.0004,0.9869,4.3373,0.3931,0.013,23.4984
23,0.0171,0.9288,0.0171,0.0004,0.9868,4.3339,0.3963,0.013,25.9298
24,0.0171,0.9301,0.0171,0.0004,0.9868,4.3326,0.3996,0.013,28.8613
25,0.0171,0.9315,0.0171,0.0004,0.9868,4.3322,0.4053,0.013,26.835
26,0.0171,0.932,0.0171,0.0004,0.9867,4.3308,0.4077,0.013,27.0808
27,0.0171,0.9312,0.0171,0.0004,0.9867,4.3301,0.4086,0.013,29.7677
28,0.0171,0.9321,0.0171,0.0004,0.9867,4.3306,0.4107,0.013,32.029
29,0.0171,0.9338,0.0171,0.0004,0.9867,4.3284,0.4172,0.013,26.7276
30,0.0171,0.9355,0.0171,0.0004,0.9866,4.3278,0.4212,0.013,26.7423
31,0.0171,0.9357,0.0171,0.0004,0.9866,4.3277,0.4179,0.013,31.8301
32,0.0171,0.9351,0.0171,0.0004,0.9866,4.326,0.4184,0.013,31.8039
33,0.0171,0.9353,0.0171,0.0004,0.9866,4.3266,0.4207,0.013,30.6809
34,0.0171,0.9348,0.0171,0.0004,0.9866,4.3261,0.4194,0.013,30.7651
35,0.0171,0.9349,0.0171,0.0004,0.9866,4.3247,0.4191,0.013,31.522
36,0.0171,0.9352,0.0171,0.0004,0.9866,4.3245,0.4212,0.013,35.25
37,0.0171,0.9353,0.0171,0.0004,0.9865,4.3235,0.4225,0.013,30.1699
38,0.0171,0.9358,0.0171,0.0004,0.9865,4.3232,0.4241,0.013,33.447
39,0.0171,0.9373,0.0171,0.0004,0.9865,4.3226,0.4262,0.013,31.0136
40,0.0171,0.9363,0.0171,0.0004,0.9865,4.322,0.4264,0.013,30.5271
41,0.0171,0.9366,0.0171,0.0004,0.9865,4.3218,0.4269,0.013,31.0248
42,0.0171,0.9368,0.0171,0.0004,0.9865,4.3223,0.4277,0.013,36.1767
43,0.0171,0.9367,0.0171,0.0004,0.9865,4.3216,0.4281,0.013,34.491
44,0.0171,0.9365,0.0171,0.0004,0.9864,4.3209,0.4266,0.013,35.7079
45,0.0171,0.9365,0.0171,0.0004,0.9864,4.3205,0.4263,0.013,35.882
46,0.0171,0.9372,0.0171,0.0004,0.9864,4.3205,0.4274,0.013,38.5604
47,0.0171,0.9371,0.0171,0.0004,0.9864,4.3208,0.4274,0.013,36.4014
48,0.0171,0.9374,0.0171,0.0004,0.9864,4.3205,0.4248,0.013,40.0991
49,0.0171,0.9379,0.0171,0.0004,0.9864,4.3198,0.4244,0.013,38.5125
50,0.0171,0.9387,0.0171,0.0004,0.9864,4.3195,0.4273,0.013,39.8475
51,0.0171,0.9393,0.0171,0.0004,0.9864,4.3189,0.4303,0.013,40.6977
52,0.0171,0.9383,0.0171,0.0004,0.9864,4.3187,0.4289,0.013,42.3957
53,0.0171,0.9392,0.0171,0.0004,0.9864,4.3187,0.4288,0.013,40.44
54,0.0171,0.9399,0.0171,0.0004,0.9864,4.3177,0.432,0.013,43.6779
55,0.0171,0.9401,0.0171,0.0004,0.9864,4.3178,0.4345,0.013,42.1408
56,0.0171,0.9393,0.0171,0.0004,0.9864,4.3176,0.4345,0.013,43.4821
57,0.0171,0.9398,0.0171,0.0004,0.9864,4.3174,0.4359,0.013,43.8751
58,0.0171,0.94,0.0171,0.0004,0.9864,4.3171,0.4369,0.013,43.8446
59,0.0171,0.9403,0.0171,0.0004,0.9864,4.3171,0.4385,0.013,45.6087
