step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.038,0.5274,0.038,0.0098,1.0817,31.635,0.0203,0.0391,0.0208
1,0.0344,0.5349,0.0344,0.0122,1.0494,29.2353,0.0253,0.0367,9.4761
2,0.0392,0.5549,0.0392,0.0146,1.0373,27.4958,0.0315,0.0409,7.9821
3,0.0571,0.5667,0.0571,0.0198,1.0197,25.0314,0.0354,0.056,9.9616
4,0.0617,0.5734,0.0617,0.0268,1.0142,23.4247,0.0438,0.0613,8.4784
5,0.0721,0.5945,0.0721,0.0257,1.0051,22.4384,0.0587,0.0724,9.642
6,0.0764,0.5939,0.0764,0.0336,1.0009,21.3752,0.0595,0.0756,9.1993
7,0.0874,0.6136,0.0874,0.0425,0.9925,19.1133,0.0656,0.0854,10.0916
8,0.0808,0.6216,0.0808,0.0415,0.9921,18.6412,0.0665,0.0782,9.7083
9,0.0932,0.6358,0.0932,0.0574,0.9863,18.253,0.0862,0.0909,10.389
10,0.0922,0.6406,0.0922,0.0569,0.9862,17.9842,0.0846,0.0905,9.898
11,0.0999,0.6511,0.0999,0.0577,0.981,17.5209,0.0943,0.0982,10.6661
12,0.1022,0.652,0.1022,0.0607,0.9788,17.5425,0.0985,0.0995,10.287
13,0.1129,0.6614,0.1129,0.0672,0.9735,16.5047,0.1029,0.1097,11.3119
14,0.1187,0.6701,0.1187,0.0729,0.9688,15.2805,0.1158,0.1153,10.3105
15,0.121,0.6794,0.121,0.0763,0.9687,14.4097,0.1132,0.1195,11.3286
16,0.1322,0.6882,0.1322,0.0864,0.9638,14.2556,0.1212,0.1301,10.8007
17,0.1401,0.6993,0.1401,0.0916,0.9615,13.4557,0.1256,0.1384,11.727
18,0.1457,0.7038,0.1457,0.1057,0.9584,13.3386,0.1356,0.1442,10.9556
19,0.1406,0.7045,0.1406,0.0982,0.9583,13.2264,0.1337,0.1391,12.2694
20,0.1475,0.7124,0.1475,0.1058,0.9563,12.6823,0.1366,0.1448,11.3716
21,0.1582,0.7202,0.1582,0.119,0.954,11.9795,0.1418,0.155,11.944
22,0.1546,0.7235,0.1546,0.1117,0.953,11.6933,0.1416,0.1518,11.9799
23,0.1654,0.7382,0.1654,0.1229,0.9488,10.8313,0.1496,0.1617,11.3072
24,0.1633,0.7445,0.1633,0.1209,0.9484,9.7932,0.1559,0.1588,12.9261
25,0.1704,0.7424,0.1704,0.1264,0.9463,9.9544,0.1549,0.1671,11.6775
26,0.1654,0.7461,0.1654,0.1204,0.9474,9.8958,0.1531,0.1617,13.1218
27,0.1755,0.755,0.1755,0.1395,0.9449,9.3673,0.1617,0.1729,12.1367
28,0.1783,0.7652,0.1783,0.1488,0.9428,9.0846,0.168,0.1787,12.4822
29,0.1926,0.7638,0.1926,0.1594,0.94,9.2729,0.1788,0.1934,13.8645
30,0.1918,0.7815,0.1918,0.1602,0.9377,8.4871,0.1841,0.1922,13.0951
31,0.2125,0.7881,0.2125,0.1824,0.935,8.0953,0.1904,0.2122,13.5208
32,0.1995,0.7865,0.1995,0.1731,0.9363,8.2356,0.1881,0.1987,13.5842
33,0.215,0.7911,0.215,0.1838,0.9338,8.1397,0.1967,0.2146,13.2361
34,0.2092,0.7887,0.2092,0.1829,0.9343,8.1129,0.1923,0.2088,14.2135
35,0.2135,0.7903,0.2135,0.1812,0.9339,8.3116,0.1947,0.2137,13.5329
36,0.2102,0.7966,0.2102,0.178,0.9322,7.9467,0.1997,0.2104,13.8895
37,0.2171,0.8008,0.2171,0.1907,0.9288,7.932,0.2149,0.2167,13.8917
38,0.2143,0.7981,0.2143,0.1859,0.9301,8.0947,0.2104,0.2139,13.189
39,0.2219,0.8082,0.2219,0.1937,0.9284,7.685,0.2213,0.2214,15.1779
40,0.2268,0.802,0.2268,0.1959,0.9262,7.9656,0.2226,0.2273,14.0974
41,0.2423,0.8069,0.2423,0.2145,0.9256,7.7185,0.2292,0.2432,13.908
42,0.2346,0.8082,0.2346,0.2108,0.9261,7.242,0.2284,0.2364,15.0507
43,0.2341,0.8116,0.2341,0.207,0.9243,7.2251,0.2288,0.2358,14.47
44,0.2438,0.8159,0.2438,0.217,0.9213,7.2267,0.2388,0.2458,14.494
45,0.2459,0.8204,0.2459,0.217,0.9208,6.9229,0.2385,0.2466,15.7411
46,0.2489,0.8207,0.2489,0.2187,0.9208,6.9093,0.2358,0.2487,15.3534
47,0.2566,0.824,0.2566,0.2301,0.9186,6.9571,0.2476,0.2566,15.1954
48,0.2527,0.8252,0.2527,0.2247,0.9204,6.6443,0.2384,0.2529,15.922
49,0.2662,0.8307,0.2662,0.2361,0.9152,6.4407,0.2591,0.2649,16.007
50,0.2527,0.8259,0.2527,0.2222,0.9174,6.7172,0.2498,0.252,15.5931
51,0.2749,0.831,0.2749,0.2468,0.9139,6.4038,0.2606,0.2762,16.1864
52,0.2698,0.8332,0.2698,0.2449,0.9146,6.2991,0.2617,0.2702,16.3215
53,0.2708,0.833,0.2708,0.2461,0.9152,6.4346,0.2585,0.2711,16.2433
54,0.2724,0.8347,0.2724,0.245,0.9136,6.2948,0.2641,0.273,16.3706
55,0.2759,0.8373,0.2759,0.2534,0.9127,6.1431,0.269,0.2782,16.4843
56,0.2785,0.8475,0.2785,0.2535,0.9107,5.7942,0.2757,0.2788,16.7507
57,0.2825,0.8422,0.2825,0.2591,0.9111,6.0067,0.2714,0.2828,17.4789
58,0.2917,0.8526,0.2917,0.2647,0.9086,5.5359,0.2784,0.2914,17.5486
59,0.3001,0.8525,0.3001,0.2749,0.906,5.711,0.2914,0.303,17.2838
