step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0657,0.5831,0.0657,0.0343,1.0052,22.4845,0.046,0.0655,0.628
1,0.1169,0.6471,0.1169,0.0792,0.9804,17.2635,0.0877,0.118,0.7496
2,0.1312,0.679,0.1312,0.0926,0.9701,14.013,0.1094,0.134,0.964
3,0.1503,0.709,0.1503,0.115,0.9625,11.4729,0.1241,0.154,1.0473
4,0.1712,0.7474,0.1712,0.1337,0.9538,9.5841,0.1509,0.1737,0.6216
5,0.1921,0.758,0.1921,0.1567,0.9497,9.4493,0.1759,0.1996,0.6272
6,0.2087,0.7691,0.2087,0.1729,0.9444,9.0119,0.196,0.2152,0.8466
7,0.227,0.7873,0.227,0.1926,0.9391,7.9901,0.2146,0.2336,0.6723
8,0.226,0.7952,0.226,0.1934,0.9373,7.9848,0.2172,0.2336,0.6627
9,0.2461,0.8016,0.2461,0.2132,0.9322,7.2558,0.2339,0.2536,1.0244
10,0.2581,0.8161,0.2581,0.2228,0.9298,7.0094,0.2443,0.263,0.8489
11,0.2854,0.8282,0.2854,0.2611,0.9241,6.3748,0.2691,0.29,0.873
12,0.2915,0.8227,0.2915,0.2575,0.9218,6.6017,0.2777,0.2973,0.8873
13,0.2991,0.8377,0.2991,0.2686,0.919,6.3022,0.287,0.3069,0.6826
14,0.3062,0.8506,0.3062,0.2751,0.9145,5.776,0.3037,0.3146,1.2127
15,0.3134,0.8553,0.3134,0.2831,0.9128,5.7403,0.3122,0.3234,0.7046
16,0.333,0.8572,0.333,0.3086,0.9108,5.618,0.3199,0.3426,1.2507
17,0.3358,0.8569,0.3358,0.3021,0.9087,5.8636,0.3261,0.345,0.9269
18,0.3332,0.8563,0.3332,0.3089,0.908,5.7942,0.3233,0.3437,0.7209
19,0.3508,0.8604,0.3508,0.3252,0.9026,5.8042,0.3387,0.3581,1.2786
20,0.3534,0.8664,0.3534,0.3282,0.9026,5.3368,0.3398,0.3639,0.876
