step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0153,0.5,0.0153,0.0004,1.9694,35.4927,0.013,0.013,2.9323
1,0.0155,0.5022,0.0155,0.0008,1.5441,34.9909,0.0137,0.0132,0.2394
2,0.0155,0.5026,0.0155,0.0008,1.3623,34.4435,0.0136,0.0132,0.2469
3,0.0155,0.5032,0.0155,0.0008,1.2674,33.8922,0.0137,0.0132,0.2601
4,0.0158,0.5067,0.0158,0.0012,1.2212,33.4858,0.0144,0.0135,0.2475
5,0.0158,0.5067,0.0158,0.0013,1.1875,33.1673,0.0141,0.0136,0.2588
6,0.0196,0.5149,0.0196,0.0029,1.1462,32.8023,0.0162,0.018,0.2642
7,0.0176,0.5159,0.0176,0.0037,1.1314,32.3721,0.0166,0.0156,0.2806
8,0.0224,0.5051,0.0224,0.0027,1.1293,32.3834,0.0152,0.0207,0.2559
9,0.0313,0.5177,0.0313,0.0071,1.1221,32.37,0.0189,0.0292,0.2503
10,0.0298,0.5198,0.0298,0.0055,1.1069,32.0075,0.0193,0.0276,0.2438
11,0.0296,0.5217,0.0296,0.0065,1.0932,31.6116,0.0204,0.0272,0.247
12,0.025,0.5176,0.025,0.0092,1.0838,31.2072,0.0206,0.0232,0.2506
13,0.0234,0.519,0.0234,0.0069,1.0813,31.2147,0.0195,0.0217,0.2544
14,0.029,0.523,0.029,0.0063,1.0742,30.7924,0.0207,0.0276,0.2609
15,0.0232,0.5255,0.0232,0.0078,1.0741,30.4201,0.0208,0.0209,0.2832
16,0.026,0.5276,0.026,0.01,1.0609,29.8397,0.0196,0.024,0.2632
17,0.0262,0.525,0.0262,0.0109,1.0519,29.4288,0.0203,0.0247,0.2712
18,0.0232,0.5314,0.0232,0.0104,1.0527,29.0358,0.0215,0.0211,0.2709
19,0.0301,0.5309,0.0301,0.0102,1.0514,29.0752,0.022,0.0292,0.2517
20,0.0341,0.5365,0.0341,0.0111,1.0521,29.0842,0.0237,0.033,0.2493
21,0.0344,0.5365,0.0344,0.0129,1.0422,28.5046,0.0244,0.0344,0.2528
22,0.0403,0.5434,0.0403,0.0161,1.0421,28.1654,0.0238,0.0411,0.2594
23,0.0344,0.5403,0.0344,0.0132,1.042,27.835,0.0227,0.0345,0.2705
24,0.0349,0.5405,0.0349,0.0146,1.043,27.8186,0.0246,0.0338,0.2705
25,0.0339,0.5411,0.0339,0.0098,1.0398,27.7738,0.021,0.033,0.2979
26,0.0382,0.5425,0.0382,0.013,1.0382,27.76,0.0256,0.0372,0.3012
27,0.0334,0.5417,0.0334,0.0109,1.0465,27.8256,0.0221,0.0321,0.2809
28,0.0372,0.546,0.0372,0.017,1.0387,27.3585,0.0262,0.0361,0.2685
29,0.0385,0.5384,0.0385,0.0168,1.035,26.9085,0.0264,0.0367,0.2615
30,0.0456,0.5499,0.0456,0.0174,1.0333,26.9704,0.0296,0.0447,0.2577
31,0.0413,0.5543,0.0413,0.0154,1.0316,26.5342,0.0283,0.0415,0.257
32,0.0425,0.5518,0.0425,0.0176,1.0284,26.1707,0.0301,0.0414,0.2614
33,0.042,0.5508,0.042,0.0182,1.0251,25.8959,0.0309,0.0408,0.2647
34,0.042,0.5533,0.042,0.0224,1.0269,25.8068,0.0337,0.0424,0.2907
35,0.0466,0.5568,0.0466,0.0215,1.0239,25.3527,0.0341,0.0467,0.3273
36,0.0456,0.553,0.0456,0.0204,1.022,25.3056,0.0392,0.046,0.3379
37,0.0446,0.5569,0.0446,0.0218,1.0217,25.0415,0.0382,0.0446,0.2969
38,0.052,0.5663,0.052,0.0245,1.0199,24.9979,0.0369,0.0511,0.2689
39,0.0487,0.5626,0.0487,0.0206,1.0198,24.8227,0.0357,0.0483,0.2707
40,0.0561,0.5683,0.0561,0.0277,1.0173,24.8214,0.0412,0.056,0.2748
41,0.0553,0.5712,0.0553,0.0296,1.0172,24.443,0.0389,0.0553,0.2751
42,0.0499,0.5652,0.0499,0.0208,1.0187,24.6774,0.0363,0.0503,0.2736
43,0.053,0.5679,0.053,0.0232,1.0162,24.3175,0.0391,0.0543,0.2747
44,0.0504,0.5758,0.0504,0.0239,1.0157,24.2228,0.0382,0.0509,0.3151
45,0.0517,0.5794,0.0517,0.0305,1.0159,24.1543,0.0406,0.0519,0.3421
46,0.0581,0.5695,0.0581,0.0276,1.0117,24.0608,0.0428,0.0589,0.2987
47,0.0563,0.5727,0.0563,0.0278,1.0134,23.8234,0.0417,0.0562,0.2723
48,0.0512,0.5798,0.0512,0.0245,1.0118,23.5243,0.0447,0.052,0.274
49,0.0553,0.5805,0.0553,0.0275,1.0115,23.545,0.0465,0.0568,0.2708
50,0.0553,0.577,0.0553,0.0263,1.0119,23.2194,0.042,0.056,0.2672
51,0.053,0.5741,0.053,0.0313,1.0119,22.9886,0.0407,0.0542,0.276
52,0.0558,0.579,0.0558,0.03,1.0105,23.0421,0.0385,0.0565,0.2921
53,0.0645,0.5868,0.0645,0.0317,1.007,22.8282,0.0448,0.0647,0.331
54,0.0599,0.5825,0.0599,0.0348,1.0082,22.5996,0.0419,0.0604,0.3307
55,0.0555,0.5802,0.0555,0.0303,1.0089,22.4816,0.0402,0.0561,0.2797
