step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0983,0.6173,0.0983,0.0568,0.9936,20.5548,0.0628,0.0994,0.0332
1,0.1289,0.6868,0.1289,0.1006,0.9733,15.3837,0.1037,0.1287,0.4708
2,0.1378,0.7163,0.1378,0.1075,0.9632,12.6275,0.1291,0.1409,0.7596
3,0.174,0.7564,0.174,0.1442,0.9533,10.0382,0.1556,0.1773,1.0904
4,0.2176,0.7885,0.2176,0.1851,0.9425,8.5442,0.1902,0.2192,1.5242
5,0.2336,0.8122,0.2336,0.2137,0.936,7.4548,0.2115,0.235,2.1274
6,0.2558,0.8286,0.2558,0.2458,0.932,6.6427,0.2346,0.2615,2.4161
7,0.2696,0.8335,0.2696,0.2568,0.9279,6.0824,0.2424,0.27,3.1321
8,0.2836,0.8442,0.2836,0.2715,0.9244,5.7385,0.2657,0.2873,3.5263
9,0.2966,0.8566,0.2966,0.2848,0.9209,5.3873,0.2771,0.2987,3.9173
10,0.3103,0.8597,0.3103,0.3042,0.9203,5.0339,0.291,0.3146,4.3985
11,0.3185,0.8618,0.3185,0.3119,0.9178,5.295,0.3006,0.32,4.7863
12,0.3322,0.8697,0.3322,0.3285,0.9159,4.814,0.3085,0.3347,5.2525
13,0.3485,0.8786,0.3485,0.3491,0.9095,4.656,0.3381,0.3544,5.5982
14,0.361,0.8793,0.361,0.3558,0.9111,4.5529,0.3308,0.3653,5.9818
15,0.3791,0.885,0.3791,0.3725,0.9073,4.5833,0.357,0.3842,5.8879
16,0.3806,0.8916,0.3806,0.3737,0.9052,4.4662,0.3667,0.3862,6.5377
17,0.3789,0.8962,0.3789,0.3764,0.9063,4.2258,0.3621,0.3829,6.8808
18,0.3845,0.8951,0.3845,0.3874,0.9046,4.2535,0.3654,0.3889,7.2132
19,0.3997,0.9023,0.3997,0.4024,0.9039,4.0371,0.3857,0.4055,7.4991
20,0.4079,0.9031,0.4079,0.4113,0.9015,3.9847,0.3902,0.4131,8.0207
21,0.4186,0.9113,0.4186,0.424,0.901,3.7593,0.394,0.4266,8.2355
22,0.4301,0.908,0.4301,0.4338,0.899,3.8984,0.404,0.4364,8.2826
23,0.4334,0.9132,0.4334,0.4323,0.8966,3.6837,0.4069,0.4385,8.6789
24,0.4448,0.9151,0.4448,0.4499,0.8962,3.7576,0.425,0.4518,9.3511
25,0.4425,0.9172,0.4425,0.4441,0.8926,3.709,0.4298,0.4457,9.7606
26,0.4433,0.916,0.4433,0.4469,0.8931,3.6907,0.428,0.448,9.8688
27,0.4517,0.9187,0.4517,0.4498,0.8917,3.6352,0.4329,0.4572,10.4118
28,0.4713,0.9263,0.4713,0.4792,0.8886,3.4739,0.4532,0.4776,10.2609
29,0.4459,0.9221,0.4459,0.4536,0.8916,3.5543,0.4381,0.4519,11.0292
30,0.4543,0.9255,0.4543,0.4598,0.8906,3.4933,0.4435,0.4596,11.4077
31,0.4792,0.926,0.4792,0.4885,0.8875,3.442,0.4685,0.4864,11.734
32,0.479,0.927,0.479,0.4881,0.8875,3.4551,0.4585,0.4861,11.9928
33,0.4828,0.9288,0.4828,0.4914,0.8853,3.3593,0.471,0.4901,12.1107
34,0.48,0.9288,0.48,0.4926,0.886,3.4956,0.4705,0.4897,12.3866
35,0.4955,0.9331,0.4955,0.5041,0.8828,3.3153,0.4809,0.501,13.0684
36,0.5009,0.9346,0.5009,0.5073,0.8822,3.2657,0.4842,0.5072,13.1521
37,0.4902,0.9328,0.4902,0.4983,0.882,3.3828,0.4787,0.4945,13.2736
38,0.4994,0.9339,0.4994,0.5063,0.882,3.3635,0.4865,0.5032,13.354
39,0.493,0.9318,0.493,0.5001,0.8821,3.2826,0.4827,0.4969,14.2446
40,0.4963,0.9348,0.4963,0.5031,0.8785,3.2877,0.4914,0.5014,15.5545
