step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0736,0.6117,0.0736,0.0504,0.9973,19.8275,0.054,0.0699,0.0374
1,0.1019,0.6827,0.1019,0.0722,0.9768,14.7726,0.0915,0.1,0.4754
2,0.1462,0.7175,0.1462,0.1149,0.9617,11.9756,0.1202,0.1405,0.757
3,0.1654,0.7587,0.1654,0.1402,0.9519,9.7827,0.1466,0.1612,1.1627
4,0.2199,0.7865,0.2199,0.1965,0.9394,8.5488,0.1945,0.2212,1.6329
5,0.2313,0.8041,0.2313,0.2058,0.9335,7.4427,0.2119,0.23,2.0643
6,0.268,0.8198,0.268,0.248,0.9256,6.9246,0.2357,0.2675,2.5775
7,0.2706,0.8321,0.2706,0.2516,0.9228,6.2359,0.2472,0.2685,3.0485
8,0.2971,0.8468,0.2971,0.2771,0.9168,5.6445,0.2741,0.2944,3.4494
9,0.319,0.8627,0.319,0.3028,0.9134,4.9217,0.2964,0.3133,3.8535
10,0.3353,0.8727,0.3353,0.3193,0.9074,4.6341,0.3221,0.3324,4.0968
11,0.3529,0.8808,0.3529,0.3397,0.9031,4.6727,0.3331,0.3516,4.5313
12,0.3633,0.8863,0.3633,0.3584,0.9013,4.4512,0.3381,0.3626,4.7609
13,0.3692,0.8879,0.3692,0.3596,0.899,4.4219,0.36,0.3639,5.2862
14,0.3778,0.8936,0.3778,0.37,0.8973,4.3072,0.3666,0.3775,5.5589
15,0.3946,0.901,0.3946,0.3871,0.8945,4.0278,0.3725,0.3905,5.7131
16,0.4181,0.9027,0.4181,0.41,0.8887,4.1085,0.401,0.415,6.0145
17,0.4242,0.9043,0.4242,0.4164,0.8891,3.9706,0.3997,0.4207,6.2111
18,0.4296,0.9063,0.4296,0.423,0.8855,3.8293,0.4028,0.4271,6.4993
19,0.4204,0.9131,0.4204,0.4172,0.886,3.7818,0.4087,0.4198,6.8501
20,0.4349,0.914,0.4349,0.4333,0.884,3.6895,0.4136,0.4334,7.1505
21,0.4471,0.9173,0.4471,0.4445,0.8816,3.7199,0.4261,0.446,7.4546
22,0.4724,0.9212,0.4724,0.4724,0.8773,3.6186,0.4489,0.4691,7.7704
23,0.4803,0.9255,0.4803,0.4795,0.8764,3.4,0.4505,0.4785,7.9403
24,0.4675,0.921,0.4675,0.4691,0.8751,3.5516,0.4538,0.4663,8.2615
25,0.482,0.9263,0.482,0.4811,0.8724,3.5033,0.4605,0.481,8.6847
26,0.4932,0.9282,0.4932,0.495,0.8712,3.4412,0.473,0.4929,8.9818
27,0.4973,0.9305,0.4973,0.4968,0.8697,3.4208,0.4716,0.4965,9.1331
28,0.4981,0.9323,0.4981,0.4984,0.8684,3.3829,0.4742,0.4977,9.4787
29,0.5055,0.9317,0.5055,0.5058,0.8673,3.4094,0.48,0.5058,10.1206
30,0.5152,0.9336,0.5152,0.5144,0.8658,3.4121,0.4884,0.513,10.0833
31,0.5085,0.9339,0.5085,0.5098,0.864,3.3239,0.4905,0.5068,10.4318
32,0.5129,0.9351,0.5129,0.5132,0.8642,3.2006,0.4982,0.5124,10.7129
33,0.5256,0.9382,0.5256,0.5271,0.8607,3.1752,0.5106,0.5258,11.1404
34,0.5276,0.9403,0.5276,0.5281,0.8617,3.2053,0.5087,0.5264,11.3339
35,0.533,0.9386,0.533,0.5345,0.8613,3.182,0.5078,0.5326,11.5369
