step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9895,0.9986,0.9895,0.9895,0.0292,0.0757,0.3423,0.9895,0.021
1,0.9782,0.9989,0.9782,0.9782,0.0384,0.0773,0.9128,0.9783,0.1885
2,0.9937,0.9989,0.9937,0.9937,0.0113,0.0269,0.4238,0.9937,0.1578
3,0.9946,0.999,0.9946,0.9946,0.0096,0.0234,0.3884,0.9946,0.2523
4,0.9942,0.9991,0.9942,0.9942,0.0092,0.0217,0.4932,0.9942,0.2817
5,0.9963,0.9993,0.9963,0.9963,0.0069,0.0184,0.612,0.9963,0.2235
6,0.9962,0.9993,0.9962,0.9962,0.0076,0.0196,0.5074,0.9962,0.2283
7,0.9957,0.9994,0.9957,0.9957,0.0074,0.0189,0.5348,0.9957,0.3918
8,0.9956,0.9993,0.9956,0.9956,0.0081,0.0211,0.6509,0.9956,0.4446
9,0.996,0.9993,0.996,0.996,0.0069,0.0194,0.6722,0.996,0.4827
10,0.9962,0.9994,0.9962,0.9962,0.007,0.0189,0.4786,0.9962,0.5138
11,0.9962,0.9993,0.9962,0.9962,0.0065,0.019,0.4977,0.9962,0.3351
12,0.9963,0.9993,0.9963,0.9963,0.0061,0.0188,0.5327,0.9963,0.6128
13,0.9963,0.9994,0.9963,0.9963,0.0064,0.019,0.5524,0.9963,0.3919
14,0.996,0.9994,0.996,0.996,0.0068,0.0208,0.4793,0.996,0.7188
15,0.9963,0.9993,0.9963,0.9963,0.0068,0.0208,0.43,0.9963,0.4079
16,0.996,0.9993,0.996,0.996,0.007,0.0209,0.4718,0.996,0.7686
17,0.996,0.9993,0.996,0.996,0.0068,0.021,0.4284,0.996,0.7721
18,0.996,0.9994,0.996,0.996,0.0066,0.0215,0.489,0.996,0.4876
19,0.9963,0.9994,0.9963,0.9963,0.0061,0.0207,0.4867,0.9963,0.9614
20,0.9963,0.9994,0.9963,0.9963,0.0061,0.0208,0.4779,0.9963,0.5373
21,0.9963,0.9994,0.9963,0.9963,0.0061,0.0209,0.4963,0.9963,0.5312
22,0.9964,0.9994,0.9964,0.9964,0.006,0.021,0.4839,0.9964,0.9909
23,0.9964,0.9994,0.9964,0.9964,0.0059,0.0208,0.4833,0.9964,0.602
24,0.9964,0.9994,0.9964,0.9964,0.006,0.0211,0.4534,0.9964,0.6094
25,0.9963,0.9995,0.9963,0.9963,0.0062,0.0207,0.4397,0.9963,1.1094
26,0.9963,0.9995,0.9963,0.9963,0.0062,0.0208,0.431,0.9963,0.6485
27,0.9963,0.9995,0.9963,0.9963,0.0061,0.021,0.4252,0.9963,1.1639
28,0.9963,0.9995,0.9963,0.9963,0.0064,0.0217,0.4174,0.9963,0.6986
29,0.9963,0.9995,0.9963,0.9963,0.0063,0.0218,0.4206,0.9963,0.6977
30,0.9963,0.9995,0.9963,0.9963,0.0064,0.022,0.4199,0.9963,1.352
31,0.9966,0.9995,0.9966,0.9966,0.0061,0.0213,0.3951,0.9966,1.3223
32,0.9964,0.9995,0.9964,0.9964,0.006,0.0214,0.4146,0.9964,1.433
33,0.9964,0.9995,0.9964,0.9964,0.0061,0.0217,0.4231,0.9964,1.469
34,0.9963,0.9995,0.9963,0.9963,0.006,0.0217,0.4208,0.9963,0.8067
35,0.9966,0.9995,0.9966,0.9966,0.0061,0.0216,0.4195,0.9966,0.8215
36,0.9969,0.9994,0.9969,0.9969,0.0057,0.0223,0.4253,0.9969,1.5979
37,0.997,0.9994,0.997,0.997,0.0058,0.0226,0.434,0.997,0.8893
38,0.997,0.9994,0.997,0.997,0.0057,0.0224,0.4335,0.997,1.7048
39,0.9969,0.9994,0.9969,0.9969,0.0057,0.0225,0.4279,0.9969,1.5574
40,0.9967,0.9994,0.9967,0.9967,0.0057,0.0229,0.4304,0.9967,1.7337
41,0.9969,0.9994,0.9969,0.9969,0.0057,0.0227,0.4341,0.9969,1.0151
42,0.9967,0.9994,0.9967,0.9967,0.0057,0.0226,0.4295,0.9967,1.0121
43,0.9967,0.9994,0.9967,0.9967,0.0057,0.0226,0.4253,0.9967,1.0266
44,0.9966,0.9995,0.9966,0.9966,0.0059,0.0222,0.4012,0.9966,1.9415
45,0.997,0.9995,0.997,0.997,0.0055,0.0212,0.3847,0.997,1.9721
46,0.997,0.9995,0.997,0.997,0.0055,0.0212,0.388,0.997,2.1278
47,0.9972,0.9995,0.9972,0.9972,0.0053,0.0205,0.3805,0.9972,2.081
48,0.997,0.9995,0.997,0.997,0.0053,0.0205,0.3819,0.997,2.0984
49,0.997,0.9995,0.997,0.997,0.0053,0.0206,0.3854,0.997,1.1734
50,0.9972,0.9995,0.9972,0.9972,0.0053,0.0205,0.3849,0.9972,2.1292
51,0.9972,0.9995,0.9972,0.9972,0.0052,0.0206,0.3881,0.9972,1.2468
52,0.9972,0.9995,0.9972,0.9972,0.0052,0.0207,0.3876,0.9972,2.1862
53,0.9972,0.9995,0.9972,0.9972,0.0052,0.0207,0.3861,0.9972,1.266
54,0.9972,0.9995,0.9972,0.9972,0.0053,0.0208,0.3885,0.9972,2.215
55,0.9972,0.9995,0.9972,0.9972,0.0053,0.0208,0.393,0.9972,2.3089
56,0.9972,0.9995,0.9972,0.9972,0.0052,0.0207,0.3882,0.9972,2.291
57,0.9972,0.9995,0.9972,0.9972,0.0052,0.0207,0.3803,0.9972,1.2507
58,0.9972,0.9995,0.9972,0.9972,0.0052,0.021,0.3887,0.9972,2.2406
59,0.9972,0.9995,0.9972,0.9972,0.0052,0.0206,0.3892,0.9972,2.4091
