step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9178,0.9985,0.9178,0.9173,0.1232,0.2058,0.9764,0.9181,0.2487
1,0.9434,0.9991,0.9434,0.9433,0.0858,0.1458,0.9474,0.9436,0.2195
2,0.9002,0.999,0.9002,0.8993,0.1402,0.2236,0.9827,0.9005,0.2039
3,0.9869,0.9993,0.9869,0.9869,0.0235,0.0507,0.8822,0.987,0.2137
4,0.9856,0.9993,0.9856,0.9856,0.0218,0.0433,0.7249,0.9857,0.2422
5,0.9885,0.9994,0.9885,0.9885,0.0175,0.0353,0.7617,0.9885,0.4596
6,0.9915,0.9993,0.9915,0.9915,0.0133,0.0284,0.8005,0.9915,0.2343
7,0.9902,0.9993,0.9902,0.9902,0.0149,0.0313,0.8303,0.9902,0.2425
8,0.9909,0.9993,0.9909,0.9909,0.0137,0.029,0.8441,0.9909,0.2407
9,0.9935,0.9993,0.9935,0.9935,0.0109,0.0231,0.7474,0.9935,0.2841
10,0.9939,0.9993,0.9939,0.9939,0.0098,0.0208,0.6468,0.9939,0.263
11,0.9939,0.9993,0.9939,0.9939,0.0096,0.021,0.6209,0.9939,0.2875
12,0.994,0.9993,0.994,0.994,0.0093,0.0207,0.6592,0.994,0.2701
13,0.9945,0.9993,0.9945,0.9945,0.0085,0.0193,0.6786,0.9945,0.2799
14,0.9952,0.9993,0.9952,0.9952,0.0074,0.0176,0.6227,0.9952,0.2503
15,0.9962,0.9992,0.9962,0.9962,0.0067,0.0171,0.5706,0.9962,0.23
16,0.9952,0.9992,0.9952,0.9952,0.0075,0.0183,0.5485,0.9952,0.2773
17,0.995,0.9992,0.995,0.995,0.0078,0.0191,0.5696,0.995,0.2607
18,0.9967,0.9992,0.9967,0.9967,0.0061,0.0163,0.5788,0.9967,0.2589
19,0.9967,0.9993,0.9967,0.9967,0.006,0.0161,0.5427,0.9967,0.2787
20,0.9967,0.9993,0.9967,0.9967,0.0058,0.0158,0.5255,0.9967,0.2181
21,0.9967,0.9992,0.9967,0.9967,0.0059,0.0161,0.5344,0.9967,0.3138
22,0.9964,0.9992,0.9964,0.9964,0.0058,0.016,0.5475,0.9964,0.3353
23,0.9967,0.9993,0.9967,0.9967,0.006,0.0159,0.4706,0.9967,0.6598
24,0.9966,0.9993,0.9966,0.9966,0.0059,0.0158,0.4466,0.9966,0.6304
25,0.9969,0.9993,0.9969,0.9969,0.006,0.016,0.4325,0.9969,0.2814
26,0.9966,0.9993,0.9966,0.9966,0.0062,0.0164,0.4213,0.9966,0.3131
27,0.996,0.9993,0.996,0.996,0.0063,0.0168,0.428,0.996,0.2739
28,0.9959,0.9993,0.9959,0.9959,0.0065,0.017,0.4335,0.9959,0.2808
29,0.996,0.9992,0.996,0.996,0.0065,0.0168,0.4197,0.996,0.2494
30,0.996,0.9992,0.996,0.996,0.0066,0.017,0.4283,0.996,0.252
31,0.9963,0.9993,0.9963,0.9963,0.0063,0.0166,0.4309,0.9963,0.2618
32,0.9962,0.9993,0.9962,0.9962,0.0064,0.0167,0.43,0.9962,0.2991
33,0.9966,0.9993,0.9966,0.9966,0.0062,0.0163,0.4276,0.9966,0.279
34,0.9963,0.9993,0.9963,0.9963,0.0063,0.0165,0.4321,0.9963,0.2445
35,0.9959,0.9992,0.9959,0.9959,0.0063,0.0165,0.4109,0.9959,0.3157
36,0.9964,0.9993,0.9964,0.9964,0.0062,0.0163,0.427,0.9964,0.2914
37,0.9959,0.9993,0.9959,0.9959,0.0067,0.0169,0.4497,0.9959,0.3014
38,0.9959,0.9992,0.9959,0.9959,0.0068,0.0171,0.4431,0.9959,0.3327
39,0.9952,0.9992,0.9952,0.9952,0.0074,0.0179,0.3849,0.9952,0.3157
40,0.9953,0.9993,0.9953,0.9953,0.0073,0.0173,0.4395,0.9953,0.3131
41,0.995,0.9993,0.995,0.995,0.0077,0.0181,0.3767,0.995,0.406
42,0.9953,0.9993,0.9953,0.9953,0.0076,0.018,0.3761,0.9953,0.3081
43,0.9952,0.9993,0.9952,0.9952,0.0077,0.0179,0.3763,0.9952,0.5967
44,0.9955,0.9992,0.9955,0.9954,0.0076,0.0177,0.387,0.9954,0.2958
45,0.9953,0.9993,0.9953,0.9953,0.0074,0.0173,0.3799,0.9953,0.265
46,0.9953,0.9992,0.9953,0.9953,0.0073,0.0175,0.3746,0.9953,0.2634
47,0.9956,0.9992,0.9956,0.9956,0.0071,0.0176,0.3717,0.9956,0.4373
48,0.9955,0.9992,0.9955,0.9954,0.0072,0.0177,0.3736,0.9954,0.3862
49,0.9957,0.9993,0.9957,0.9957,0.0069,0.0173,0.377,0.9957,0.2695
50,0.9959,0.9992,0.9959,0.9959,0.0069,0.0174,0.3769,0.9959,0.3221
51,0.9959,0.9993,0.9959,0.9959,0.007,0.0174,0.3764,0.9959,0.3523
52,0.9959,0.9993,0.9959,0.9959,0.007,0.0176,0.3746,0.9959,0.2828
53,0.9953,0.9993,0.9953,0.9953,0.0074,0.0178,0.3905,0.9953,0.316
54,0.9953,0.9993,0.9953,0.9953,0.0074,0.0178,0.3909,0.9953,0.282
55,0.9953,0.9994,0.9953,0.9953,0.0073,0.0177,0.3939,0.9953,0.2876
56,0.9953,0.9993,0.9953,0.9953,0.0073,0.0176,0.3899,0.9953,0.2986
57,0.9953,0.9993,0.9953,0.9953,0.0074,0.018,0.3926,0.9953,0.3311
58,0.9959,0.9993,0.9959,0.9959,0.0067,0.0172,0.3831,0.9959,0.3432
59,0.996,0.9993,0.996,0.996,0.0066,0.0171,0.3819,0.996,0.297
