step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9953,0.9995,0.9953,0.9953,0.0088,0.0207,0.4788,0.9953,6.7305
1,0.9945,0.9995,0.9945,0.9945,0.0094,0.0209,0.5653,0.9945,6.8109
2,0.9946,0.9994,0.9946,0.9946,0.0084,0.0186,0.6512,0.9946,6.7109
3,0.9969,0.9995,0.9969,0.9969,0.0063,0.0149,0.7851,0.9969,6.9702
4,0.9962,0.9995,0.9962,0.9962,0.0071,0.0165,0.8174,0.9962,6.8195
5,0.9967,0.9994,0.9967,0.9967,0.0059,0.0154,0.7532,0.9967,6.9131
6,0.9966,0.9993,0.9966,0.9966,0.0056,0.0155,0.7123,0.9966,6.7434
7,0.9967,0.9994,0.9967,0.9967,0.0054,0.0152,0.6979,0.9967,6.7264
8,0.9962,0.9993,0.9962,0.9962,0.0063,0.0178,0.6082,0.9962,6.7525
9,0.9967,0.9993,0.9967,0.9967,0.0058,0.018,0.5672,0.9967,6.7738
10,0.9969,0.9994,0.9969,0.9969,0.0056,0.0188,0.5379,0.9969,6.9221
11,0.997,0.9994,0.997,0.997,0.0055,0.019,0.5463,0.997,7.2235
12,0.997,0.9994,0.997,0.997,0.0056,0.0193,0.5013,0.997,6.8006
13,0.9967,0.9994,0.9967,0.9967,0.0056,0.0197,0.5049,0.9967,6.8466
14,0.9969,0.9994,0.9969,0.9969,0.0056,0.02,0.5104,0.9969,7.1753
15,0.9972,0.9995,0.9972,0.9972,0.0052,0.0188,0.4934,0.9972,6.9744
16,0.9977,0.9994,0.9977,0.9977,0.0049,0.0188,0.4458,0.9977,6.9322
17,0.9976,0.9994,0.9976,0.9976,0.0049,0.019,0.4321,0.9976,7.3128
18,0.9973,0.9994,0.9973,0.9973,0.0049,0.019,0.4121,0.9973,7.1412
19,0.9969,0.9994,0.9969,0.9969,0.0051,0.0199,0.3886,0.9969,6.8823
20,0.9972,0.9994,0.9972,0.9972,0.0051,0.0202,0.3845,0.9972,6.6828
21,0.9972,0.9994,0.9972,0.9972,0.0051,0.02,0.3858,0.9972,6.9134
22,0.9972,0.9995,0.9972,0.9972,0.0053,0.0194,0.3863,0.9972,6.744
23,0.9972,0.9996,0.9972,0.9972,0.0053,0.0189,0.3835,0.9972,6.5218
24,0.9972,0.9996,0.9972,0.9972,0.0051,0.0179,0.3834,0.9972,7.0536
25,0.9973,0.9996,0.9973,0.9973,0.0051,0.0176,0.3875,0.9973,6.9549
26,0.9973,0.9996,0.9973,0.9973,0.005,0.0176,0.39,0.9973,6.6812
27,0.9974,0.9996,0.9974,0.9974,0.0048,0.0168,0.3652,0.9974,6.8879
28,0.9973,0.9996,0.9973,0.9973,0.005,0.0172,0.3612,0.9973,6.4507
29,0.9973,0.9996,0.9973,0.9973,0.0049,0.0173,0.3626,0.9973,6.7033
30,0.9973,0.9996,0.9973,0.9973,0.005,0.0172,0.3605,0.9973,6.9178
31,0.997,0.9997,0.997,0.997,0.0049,0.017,0.366,0.997,6.0987
32,0.997,0.9997,0.997,0.997,0.005,0.017,0.3653,0.997,6.6925
33,0.997,0.9997,0.997,0.997,0.0049,0.017,0.3629,0.997,6.5176
34,0.9973,0.9996,0.9973,0.9973,0.0049,0.017,0.3669,0.9973,6.168
35,0.9972,0.9996,0.9972,0.9972,0.0049,0.017,0.3668,0.9972,6.3828
36,0.9972,0.9997,0.9972,0.9972,0.0049,0.0168,0.3699,0.9972,6.6977
37,0.9973,0.9996,0.9973,0.9973,0.0049,0.0169,0.3698,0.9973,6.1867
38,0.9974,0.9996,0.9974,0.9974,0.0048,0.017,0.3677,0.9974,6.6507
39,0.9973,0.9996,0.9973,0.9973,0.0048,0.0171,0.3662,0.9973,6.7835
40,0.9973,0.9996,0.9973,0.9973,0.0048,0.0172,0.3658,0.9973,6.8978
41,0.9974,0.9996,0.9974,0.9974,0.0048,0.0172,0.3669,0.9974,6.7368
42,0.9974,0.9996,0.9974,0.9974,0.0048,0.0172,0.3665,0.9974,6.3579
43,0.9973,0.9996,0.9973,0.9973,0.0048,0.0173,0.3654,0.9973,7.1636
44,0.9972,0.9996,0.9972,0.9972,0.0046,0.0179,0.3696,0.9972,7.0184
45,0.9974,0.9996,0.9974,0.9974,0.0045,0.0177,0.3682,0.9974,7.0069
46,0.9977,0.9996,0.9977,0.9977,0.0043,0.0181,0.3685,0.9977,7.1244
47,0.9974,0.9996,0.9974,0.9974,0.0043,0.0183,0.3732,0.9974,6.8669
48,0.9979,0.9996,0.9979,0.9979,0.0043,0.0179,0.3762,0.9979,6.6425
49,0.9974,0.9996,0.9974,0.9974,0.0044,0.0187,0.3719,0.9974,6.471
50,0.9974,0.9996,0.9974,0.9974,0.0044,0.0188,0.3745,0.9974,6.4532
51,0.9974,0.9996,0.9974,0.9974,0.0045,0.0188,0.3722,0.9974,7.0694
52,0.9974,0.9996,0.9974,0.9974,0.0044,0.0191,0.3733,0.9974,6.9307
53,0.9974,0.9996,0.9974,0.9974,0.0044,0.0188,0.3714,0.9974,6.5585
54,0.997,0.9996,0.997,0.997,0.0048,0.0196,0.3728,0.997,7.0567
55,0.9972,0.9995,0.9972,0.9972,0.0051,0.0205,0.4315,0.9972,7.025
56,0.9972,0.9996,0.9972,0.9972,0.0053,0.0206,0.405,0.9972,6.3484
57,0.9973,0.9996,0.9973,0.9973,0.0053,0.0207,0.4097,0.9973,7.2093
58,0.9972,0.9996,0.9972,0.9972,0.0052,0.0204,0.4128,0.9972,6.8053
59,0.9972,0.9996,0.9972,0.9972,0.0051,0.0204,0.4126,0.9972,6.7353
