step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9942,0.9995,0.9942,0.9942,0.0094,0.0225,0.3758,0.9942,0.0391
1,0.9945,0.9997,0.9945,0.9945,0.0087,0.018,0.4364,0.9945,0.0627
2,0.997,0.9995,0.997,0.997,0.0048,0.0124,0.6022,0.997,0.0621
3,0.9976,0.9995,0.9976,0.9976,0.0044,0.0141,0.5125,0.9976,0.0618
4,0.9972,0.9996,0.9972,0.9972,0.0053,0.0161,0.4062,0.9972,0.0627
5,0.9972,0.9995,0.9972,0.9972,0.0049,0.0161,0.4354,0.9972,0.0669
6,0.9973,0.9995,0.9973,0.9973,0.0044,0.0156,0.4154,0.9973,0.0646
7,0.9973,0.9996,0.9973,0.9973,0.0044,0.0164,0.3972,0.9973,0.063
8,0.9976,0.9996,0.9976,0.9976,0.0044,0.0166,0.3769,0.9976,0.0711
9,0.9974,0.9996,0.9974,0.9974,0.0042,0.0164,0.3829,0.9974,0.0736
10,0.9976,0.9996,0.9976,0.9976,0.0042,0.0165,0.3788,0.9976,0.0746
11,0.9977,0.9996,0.9977,0.9977,0.0043,0.0169,0.3896,0.9977,0.0776
12,0.9977,0.9996,0.9977,0.9977,0.0042,0.0168,0.3922,0.9977,0.0741
13,0.9976,0.9996,0.9976,0.9976,0.0043,0.0172,0.3957,0.9976,0.0773
14,0.9976,0.9997,0.9976,0.9976,0.0045,0.0172,0.3856,0.9976,0.0825
15,0.9976,0.9997,0.9976,0.9976,0.0045,0.0172,0.3865,0.9976,0.0807
16,0.9976,0.9997,0.9976,0.9976,0.0045,0.0173,0.3881,0.9976,0.0834
17,0.9974,0.9997,0.9974,0.9974,0.0047,0.018,0.3875,0.9974,0.0809
18,0.9974,0.9997,0.9974,0.9974,0.0047,0.0179,0.3893,0.9974,0.0819
19,0.998,0.9997,0.998,0.998,0.0039,0.0169,0.362,0.998,0.0837
20,0.998,0.9997,0.998,0.998,0.0038,0.0169,0.3598,0.998,0.0744
21,0.998,0.9997,0.998,0.998,0.0038,0.0171,0.3608,0.998,0.0664
22,0.998,0.9997,0.998,0.998,0.0038,0.0171,0.3599,0.998,0.0656
23,0.9979,0.9997,0.9979,0.9979,0.0038,0.0171,0.3605,0.9979,0.0671
24,0.998,0.9997,0.998,0.998,0.0038,0.0171,0.3608,0.998,0.0676
25,0.9979,0.9997,0.9979,0.9979,0.0038,0.0171,0.3601,0.9979,0.0674
26,0.9979,0.9997,0.9979,0.9979,0.0038,0.0174,0.3593,0.9979,0.0649
27,0.9979,0.9997,0.9979,0.9979,0.0038,0.0171,0.3601,0.9979,0.0616
28,0.9979,0.9997,0.9979,0.9979,0.0038,0.0175,0.358,0.9979,0.0618
29,0.9979,0.9997,0.9979,0.9979,0.0038,0.0171,0.3591,0.9979,0.0618
30,0.9979,0.9997,0.9979,0.9979,0.0039,0.0174,0.3587,0.9979,0.0629
31,0.9979,0.9997,0.9979,0.9979,0.0038,0.0173,0.3583,0.9979,0.0595
32,0.9979,0.9997,0.9979,0.9979,0.0039,0.0175,0.3583,0.9979,0.0585
33,0.998,0.9998,0.998,0.998,0.004,0.0165,0.3565,0.998,0.0638
34,0.998,0.9998,0.998,0.998,0.004,0.0166,0.3562,0.998,0.063
35,0.998,0.9998,0.998,0.998,0.004,0.0166,0.3562,0.998,0.0617
36,0.998,0.9998,0.998,0.998,0.004,0.0165,0.3564,0.998,0.0614
37,0.9979,0.9998,0.9979,0.9979,0.004,0.0165,0.3567,0.9979,0.0585
38,0.9979,0.9998,0.9979,0.9979,0.004,0.0166,0.3565,0.9979,0.0602
39,0.9979,0.9998,0.9979,0.9979,0.004,0.0167,0.3556,0.9979,0.0586
40,0.9974,0.9998,0.9974,0.9974,0.0044,0.0166,0.3649,0.9974,0.0585
41,0.9974,0.9998,0.9974,0.9974,0.0045,0.0168,0.3655,0.9974,0.0605
42,0.9974,0.9998,0.9974,0.9974,0.0046,0.017,0.3615,0.9974,0.0593
43,0.9974,0.9998,0.9974,0.9974,0.0045,0.0167,0.365,0.9974,0.0569
44,0.9974,0.9998,0.9974,0.9974,0.0045,0.0168,0.3644,0.9974,0.0589
45,0.9974,0.9998,0.9974,0.9974,0.0045,0.0167,0.3638,0.9974,0.06
46,0.9974,0.9998,0.9974,0.9974,0.0046,0.0171,0.3606,0.9974,0.058
47,0.9974,0.9998,0.9974,0.9974,0.0044,0.0166,0.3651,0.9974,0.0558
48,0.9973,0.9998,0.9973,0.9973,0.0046,0.0171,0.3646,0.9973,0.0601
49,0.9973,0.9998,0.9973,0.9973,0.0045,0.017,0.3627,0.9973,0.0563
50,0.9973,0.9998,0.9973,0.9973,0.0046,0.0171,0.3618,0.9973,0.0593
51,0.9973,0.9998,0.9973,0.9973,0.0045,0.0171,0.3625,0.9973,0.0556
52,0.9974,0.9998,0.9974,0.9974,0.0045,0.0171,0.3595,0.9974,0.0566
53,0.9974,0.9998,0.9974,0.9974,0.0045,0.0171,0.3595,0.9974,0.0558
54,0.9974,0.9998,0.9974,0.9974,0.0046,0.0173,0.3593,0.9974,0.053
55,0.9973,0.9998,0.9973,0.9973,0.0045,0.017,0.3635,0.9973,0.0521
56,0.9974,0.9998,0.9974,0.9974,0.0046,0.0172,0.361,0.9974,0.0551
57,0.9973,0.9998,0.9973,0.9973,0.0046,0.0171,0.3617,0.9973,0.0546
58,0.9974,0.9998,0.9974,0.9974,0.0046,0.0171,0.359,0.9974,0.0526
59,0.9974,0.9998,0.9974,0.9974,0.0045,0.0172,0.3601,0.9974,0.0525
