step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9726,0.9979,0.9726,0.9725,0.0615,0.1355,0.4003,0.9725,11.344
1,0.9802,0.9979,0.9802,0.9802,0.0553,0.128,0.521,0.9802,10.1841
2,0.9872,0.9992,0.9872,0.9872,0.0441,0.1101,0.3316,0.9872,9.7934
3,0.9886,0.999,0.9886,0.9886,0.0359,0.0967,0.3842,0.9886,9.9712
4,0.9888,0.9991,0.9888,0.9888,0.0416,0.1124,0.3696,0.9888,10.5705
5,0.99,0.9993,0.99,0.99,0.0383,0.1097,0.3848,0.9901,10.5421
6,0.9927,0.9995,0.9927,0.9927,0.0388,0.1138,0.3597,0.9927,10.8369
7,0.9935,0.9996,0.9935,0.9935,0.0343,0.1073,0.3944,0.9935,10.0678
8,0.9935,0.9996,0.9935,0.9935,0.037,0.1137,0.3817,0.9935,10.0208
9,0.993,0.9995,0.993,0.993,0.0406,0.1225,0.4044,0.993,9.5637
10,0.9939,0.9995,0.9939,0.9939,0.0394,0.1211,0.4341,0.9939,10.6018
11,0.9937,0.9995,0.9937,0.9937,0.0401,0.1224,0.4404,0.9937,10.1721
12,0.9945,0.9995,0.9945,0.9945,0.0426,0.1283,0.4556,0.9945,10.9538
13,0.9945,0.9996,0.9945,0.9945,0.0427,0.1288,0.4626,0.9945,10.329
14,0.9953,0.9996,0.9953,0.9953,0.0415,0.1272,0.4748,0.9953,10.1383
15,0.9957,0.9996,0.9957,0.9957,0.0427,0.1306,0.4728,0.9957,9.5904
16,0.996,0.9997,0.996,0.996,0.0431,0.1319,0.4585,0.996,10.0923
17,0.9962,0.9996,0.9962,0.9962,0.0415,0.1294,0.473,0.9962,11.4122
18,0.9956,0.9996,0.9956,0.9956,0.042,0.1299,0.4954,0.9956,11.2803
19,0.9962,0.9996,0.9962,0.9962,0.0418,0.1302,0.4787,0.9962,11.6458
20,0.9955,0.9997,0.9955,0.9955,0.0418,0.13,0.4988,0.9955,10.9015
21,0.9949,0.9997,0.9949,0.9949,0.0428,0.1317,0.5131,0.9949,11.2406
22,0.9962,0.9997,0.9962,0.9962,0.042,0.1317,0.4894,0.9962,10.8873
23,0.9959,0.9997,0.9959,0.9959,0.0413,0.1296,0.5255,0.9959,11.918
24,0.9963,0.9997,0.9963,0.9963,0.0422,0.1328,0.5004,0.9963,12.1612
25,0.996,0.9997,0.996,0.996,0.0431,0.1335,0.529,0.996,11.1051
26,0.9957,0.9997,0.9957,0.9957,0.0461,0.1386,0.5448,0.9957,10.8559
27,0.9956,0.9997,0.9956,0.9956,0.0468,0.139,0.5703,0.9956,11.6945
28,0.9957,0.9998,0.9957,0.9957,0.0442,0.1356,0.5369,0.9957,11.902
29,0.9963,0.9998,0.9963,0.9963,0.0446,0.1369,0.5439,0.9963,12.1709
30,0.9966,0.9998,0.9966,0.9966,0.0449,0.1371,0.5596,0.9966,11.4554
31,0.9969,0.9998,0.9969,0.9969,0.045,0.1379,0.5549,0.9969,10.8095
32,0.9966,0.9998,0.9966,0.9966,0.0452,0.1377,0.5766,0.9966,11.9681
33,0.997,0.9997,0.997,0.997,0.0438,0.1358,0.5612,0.997,11.8483
34,0.9964,0.9997,0.9964,0.9964,0.0447,0.137,0.572,0.9964,11.9827
35,0.9959,0.9997,0.9959,0.9959,0.0445,0.1367,0.5779,0.9959,11.1666
36,0.9964,0.9997,0.9964,0.9964,0.0426,0.1343,0.5536,0.9964,11.4766
37,0.9962,0.9997,0.9962,0.9962,0.0439,0.1365,0.5752,0.9962,11.7086
38,0.9964,0.9998,0.9964,0.9964,0.0429,0.1351,0.5632,0.9964,11.7561
39,0.996,0.9997,0.996,0.996,0.043,0.1347,0.584,0.996,11.9978
40,0.9962,0.9998,0.9962,0.9962,0.0431,0.1348,0.5974,0.9962,12.0166
41,0.996,0.9997,0.996,0.996,0.0439,0.1364,0.6006,0.996,12.1442
42,0.9959,0.9997,0.9959,0.9959,0.0447,0.1375,0.6108,0.9959,11.9147
43,0.9962,0.9997,0.9962,0.9962,0.0445,0.1383,0.5969,0.9962,11.309
44,0.9962,0.9997,0.9962,0.9962,0.0446,0.1381,0.6069,0.9962,12.0947
45,0.9962,0.9998,0.9962,0.9962,0.0446,0.1379,0.6013,0.9962,12.3613
46,0.9964,0.9998,0.9964,0.9964,0.0448,0.1382,0.6071,0.9964,12.3154
47,0.9967,0.9998,0.9967,0.9967,0.0437,0.1363,0.6109,0.9967,11.8855
48,0.9966,0.9998,0.9966,0.9966,0.0433,0.1361,0.6058,0.9966,11.928
49,0.9964,0.9998,0.9964,0.9964,0.044,0.1377,0.6073,0.9964,12.4453
50,0.9962,0.9998,0.9962,0.9962,0.0453,0.1397,0.6065,0.9962,11.3274
51,0.9964,0.9998,0.9964,0.9964,0.0448,0.1391,0.6051,0.9964,12.0491
52,0.9966,0.9998,0.9966,0.9966,0.0447,0.1388,0.6097,0.9966,12.3138
53,0.9967,0.9998,0.9967,0.9967,0.0449,0.1388,0.6208,0.9967,11.9794
54,0.9964,0.9998,0.9964,0.9964,0.0454,0.1396,0.6302,0.9964,11.489
