step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9923,0.9993,0.9923,0.9923,0.0226,0.0627,0.4022,0.9923,2.1499
1,0.9963,0.9994,0.9963,0.9963,0.0142,0.0484,0.4329,0.9963,3.1874
2,0.9955,0.9994,0.9955,0.9954,0.0151,0.0509,0.368,0.9954,4.6268
3,0.9945,0.9994,0.9945,0.9945,0.0181,0.0556,0.3412,0.9944,5.1219
4,0.9925,0.9994,0.9925,0.9925,0.021,0.0603,0.3294,0.9925,6.5379
5,0.9932,0.9994,0.9932,0.9932,0.021,0.0602,0.3284,0.9932,7.3118
6,0.9933,0.9993,0.9933,0.9933,0.0211,0.0607,0.3279,0.9933,9.1876
7,0.9929,0.9994,0.9929,0.9929,0.0211,0.0604,0.3291,0.9929,9.3786
8,0.9932,0.9994,0.9932,0.9932,0.0212,0.0607,0.3265,0.9932,10.3767
9,0.9919,0.9994,0.9919,0.9919,0.0221,0.062,0.324,0.9919,10.9271
10,0.9915,0.9994,0.9915,0.9915,0.023,0.0633,0.3218,0.9915,12.927
11,0.992,0.9994,0.992,0.992,0.0229,0.0632,0.3219,0.992,12.4117
12,0.9915,0.9994,0.9915,0.9915,0.0239,0.0649,0.3195,0.9914,14.7662
13,0.9916,0.9994,0.9916,0.9916,0.0247,0.0659,0.3185,0.9916,15.393
14,0.9912,0.9994,0.9912,0.9912,0.0246,0.0658,0.3185,0.9912,16.7987
15,0.9909,0.9994,0.9909,0.9909,0.0253,0.0668,0.3182,0.9909,17.0286
16,0.9906,0.9994,0.9906,0.9906,0.0261,0.0682,0.317,0.9906,18.2175
17,0.9903,0.9994,0.9903,0.9903,0.0267,0.0691,0.3166,0.9903,18.7281
18,0.9905,0.9994,0.9905,0.9905,0.0261,0.0682,0.3169,0.9905,20.5053
19,0.9906,0.9994,0.9906,0.9906,0.0263,0.0687,0.3162,0.9906,20.9408
20,0.9905,0.9995,0.9905,0.9905,0.0262,0.0687,0.316,0.9905,21.5043
21,0.9905,0.9995,0.9905,0.9905,0.0265,0.069,0.3157,0.9905,23.7605
22,0.9906,0.9995,0.9906,0.9906,0.0257,0.0677,0.3164,0.9906,24.9502
23,0.9903,0.9995,0.9903,0.9903,0.0263,0.0687,0.316,0.9903,25.8417
24,0.9905,0.9995,0.9905,0.9905,0.0269,0.0695,0.3156,0.9905,25.6683
25,0.9903,0.9995,0.9903,0.9903,0.0268,0.0694,0.3158,0.9903,27.9194
26,0.9908,0.9995,0.9908,0.9908,0.0266,0.0693,0.316,0.9907,28.1411
27,0.9908,0.9995,0.9908,0.9908,0.0265,0.0691,0.3162,0.9907,28.2621
28,0.9909,0.9995,0.9909,0.9909,0.0263,0.069,0.3166,0.9909,30.2141
29,0.9913,0.9995,0.9913,0.9913,0.0256,0.0681,0.3171,0.9913,30.8555
30,0.9915,0.9995,0.9915,0.9915,0.0255,0.0678,0.3171,0.9914,31.8679
31,0.9913,0.9995,0.9913,0.9913,0.0255,0.068,0.3171,0.9913,33.0665
32,0.9915,0.9995,0.9915,0.9915,0.0251,0.0674,0.3172,0.9915,34.7632
33,0.9915,0.9995,0.9915,0.9915,0.025,0.0672,0.3173,0.9915,34.9297
34,0.9915,0.9995,0.9915,0.9915,0.0245,0.0666,0.3175,0.9915,34.9943
35,0.9916,0.9995,0.9916,0.9916,0.0242,0.0661,0.3177,0.9916,39.1749
36,0.9916,0.9995,0.9916,0.9916,0.0243,0.0662,0.3176,0.9916,39.3257
37,0.9916,0.9995,0.9916,0.9916,0.0245,0.0666,0.3173,0.9916,40.8088
38,0.9916,0.9995,0.9916,0.9916,0.0248,0.067,0.3171,0.9916,41.5819
39,0.9918,0.9995,0.9918,0.9918,0.025,0.0672,0.317,0.9917,41.749
40,0.9916,0.9995,0.9916,0.9916,0.0252,0.0676,0.3167,0.9916,43.5633
41,0.9915,0.9995,0.9915,0.9915,0.0252,0.0675,0.3168,0.9915,44.3431
42,0.9915,0.9995,0.9915,0.9915,0.0246,0.0666,0.3171,0.9915,47.2694
43,0.9915,0.9995,0.9915,0.9915,0.0242,0.0661,0.3173,0.9915,46.5315
44,0.9916,0.9995,0.9916,0.9916,0.0241,0.066,0.3175,0.9916,48.1853
45,0.9916,0.9995,0.9916,0.9916,0.0239,0.0658,0.3176,0.9916,48.191
46,0.9915,0.9995,0.9915,0.9915,0.0237,0.0655,0.3178,0.9915,51.7742
47,0.9915,0.9995,0.9915,0.9915,0.0234,0.0651,0.318,0.9915,52.0152
48,0.9915,0.9995,0.9915,0.9915,0.0234,0.0651,0.3184,0.9915,53.1123
49,0.9915,0.9995,0.9915,0.9915,0.0233,0.0651,0.3183,0.9915,53.8513
50,0.9916,0.9995,0.9916,0.9916,0.0234,0.0652,0.3182,0.9916,55.9474
51,0.9916,0.9995,0.9916,0.9916,0.0232,0.0649,0.3186,0.9916,54.9341
52,0.9916,0.9995,0.9916,0.9916,0.0231,0.0648,0.3187,0.9916,58.7479
53,0.9916,0.9995,0.9916,0.9916,0.0231,0.0648,0.3187,0.9916,57.5468
54,0.9918,0.9995,0.9918,0.9918,0.0229,0.0644,0.319,0.9917,58.7882
55,0.9918,0.9995,0.9918,0.9918,0.0227,0.064,0.3194,0.9917,58.5842
56,0.9919,0.9995,0.9919,0.9919,0.0225,0.0639,0.3197,0.9919,58.252
57,0.992,0.9995,0.992,0.992,0.0224,0.0637,0.3197,0.992,55.1874
58,0.9923,0.9995,0.9923,0.9923,0.0223,0.0636,0.3198,0.9923,47.6997
59,0.9923,0.9995,0.9923,0.9923,0.022,0.0632,0.3202,0.9923,51.2989
