step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5015,0.5,0.5015,0.334,0.997,17.968,0.4985,0.5,5.0136
1,0.7933,0.9614,0.7933,0.785,0.276,0.4128,0.3299,0.7927,4.9163
2,0.8949,0.9565,0.8949,0.8949,0.1627,0.2719,0.4691,0.895,4.9336
3,0.9136,0.9915,0.9136,0.9131,0.1232,0.205,0.3373,0.9133,5.2225
4,0.9778,0.9965,0.9778,0.9778,0.054,0.1192,0.4309,0.9778,5.1907
5,0.9812,0.9972,0.9812,0.9812,0.0473,0.112,0.4972,0.9813,4.7427
6,0.9669,0.9964,0.9669,0.9668,0.0685,0.1446,0.6095,0.967,4.8982
7,0.9743,0.9958,0.9743,0.9743,0.0693,0.1527,0.5126,0.9743,4.9063
8,0.9629,0.9954,0.9629,0.9629,0.0824,0.167,0.3985,0.9628,4.8148
9,0.9736,0.9961,0.9736,0.9735,0.0701,0.1526,0.4236,0.9735,5.0814
10,0.9802,0.9971,0.9802,0.9802,0.0591,0.1403,0.4853,0.9802,5.0539
11,0.9844,0.9978,0.9844,0.9844,0.0526,0.1323,0.514,0.9844,4.8958
12,0.9848,0.9981,0.9848,0.9848,0.0534,0.1335,0.5618,0.9848,5.1121
13,0.9844,0.9984,0.9844,0.9844,0.0543,0.137,0.4861,0.9843,4.8419
14,0.9758,0.9978,0.9758,0.9758,0.0643,0.1473,0.5783,0.9759,5.1596
15,0.9721,0.9977,0.9721,0.9721,0.0728,0.1595,0.6357,0.9722,5.02
16,0.9825,0.9979,0.9825,0.9825,0.0577,0.1447,0.4838,0.9825,4.7347
17,0.9856,0.9987,0.9856,0.9856,0.0524,0.1374,0.4287,0.9856,4.7948
18,0.9821,0.9976,0.9821,0.9821,0.0589,0.1482,0.463,0.9821,4.9456
19,0.9866,0.9981,0.9866,0.9866,0.0531,0.1406,0.4992,0.9867,4.8966
20,0.9858,0.9982,0.9858,0.9858,0.0546,0.1437,0.5514,0.9858,4.9548
21,0.9839,0.9982,0.9839,0.9839,0.058,0.1497,0.5932,0.984,5.0304
22,0.9869,0.9983,0.9869,0.9869,0.057,0.1517,0.5447,0.9869,4.9351
23,0.9868,0.9984,0.9868,0.9868,0.0555,0.149,0.5715,0.9868,4.9906
24,0.9885,0.9984,0.9885,0.9885,0.0567,0.152,0.5389,0.9885,4.947
25,0.9906,0.9986,0.9906,0.9906,0.053,0.1453,0.4883,0.9906,4.9826
26,0.9905,0.9988,0.9905,0.9905,0.0506,0.1416,0.5046,0.9905,4.811
27,0.9912,0.9987,0.9912,0.9912,0.0494,0.1389,0.4677,0.9912,5.0296
28,0.9913,0.9989,0.9913,0.9913,0.0469,0.1351,0.489,0.9913,5.1657
29,0.9918,0.9989,0.9918,0.9918,0.0469,0.1358,0.5054,0.9918,4.9577
30,0.9926,0.9989,0.9926,0.9926,0.0479,0.1377,0.4833,0.9926,4.9699
31,0.9933,0.9989,0.9933,0.9933,0.0506,0.1432,0.4507,0.9933,4.9254
