step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9849,0.9989,0.9849,0.9849,0.1372,0.2872,0.5312,0.985,0.0322
1,0.9272,0.9988,0.9272,0.9268,0.1822,0.3305,0.3143,0.927,0.4648
2,0.9936,0.9994,0.9936,0.9936,0.1405,0.2975,0.4566,0.9936,0.3094
3,0.9936,0.9995,0.9936,0.9936,0.1528,0.3138,0.457,0.9936,0.7266
4,0.9949,0.9994,0.9949,0.9949,0.1558,0.3188,0.6095,0.9949,0.9288
5,0.9952,0.9995,0.9952,0.9952,0.1547,0.3182,0.5032,0.9952,0.6709
6,0.9964,0.9995,0.9964,0.9964,0.1277,0.283,0.4763,0.9964,0.7219
7,0.9972,0.9997,0.9972,0.9972,0.1234,0.276,0.3698,0.9972,1.3818
8,0.9969,0.9997,0.9969,0.9969,0.1168,0.267,0.3915,0.9969,1.5862
9,0.996,0.9998,0.996,0.996,0.1033,0.247,0.3824,0.996,1.8032
10,0.9966,0.9998,0.9966,0.9966,0.091,0.228,0.4637,0.9966,1.1416
11,0.997,0.9998,0.997,0.997,0.0872,0.2221,0.4564,0.997,1.2317
12,0.9966,0.9997,0.9966,0.9966,0.0846,0.2175,0.4547,0.9966,1.3526
13,0.9967,0.9996,0.9967,0.9967,0.0757,0.2031,0.4728,0.9967,2.4911
14,0.9967,0.9996,0.9967,0.9967,0.0698,0.1928,0.4511,0.9967,2.6969
15,0.9967,0.9996,0.9967,0.9967,0.0662,0.1858,0.4102,0.9967,2.9302
16,0.9974,0.9996,0.9974,0.9974,0.0611,0.1768,0.4135,0.9974,3.1175
17,0.9967,0.9997,0.9967,0.9967,0.0616,0.1772,0.42,0.9967,3.7027
18,0.997,0.9998,0.997,0.997,0.0561,0.1669,0.4344,0.997,3.1987
19,0.9969,0.9996,0.9969,0.9969,0.0548,0.1636,0.4645,0.9969,3.273
20,0.9969,0.9996,0.9969,0.9969,0.0549,0.1646,0.4542,0.9969,2.1399
21,0.9974,0.9996,0.9974,0.9974,0.0516,0.1581,0.4342,0.9974,3.5823
22,0.9974,0.9995,0.9974,0.9974,0.0502,0.1539,0.4557,0.9974,3.7266
23,0.9972,0.9996,0.9972,0.9972,0.0492,0.152,0.426,0.9972,3.6132
24,0.9969,0.9997,0.9969,0.9969,0.047,0.1475,0.4213,0.9969,4.1611
25,0.9974,0.9997,0.9974,0.9974,0.0461,0.1451,0.4221,0.9974,4.0032
26,0.9966,0.9997,0.9966,0.9966,0.0425,0.1371,0.4432,0.9966,4.1285
27,0.9967,0.9997,0.9967,0.9967,0.0422,0.1364,0.4363,0.9967,2.6692
28,0.9964,0.9996,0.9964,0.9964,0.0422,0.1368,0.4498,0.9964,2.8388
29,0.9964,0.9997,0.9964,0.9964,0.0412,0.134,0.4487,0.9964,3.8006
30,0.9966,0.9996,0.9966,0.9966,0.039,0.1294,0.4462,0.9966,2.9575
31,0.997,0.9996,0.997,0.997,0.0392,0.1292,0.4372,0.997,3.1454
32,0.9974,0.9997,0.9974,0.9974,0.0385,0.1276,0.4452,0.9974,4.1756
33,0.9972,0.9998,0.9972,0.9972,0.0368,0.1231,0.4347,0.9972,3.9709
34,0.9969,0.9996,0.9969,0.9969,0.0371,0.1233,0.4325,0.9969,4.1657
35,0.9969,0.9997,0.9969,0.9969,0.0366,0.1219,0.4248,0.9969,3.8228
36,0.997,0.9997,0.997,0.997,0.0355,0.1196,0.4383,0.997,3.2724
37,0.9967,0.9998,0.9967,0.9967,0.0354,0.1191,0.4254,0.9967,3.2973
38,0.996,0.9996,0.996,0.996,0.0343,0.1164,0.462,0.996,3.8232
39,0.9972,0.9997,0.9972,0.9972,0.0334,0.1132,0.4373,0.9972,3.3233
40,0.9966,0.9997,0.9966,0.9966,0.0334,0.1139,0.454,0.9966,3.7999
41,0.997,0.9997,0.997,0.997,0.0329,0.1129,0.4331,0.997,3.8765
42,0.9972,0.9996,0.9972,0.9972,0.0323,0.111,0.4512,0.9972,4.0897
43,0.997,0.9997,0.997,0.997,0.0324,0.1109,0.4453,0.997,4.2303
44,0.9973,0.9997,0.9973,0.9973,0.0314,0.1071,0.4458,0.9973,3.3064
45,0.997,0.9998,0.997,0.997,0.0316,0.1085,0.4433,0.997,3.8923
46,0.9964,0.9997,0.9964,0.9964,0.0312,0.1068,0.4346,0.9964,4.3795
47,0.9967,0.9997,0.9967,0.9967,0.0315,0.1073,0.4371,0.9967,3.3046
48,0.9963,0.9997,0.9963,0.9963,0.0302,0.1042,0.4524,0.9963,4.1092
49,0.997,0.9997,0.997,0.997,0.0292,0.1026,0.4606,0.997,3.4224
50,0.9969,0.9997,0.9969,0.9969,0.0294,0.1025,0.4314,0.9969,4.4752
