step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9879,0.9993,0.9879,0.9879,0.1464,0.3019,0.6424,0.9879,0.7079
1,0.9935,0.9994,0.9935,0.9935,0.1076,0.2483,0.4621,0.9935,0.7988
2,0.9959,0.9996,0.9959,0.9959,0.0886,0.2184,0.3944,0.9959,0.83
3,0.9957,0.9996,0.9957,0.9957,0.0863,0.2172,0.4352,0.9957,0.8741
4,0.9963,0.9997,0.9963,0.9963,0.0719,0.1923,0.4192,0.9963,0.9086
5,0.9956,0.9995,0.9956,0.9956,0.0676,0.1849,0.4573,0.9956,0.9277
6,0.9955,0.9994,0.9955,0.9955,0.0643,0.1783,0.4119,0.9955,0.9898
7,0.9963,0.9996,0.9963,0.9963,0.0582,0.1671,0.4621,0.9963,1.1318
8,0.9956,0.9999,0.9956,0.9956,0.0568,0.1667,0.466,0.9956,1.2194
9,0.9959,0.9997,0.9959,0.9959,0.0535,0.1591,0.4223,0.9959,1.2348
10,0.9959,0.9998,0.9959,0.9959,0.0496,0.1513,0.4318,0.9959,1.2865
11,0.9964,0.9997,0.9964,0.9964,0.0485,0.1497,0.4684,0.9965,1.3578
12,0.9963,0.9998,0.9963,0.9963,0.0479,0.1477,0.4359,0.9963,1.3955
13,0.9957,0.9996,0.9957,0.9957,0.0459,0.1433,0.4541,0.9957,1.454
14,0.996,0.9997,0.996,0.996,0.0439,0.1397,0.4758,0.996,1.4952
15,0.9957,0.9997,0.9957,0.9957,0.0449,0.1416,0.449,0.9957,1.579
16,0.9964,0.9997,0.9964,0.9964,0.0419,0.1352,0.4538,0.9965,1.6801
17,0.9964,0.9997,0.9964,0.9964,0.0422,0.1359,0.45,0.9964,1.7101
18,0.9963,0.9997,0.9963,0.9963,0.0403,0.1311,0.4626,0.9963,1.7617
19,0.9969,0.9998,0.9969,0.9969,0.0398,0.1301,0.4458,0.9969,1.8947
20,0.9966,0.9997,0.9966,0.9966,0.0386,0.1273,0.436,0.9966,1.9356
21,0.9969,0.9998,0.9969,0.9969,0.0385,0.1272,0.4725,0.9969,2.0133
22,0.997,0.9997,0.997,0.997,0.0384,0.1269,0.4671,0.997,2.0526
23,0.9963,0.9997,0.9963,0.9963,0.0359,0.1204,0.4435,0.9963,2.2018
24,0.9957,0.9996,0.9957,0.9957,0.0369,0.1232,0.4501,0.9957,2.2139
25,0.9969,0.9997,0.9969,0.9969,0.036,0.1215,0.4558,0.9969,2.3014
26,0.9969,0.9997,0.9969,0.9969,0.035,0.1196,0.4622,0.9969,2.3915
27,0.9966,0.9998,0.9966,0.9966,0.0361,0.122,0.44,0.9966,2.4288
28,0.9962,0.9997,0.9962,0.9962,0.0339,0.1159,0.4192,0.9962,2.536
29,0.9972,0.9997,0.9972,0.9972,0.0336,0.1151,0.431,0.9972,2.597
30,0.9967,0.9997,0.9967,0.9967,0.0339,0.1161,0.4422,0.9967,2.7163
31,0.997,0.9997,0.997,0.997,0.0326,0.1135,0.4421,0.997,2.8288
32,0.9963,0.9997,0.9963,0.9963,0.0331,0.114,0.4356,0.9963,2.9591
33,0.9966,0.9997,0.9966,0.9966,0.0322,0.1125,0.4542,0.9966,2.929
34,0.9964,0.9997,0.9964,0.9964,0.0317,0.1105,0.4391,0.9965,3.0915
35,0.9964,0.9998,0.9964,0.9964,0.031,0.1083,0.4408,0.9965,3.1147
