step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.8137,0.9466,0.8137,0.8095,0.3754,0.5645,0.845,0.8142,8.6238
1,0.5935,0.9886,0.5935,0.5146,0.3813,0.5554,0.9999,0.5947,3.0107
2,0.5231,0.9844,0.5231,0.3852,0.4246,0.5977,0.9999,0.5245,2.9126
3,0.5548,0.9928,0.5548,0.4468,0.3901,0.5572,0.9999,0.5561,3.0431
4,0.7648,0.9979,0.7648,0.7515,0.3033,0.4703,0.999,0.7655,3.1778
5,0.705,0.9989,0.705,0.6775,0.3106,0.4689,0.9999,0.7058,2.9457
6,0.7742,0.9991,0.7742,0.7624,0.2793,0.4322,0.9994,0.7749,3.1069
7,0.7008,0.9984,0.7008,0.6721,0.3137,0.471,0.9998,0.7017,3.1209
8,0.7249,0.9986,0.7249,0.703,0.2985,0.4498,0.9997,0.7257,3.1044
9,0.7955,0.9991,0.7955,0.7869,0.2724,0.4251,0.9996,0.7961,3.2285
10,0.7697,0.9991,0.7697,0.7572,0.2817,0.4353,0.9996,0.7703,3.2615
11,0.7658,0.9993,0.7658,0.7527,0.2824,0.4359,0.9996,0.7665,3.1139
12,0.7478,0.9989,0.7478,0.7311,0.2888,0.4413,0.9995,0.7485,3.2049
13,0.8135,0.9991,0.8135,0.807,0.2599,0.4082,0.9993,0.814,3.1641
14,0.8352,0.9993,0.8352,0.8308,0.2537,0.4017,0.9995,0.8357,3.158
15,0.8673,0.9996,0.8673,0.8651,0.2367,0.3834,0.9995,0.8677,3.2502
16,0.8925,0.9993,0.8925,0.8913,0.2258,0.3721,0.9989,0.8928,3.2626
17,0.915,0.9997,0.915,0.9144,0.206,0.3484,0.9984,0.9152,3.3354
18,0.8705,0.9995,0.8705,0.8684,0.2298,0.3725,0.999,0.8709,3.2673
19,0.8871,0.9997,0.8871,0.8857,0.2148,0.3563,0.9986,0.8874,3.2466
20,0.9067,0.9996,0.9067,0.906,0.2122,0.3549,0.9989,0.907,3.4567
21,0.9214,0.9996,0.9214,0.9209,0.2012,0.3405,0.998,0.9216,3.4448
22,0.8917,0.9995,0.8917,0.8905,0.2172,0.3558,0.9991,0.892,3.4455
23,0.8713,0.9995,0.8713,0.8693,0.2301,0.3691,0.9994,0.8717,3.467
24,0.9201,0.9997,0.9201,0.9196,0.1978,0.333,0.9988,0.9203,3.4852
25,0.9262,0.9997,0.9262,0.9258,0.1928,0.3285,0.9978,0.9264,3.5229
26,0.8854,0.9996,0.8854,0.884,0.2168,0.3541,0.9991,0.8857,3.5743
27,0.8894,0.9994,0.8894,0.8881,0.2122,0.3492,0.9985,0.8897,3.486
28,0.9289,0.9997,0.9289,0.9286,0.1922,0.3297,0.9983,0.9291,3.6085
29,0.9409,0.9997,0.9409,0.9407,0.1793,0.3148,0.9962,0.941,3.5963
30,0.9232,0.9996,0.9232,0.9228,0.1921,0.3271,0.9978,0.9234,3.5823
31,0.9468,0.9997,0.9468,0.9467,0.1743,0.3084,0.9956,0.947,3.6669
32,0.9555,0.9997,0.9555,0.9554,0.1715,0.3084,0.9947,0.9556,3.6556
33,0.933,0.9996,0.933,0.9328,0.1817,0.3152,0.9967,0.9332,3.6126
34,0.9444,0.9997,0.9444,0.9443,0.1703,0.3033,0.994,0.9446,3.704
35,0.9431,0.9996,0.9431,0.943,0.1726,0.305,0.9954,0.9433,3.5662
36,0.9491,0.9996,0.9491,0.949,0.1656,0.2956,0.9947,0.9492,3.7085
37,0.9548,0.9997,0.9548,0.9547,0.1683,0.2997,0.9964,0.9549,3.6569
38,0.9509,0.9997,0.9509,0.9508,0.1664,0.298,0.9939,0.9511,3.7558
39,0.9539,0.9996,0.9539,0.9538,0.1586,0.2884,0.9918,0.9541,3.7854
40,0.9524,0.9997,0.9524,0.9523,0.166,0.2982,0.9954,0.9525,3.7257
41,0.968,0.9994,0.968,0.968,0.1453,0.2739,0.9916,0.9681,3.7593
42,0.9627,0.9997,0.9627,0.9627,0.1455,0.2738,0.99,0.9629,3.8867
43,0.9754,0.9996,0.9754,0.9754,0.1354,0.2629,0.9866,0.9755,3.8285
44,0.9691,0.9997,0.9691,0.9691,0.1378,0.2641,0.9845,0.9692,3.8764
45,0.9716,0.9998,0.9716,0.9715,0.1412,0.2689,0.9884,0.9716,3.7893
46,0.9738,0.9997,0.9738,0.9738,0.1306,0.2562,0.9865,0.9739,3.6841
47,0.9701,0.9997,0.9701,0.9701,0.1411,0.2677,0.9906,0.9702,3.636
48,0.9761,0.9998,0.9761,0.9761,0.1316,0.2579,0.9864,0.9762,3.9162
49,0.9797,0.9998,0.9797,0.9797,0.1256,0.2508,0.9807,0.9797,3.9376
50,0.9827,0.9998,0.9827,0.9826,0.119,0.2422,0.9782,0.9827,4.062
51,0.9791,0.9998,0.9791,0.9791,0.1239,0.2487,0.9845,0.9792,3.8983
52,0.98,0.9997,0.98,0.9799,0.1251,0.251,0.9849,0.98,3.9887
53,0.9831,0.9998,0.9831,0.9831,0.1223,0.2483,0.9801,0.9831,4.0455
54,0.9814,0.9996,0.9814,0.9814,0.122,0.2478,0.9808,0.9814,4.0883
55,0.9814,0.9997,0.9814,0.9814,0.1207,0.2456,0.9829,0.9814,4.0567
56,0.9828,0.9999,0.9828,0.9828,0.1205,0.2448,0.9842,0.9828,3.955
57,0.9865,0.9999,0.9865,0.9865,0.1134,0.2361,0.9795,0.9865,4.1549
58,0.9861,0.9998,0.9861,0.9861,0.1139,0.2367,0.9729,0.9861,4.0788
59,0.9849,0.9998,0.9849,0.9849,0.1113,0.2322,0.9748,0.985,4.1002
