step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9609,0.9988,0.9609,0.9608,0.1705,0.3237,0.8853,0.961,1.5387
1,0.9892,0.9996,0.9892,0.9892,0.1052,0.2397,0.7149,0.9892,2.2604
2,0.9916,0.9996,0.9916,0.9916,0.0889,0.2131,0.6484,0.9916,2.9088
3,0.9913,0.9996,0.9913,0.9913,0.0837,0.2044,0.6467,0.9913,3.8064
4,0.9945,0.9996,0.9945,0.9945,0.0712,0.1831,0.5076,0.9945,5.4487
5,0.9916,0.9996,0.9916,0.9916,0.0669,0.1736,0.5614,0.9916,5.0623
6,0.9925,0.9996,0.9925,0.9925,0.0633,0.1688,0.5241,0.9925,5.6905
7,0.9935,0.9996,0.9935,0.9935,0.0595,0.16,0.5282,0.9935,6.9018
8,0.9943,0.9993,0.9943,0.9943,0.0578,0.157,0.4808,0.9943,7.9175
9,0.9933,0.9995,0.9933,0.9933,0.0566,0.1529,0.5084,0.9933,8.5952
10,0.9927,0.9996,0.9927,0.9927,0.0539,0.148,0.5231,0.9928,9.2004
11,0.9936,0.9996,0.9936,0.9936,0.0509,0.1418,0.4739,0.9936,9.9937
12,0.9932,0.9996,0.9932,0.9932,0.0494,0.1392,0.4988,0.9932,11.0963
13,0.9937,0.9997,0.9937,0.9937,0.0491,0.1386,0.4811,0.9938,12.276
14,0.9945,0.9996,0.9945,0.9945,0.047,0.1349,0.4661,0.9945,12.0613
15,0.994,0.9996,0.994,0.994,0.046,0.1309,0.4585,0.994,13.2488
16,0.9943,0.9997,0.9943,0.9943,0.0456,0.1312,0.4588,0.9943,14.0969
17,0.9949,0.9996,0.9949,0.9949,0.0439,0.1281,0.4627,0.9949,14.8755
18,0.9952,0.9996,0.9952,0.9952,0.0442,0.1271,0.4702,0.9952,15.3785
19,0.994,0.9997,0.994,0.994,0.043,0.1241,0.4649,0.994,16.1782
20,0.9945,0.9997,0.9945,0.9945,0.043,0.1244,0.4685,0.9945,16.837
21,0.9949,0.9996,0.9949,0.9949,0.0423,0.1229,0.4576,0.9949,18.6995
22,0.9945,0.9998,0.9945,0.9945,0.0403,0.1193,0.4706,0.9945,18.7542
23,0.9945,0.9997,0.9945,0.9945,0.0416,0.1211,0.4592,0.9945,21.419
24,0.9952,0.9997,0.9952,0.9952,0.0399,0.1173,0.4503,0.9952,20.5642
25,0.9945,0.9997,0.9945,0.9945,0.0406,0.1192,0.4551,0.9945,20.8731
26,0.9947,0.9996,0.9947,0.9947,0.0388,0.1144,0.4512,0.9947,22.1254
27,0.9939,0.9997,0.9939,0.9939,0.0392,0.1148,0.4477,0.9939,23.3766
28,0.9949,0.9997,0.9949,0.9949,0.0379,0.1133,0.4509,0.9949,24.0966
29,0.994,0.9997,0.994,0.994,0.0379,0.112,0.4511,0.994,24.1544
30,0.9956,0.9998,0.9956,0.9956,0.0371,0.1119,0.4527,0.9956,23.8536
31,0.995,0.9997,0.995,0.995,0.036,0.1096,0.4569,0.995,25.4052
32,0.9955,0.9996,0.9955,0.9955,0.036,0.1089,0.4356,0.9955,25.4111
33,0.9949,0.9997,0.9949,0.9949,0.0359,0.1076,0.4553,0.9949,26.3435
34,0.9952,0.9996,0.9952,0.9952,0.0358,0.108,0.4485,0.9952,26.5493
35,0.9952,0.9998,0.9952,0.9952,0.0359,0.1077,0.445,0.9952,27.985
36,0.9952,0.9996,0.9952,0.9952,0.035,0.1058,0.445,0.9952,27.2086
37,0.9955,0.9997,0.9955,0.9955,0.0339,0.105,0.4491,0.9955,28.3921
38,0.9955,0.9997,0.9955,0.9955,0.034,0.104,0.4418,0.9955,29.3295
39,0.9947,0.9996,0.9947,0.9947,0.0344,0.1042,0.4447,0.9947,28.5063
40,0.9949,0.9998,0.9949,0.9949,0.0331,0.102,0.4388,0.9949,30.1182
41,0.9956,0.9997,0.9956,0.9956,0.034,0.1029,0.4381,0.9956,30.267
42,0.9949,0.9997,0.9949,0.9949,0.0331,0.1025,0.4464,0.9949,30.6327
43,0.9953,0.9997,0.9953,0.9953,0.0332,0.101,0.4401,0.9953,31.3942
44,0.995,0.9997,0.995,0.995,0.033,0.1012,0.447,0.995,31.4074
45,0.996,0.9997,0.996,0.996,0.0325,0.1,0.4426,0.996,33.0998
46,0.9955,0.9998,0.9955,0.9955,0.0322,0.0996,0.4493,0.9955,33.6286
47,0.9953,0.9997,0.9953,0.9953,0.0316,0.0981,0.4523,0.9953,36.0329
48,0.9959,0.9997,0.9959,0.9959,0.0321,0.0996,0.4462,0.9959,39.8468
49,0.9945,0.9996,0.9945,0.9945,0.0319,0.0977,0.4617,0.9945,42.1282
50,0.9953,0.9997,0.9953,0.9953,0.0321,0.0991,0.4497,0.9953,42.7994
51,0.995,0.9997,0.995,0.995,0.031,0.097,0.454,0.995,44.3738
52,0.9957,0.9997,0.9957,0.9957,0.0315,0.0983,0.458,0.9957,46.5984
53,0.9952,0.9997,0.9952,0.9952,0.0306,0.0956,0.4588,0.9952,47.5975
54,0.9943,0.9997,0.9943,0.9943,0.0305,0.0946,0.456,0.9943,46.8499
55,0.9959,0.9998,0.9959,0.9959,0.0305,0.0947,0.4564,0.9959,48.5883
56,0.9949,0.9997,0.9949,0.9949,0.0299,0.0942,0.4612,0.9949,48.2755
57,0.9949,0.9997,0.9949,0.9949,0.0301,0.0936,0.4541,0.9949,48.3186
58,0.9956,0.9998,0.9956,0.9956,0.03,0.0936,0.4636,0.9956,50.944
59,0.995,0.9997,0.995,0.995,0.0298,0.0933,0.4628,0.995,52.6764
