step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.026
1,0.6208,0.7981,0.6208,0.5709,0.4622,0.6547,0.9593,0.6218,0.1226
2,0.507,0.6938,0.507,0.3537,0.5094,0.702,0.9998,0.5085,0.127
3,0.707,0.8477,0.707,0.6972,0.4317,0.6235,0.754,0.7075,0.1298
4,0.5305,0.7877,0.5305,0.4019,0.4888,0.6793,0.9986,0.5319,0.1342
5,0.6816,0.8921,0.6816,0.651,0.4107,0.6002,0.8851,0.6825,0.1327
6,0.8066,0.9651,0.8066,0.7998,0.3556,0.5427,0.3262,0.8061,0.135
7,0.8679,0.9593,0.8679,0.8669,0.3434,0.5306,0.7626,0.8682,0.1326
8,0.9032,0.9709,0.9032,0.9031,0.3171,0.5029,0.4378,0.9031,0.1283
9,0.7466,0.9859,0.7466,0.7293,0.3323,0.5128,0.3153,0.7459,0.1334
10,0.9113,0.9927,0.9113,0.9107,0.2992,0.4833,0.3366,0.911,0.1328
11,0.9254,0.9892,0.9254,0.925,0.272,0.4537,0.3992,0.9252,0.1356
12,0.9585,0.9923,0.9585,0.9585,0.2654,0.4472,0.5733,0.9585,0.1392
13,0.9235,0.9938,0.9235,0.9232,0.2769,0.458,0.8291,0.9237,0.1433
14,0.9737,0.9965,0.9737,0.9737,0.2388,0.4179,0.5402,0.9737,0.1536
15,0.9372,0.9884,0.9372,0.937,0.2745,0.4566,0.3892,0.937,0.1523
16,0.9559,0.9961,0.9559,0.9559,0.2629,0.4437,0.8029,0.956,0.1521
17,0.9639,0.9961,0.9639,0.9639,0.2537,0.4345,0.6133,0.964,0.1505
18,0.9488,0.9978,0.9488,0.9487,0.2469,0.424,0.8613,0.949,0.1539
19,0.9807,0.9981,0.9807,0.9807,0.2484,0.43,0.5239,0.9807,0.1488
20,0.9819,0.9983,0.9819,0.9819,0.2319,0.4109,0.5654,0.982,0.161
21,0.9737,0.9968,0.9737,0.9737,0.2577,0.4392,0.6107,0.9737,0.1594
22,0.9849,0.9981,0.9849,0.9849,0.217,0.3937,0.4498,0.9849,0.1555
23,0.9876,0.9984,0.9876,0.9876,0.2098,0.3844,0.3593,0.9876,0.1553
24,0.9888,0.9989,0.9888,0.9888,0.2097,0.386,0.4417,0.9888,0.1582
25,0.9787,0.9972,0.9787,0.9787,0.2176,0.3929,0.3804,0.9787,0.1592
26,0.9818,0.9978,0.9818,0.9818,0.2058,0.3793,0.4963,0.9818,0.156
27,0.9802,0.998,0.9802,0.9802,0.2124,0.3873,0.5246,0.9803,0.1619
28,0.9848,0.9985,0.9848,0.9848,0.221,0.3983,0.4659,0.9848,0.1678
29,0.9918,0.9992,0.9918,0.9918,0.2026,0.3776,0.5034,0.9918,0.1678
30,0.9855,0.9982,0.9855,0.9855,0.2202,0.3968,0.5934,0.9855,0.1725
31,0.9851,0.9982,0.9851,0.9851,0.209,0.3839,0.6395,0.9851,0.1739
32,0.9836,0.999,0.9836,0.9836,0.2073,0.3812,0.6751,0.9837,0.1714
