step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9829,0.999,0.9829,0.9829,0.1443,0.2965,0.714,0.983,0.0332
1,0.962,0.9995,0.962,0.962,0.1598,0.3064,0.3168,0.9619,0.1681
2,0.9942,0.9994,0.9942,0.9942,0.122,0.2712,0.6047,0.9942,0.202
3,0.9953,0.9995,0.9953,0.9953,0.1021,0.2432,0.393,0.9953,0.2431
4,0.9956,0.9996,0.9956,0.9956,0.1137,0.2614,0.3961,0.9956,0.3025
5,0.9967,0.9997,0.9967,0.9967,0.1085,0.2545,0.3915,0.9967,0.3577
6,0.9966,0.9997,0.9966,0.9966,0.1073,0.2524,0.3909,0.9966,0.4225
7,0.996,0.9998,0.996,0.996,0.1076,0.2546,0.4228,0.996,0.4792
8,0.996,0.9998,0.996,0.996,0.1014,0.2456,0.4301,0.996,0.5407
9,0.9959,0.9995,0.9959,0.9959,0.0954,0.2363,0.4202,0.9959,0.617
10,0.996,0.9995,0.996,0.996,0.0904,0.2278,0.3821,0.996,0.6694
11,0.9969,0.9998,0.9969,0.9969,0.085,0.2201,0.4182,0.9969,0.7227
12,0.9966,0.9998,0.9966,0.9966,0.0835,0.2175,0.3988,0.9966,0.8047
13,0.997,0.9996,0.997,0.997,0.0815,0.2139,0.3824,0.997,0.862
14,0.996,0.9998,0.996,0.996,0.0696,0.1942,0.4314,0.996,0.9237
15,0.9966,0.9998,0.9966,0.9966,0.0735,0.2013,0.4097,0.9966,1.0124
16,0.9967,0.9998,0.9967,0.9967,0.0685,0.1922,0.4448,0.9967,1.0797
17,0.9964,0.9996,0.9964,0.9964,0.0669,0.1897,0.4214,0.9964,1.1867
18,0.9963,0.9997,0.9963,0.9963,0.0637,0.1837,0.4136,0.9963,1.2478
19,0.9969,0.9998,0.9969,0.9969,0.0616,0.1801,0.4123,0.9969,1.2925
20,0.9964,0.9996,0.9964,0.9964,0.0603,0.1774,0.4382,0.9965,1.3912
21,0.9966,0.9998,0.9966,0.9966,0.0555,0.1682,0.4287,0.9966,1.4658
22,0.9964,0.9998,0.9964,0.9964,0.0577,0.1727,0.4361,0.9965,1.5193
23,0.997,0.9999,0.997,0.997,0.0544,0.166,0.4106,0.997,1.6051
24,0.9966,0.9999,0.9966,0.9966,0.0523,0.1615,0.4288,0.9966,1.6763
25,0.9964,0.9997,0.9964,0.9964,0.0503,0.1576,0.4053,0.9965,1.747
26,0.9969,0.9998,0.9969,0.9969,0.0492,0.1548,0.4084,0.9969,1.8655
27,0.9969,0.9997,0.9969,0.9969,0.0488,0.1549,0.4087,0.9969,1.9708
28,0.9969,0.9998,0.9969,0.9969,0.0466,0.1497,0.4118,0.9969,2.0485
29,0.9969,0.9998,0.9969,0.9969,0.0449,0.1462,0.4156,0.9969,2.1261
30,0.9963,0.9997,0.9963,0.9963,0.0455,0.1468,0.403,0.9963,2.1935
31,0.9964,0.9997,0.9964,0.9964,0.0445,0.1446,0.3935,0.9964,2.2523
32,0.9967,0.9998,0.9967,0.9967,0.0425,0.1406,0.4026,0.9967,2.3428
33,0.997,0.9998,0.997,0.997,0.0412,0.1385,0.4244,0.997,2.4309
34,0.9966,0.9998,0.9966,0.9966,0.0411,0.1374,0.4134,0.9966,2.6397
35,0.9962,0.9998,0.9962,0.9962,0.0386,0.1313,0.3985,0.9962,2.689
36,0.9967,0.9998,0.9967,0.9967,0.0393,0.1335,0.4064,0.9967,2.7043
37,0.9967,0.9998,0.9967,0.9967,0.0383,0.1311,0.422,0.9967,2.785
38,0.9966,0.9998,0.9966,0.9966,0.0381,0.1308,0.4309,0.9966,2.9014
39,0.9966,0.9998,0.9966,0.9966,0.0364,0.1262,0.4195,0.9966,3.1128
40,0.9962,0.9998,0.9962,0.9962,0.0363,0.1255,0.4274,0.9962,3.3328
41,0.9964,0.9997,0.9964,0.9964,0.035,0.1224,0.422,0.9965,3.4146
42,0.9974,0.9998,0.9974,0.9974,0.0345,0.1219,0.4356,0.9974,3.4659
43,0.9964,0.9998,0.9964,0.9964,0.034,0.1202,0.4504,0.9965,3.5354
44,0.9969,0.9998,0.9969,0.9969,0.0342,0.1211,0.4323,0.9969,3.6394
45,0.9964,0.9998,0.9964,0.9964,0.033,0.1173,0.4431,0.9965,3.8011
46,0.9964,0.9998,0.9964,0.9964,0.0329,0.1171,0.4187,0.9965,3.8463
47,0.9967,0.9999,0.9967,0.9967,0.0324,0.1165,0.4414,0.9967,3.9208
48,0.9974,0.9999,0.9974,0.9974,0.0314,0.1138,0.4365,0.9974,4.133
49,0.9969,0.9998,0.9969,0.9969,0.0315,0.1142,0.4399,0.9969,4.293
50,0.9964,0.9998,0.9964,0.9964,0.0317,0.114,0.4341,0.9965,4.2607
51,0.9964,0.9999,0.9964,0.9964,0.0307,0.1117,0.4498,0.9965,4.403
52,0.9964,0.9999,0.9964,0.9964,0.0295,0.1083,0.4458,0.9965,4.4766
53,0.9964,0.9999,0.9964,0.9964,0.0298,0.1091,0.431,0.9965,4.6141
54,0.9966,0.9998,0.9966,0.9966,0.0299,0.1086,0.4439,0.9966,4.7088
55,0.9964,0.9998,0.9964,0.9964,0.0294,0.1078,0.4425,0.9965,4.7118
56,0.9969,0.9999,0.9969,0.9969,0.029,0.1063,0.4292,0.9969,4.8709
57,0.997,0.9998,0.997,0.997,0.0293,0.1063,0.431,0.997,5.076
58,0.9963,0.9999,0.9963,0.9963,0.0282,0.104,0.4328,0.9963,5.184
59,0.9964,0.9998,0.9964,0.9964,0.0284,0.1036,0.4323,0.9965,5.3127
