step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.01,0.5,0.01,0.0002,1.98,35.6832,0.01,0.01,0.0585
1,0.0182,0.5073,0.0182,0.0007,1.5041,35.3301,0.0129,0.0182,0.0584
2,0.0266,0.512,0.0266,0.0018,1.3549,34.979,0.0148,0.0266,0.068
3,0.0331,0.5159,0.0331,0.003,1.2698,34.6298,0.02,0.0331,0.0702
4,0.0404,0.5203,0.0404,0.0045,1.215,34.2824,0.0236,0.0404,0.069
5,0.0459,0.5244,0.0459,0.0066,1.1851,33.9369,0.0256,0.0459,0.069
6,0.0543,0.5294,0.0543,0.0097,1.152,33.5884,0.0328,0.0543,0.0697
7,0.0626,0.5345,0.0626,0.0124,1.1271,33.2394,0.0394,0.0626,0.0707
8,0.0697,0.539,0.0697,0.0152,1.1069,32.8929,0.044,0.0697,0.071
9,0.0764,0.5436,0.0764,0.0181,1.0908,32.5464,0.0499,0.0764,0.0763
10,0.0846,0.5485,0.0846,0.023,1.0733,32.197,0.0583,0.0846,0.0721
11,0.0905,0.5532,0.0905,0.0265,1.0579,31.8461,0.0668,0.0905,0.0749
12,0.0976,0.5578,0.0976,0.03,1.047,31.5054,0.0693,0.0976,0.0736
13,0.1041,0.5623,0.1041,0.0331,1.0354,31.1641,0.074,0.1041,0.0745
14,0.1085,0.5667,0.1085,0.0361,1.0258,30.8227,0.078,0.1085,0.074
15,0.1162,0.5713,0.1162,0.0395,1.0179,30.4772,0.083,0.1162,0.0754
16,0.1254,0.5764,0.1254,0.0456,1.0071,30.1275,0.0915,0.1254,0.076
17,0.1259,0.579,0.1259,0.0471,1.0029,29.7992,0.0916,0.1259,0.0787
18,0.1308,0.5834,0.1308,0.0511,0.9966,29.4635,0.0953,0.1308,0.086
19,0.1388,0.5883,0.1388,0.057,0.988,29.1194,0.1028,0.1388,0.0802
20,0.1467,0.5933,0.1467,0.0631,0.9791,28.7731,0.1109,0.1467,0.0811
21,0.1551,0.5985,0.1551,0.0677,0.9726,28.4258,0.1167,0.1551,0.0829
22,0.1632,0.6033,0.1632,0.0751,0.9649,28.0815,0.1249,0.1632,0.0805
23,0.1683,0.6078,0.1683,0.0803,0.9599,27.7454,0.1302,0.1683,0.0837
24,0.1687,0.6105,0.1687,0.0808,0.9578,27.4219,0.1303,0.1687,0.0796
25,0.1758,0.6154,0.1758,0.0853,0.9526,27.0836,0.135,0.1758,0.0837
26,0.1811,0.6199,0.1811,0.091,0.9478,26.7452,0.141,0.1811,0.0844
27,0.1847,0.6242,0.1847,0.0951,0.9453,26.4116,0.1426,0.1847,0.5356
28,0.1853,0.6277,0.1853,0.0969,0.9431,26.0858,0.144,0.1853,0.8709
29,0.1893,0.6319,0.1893,0.1013,0.9399,25.7518,0.1471,0.1893,0.3983
30,0.1969,0.6369,0.1969,0.1091,0.9324,25.4061,0.1555,0.1969,0.3543
31,0.2015,0.6413,0.2015,0.115,0.9291,25.0732,0.1609,0.2015,0.5151
32,0.2076,0.6461,0.2076,0.1215,0.9246,24.7349,0.1671,0.2076,0.4457
33,0.2077,0.6463,0.2077,0.1224,0.9248,24.7293,0.1687,0.2077,0.4847
34,0.2154,0.6513,0.2154,0.1293,0.9203,24.3911,0.1746,0.2154,0.373
35,0.2146,0.6513,0.2146,0.1275,0.9212,24.3896,0.1748,0.2146,0.4015
36,0.2111,0.6526,0.2111,0.1305,0.9224,24.0716,0.1748,0.2111,0.4012
37,0.216,0.6546,0.216,0.135,0.9191,24.0518,0.1806,0.216,0.6963
38,0.219,0.6582,0.219,0.139,0.9175,23.7204,0.1826,0.219,0.4213
39,0.2248,0.6631,0.2248,0.1463,0.9136,23.382,0.189,0.2248,1.2175
40,0.2309,0.6681,0.2309,0.1536,0.9088,23.044,0.1964,0.2309,0.4102
41,0.2298,0.6688,0.2298,0.1546,0.909,23.0374,0.1971,0.2298,0.4877
42,0.2324,0.6724,0.2324,0.1594,0.9074,22.7112,0.1992,0.2324,1.1627
