step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.01,0.5,0.01,0.0002,1.98,35.6832,0.01,0.01,0.0407
1,0.0193,0.509,0.0193,0.0008,1.5554,35.3254,0.0184,0.0193,15.4262
2,0.0286,0.5132,0.0286,0.0017,1.4031,34.9702,0.0193,0.0286,15.3175
3,0.0329,0.5167,0.0329,0.0044,1.3856,34.6223,0.0202,0.0329,15.2105
4,0.0393,0.5212,0.0393,0.0074,1.32,34.2735,0.0257,0.0393,16.3779
5,0.0402,0.5215,0.0402,0.0074,1.3021,34.273,0.0261,0.0402,16.4405
6,0.0411,0.5217,0.0411,0.0087,1.2959,34.2708,0.0271,0.0411,16.2962
7,0.0449,0.5254,0.0449,0.0111,1.2628,33.929,0.0293,0.0449,14.478
8,0.0521,0.5301,0.0521,0.0129,1.2169,33.5812,0.0312,0.0521,14.7052
9,0.053,0.5301,0.053,0.0111,1.2084,33.58,0.031,0.053,16.2062
10,0.0469,0.5298,0.0469,0.0141,1.2568,33.5868,0.0329,0.0469,15.0927
11,0.0477,0.5299,0.0477,0.0137,1.2462,33.5832,0.0336,0.0477,16.0037
12,0.0498,0.5329,0.0498,0.0157,1.2215,33.2471,0.035,0.0498,14.9222
13,0.0495,0.533,0.0495,0.0146,1.2172,33.2468,0.0345,0.0495,16.8894
14,0.0501,0.5331,0.0501,0.0144,1.2137,33.2464,0.0348,0.0501,14.7335
15,0.0513,0.5334,0.0513,0.0149,1.2082,33.2462,0.0356,0.0513,13.7872
16,0.0476,0.533,0.0476,0.0166,1.2353,33.2515,0.0356,0.0476,14.7614
17,0.0458,0.5331,0.0458,0.0177,1.2489,33.2534,0.0367,0.0458,14.1721
18,0.0533,0.5375,0.0533,0.0196,1.2084,32.9048,0.0392,0.0533,13.7227
19,0.0544,0.5378,0.0544,0.0192,1.2043,32.9037,0.0397,0.0544,13.877
