step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.01,0.5,0.01,0.0002,1.98,35.6832,0.01,0.01,11.6405
1,0.019,0.5095,0.019,0.0025,1.7136,35.3255,0.0159,0.019,12.3285
2,0.0282,0.5143,0.0282,0.0041,1.5298,34.9681,0.0238,0.0282,11.4738
3,0.0368,0.5191,0.0368,0.0063,1.4289,34.6116,0.0312,0.0368,11.6366
4,0.0424,0.5227,0.0424,0.0086,1.3449,34.2636,0.0357,0.0424,11.4933
5,0.0518,0.528,0.0518,0.0106,1.2777,33.9069,0.0443,0.0518,11.6572
6,0.0581,0.5326,0.0581,0.0175,1.2521,33.5583,0.052,0.0581,12.2787
7,0.0676,0.5377,0.0676,0.0242,1.2156,33.2013,0.062,0.0676,12.3276
8,0.0745,0.5421,0.0745,0.0274,1.1808,32.8533,0.0657,0.0745,11.8631
9,0.0802,0.546,0.0802,0.0298,1.164,32.5084,0.0667,0.0802,12.6264
10,0.0892,0.5511,0.0892,0.0332,1.1481,32.1567,0.0709,0.0892,11.9472
11,0.0944,0.5544,0.0944,0.0361,1.1275,31.8138,0.0737,0.0944,13.6043
12,0.1014,0.5593,0.1014,0.0388,1.108,31.4635,0.0793,0.1014,13.9027
13,0.1008,0.562,0.1008,0.0387,1.1005,31.1369,0.0794,0.1008,12.5372
14,0.1106,0.5674,0.1106,0.0426,1.0844,30.7847,0.0867,0.1106,12.0778
15,0.1197,0.5725,0.1197,0.0485,1.0695,30.4312,0.0956,0.1197,12.3659
16,0.1258,0.5771,0.1258,0.0533,1.0566,30.087,0.1013,0.1258,12.3224
17,0.1279,0.5807,0.1279,0.0569,1.0508,29.7565,0.1043,0.1279,11.6931
18,0.1336,0.5853,0.1336,0.0608,1.0384,29.4154,0.1086,0.1336,16.9873
19,0.1428,0.5906,0.1428,0.0655,1.0234,29.0666,0.1171,0.1428,14.6102
20,0.1431,0.593,0.1431,0.0669,1.0183,28.7413,0.1182,0.1431,14.2535
21,0.1503,0.598,0.1503,0.071,1.0057,28.3946,0.125,0.1503,16.1161
22,0.1581,0.6032,0.1581,0.0753,0.9953,28.0477,0.1313,0.1581,16.4177
23,0.1665,0.6085,0.1665,0.0803,0.986,27.6979,0.1389,0.1665,15.403
24,0.1731,0.6135,0.1731,0.0845,0.9781,27.353,0.1431,0.1731,12.3908
25,0.1769,0.6174,0.1769,0.0873,0.9757,27.0163,0.1454,0.1769,12.6748
26,0.1833,0.6222,0.1833,0.093,0.9689,26.6733,0.1518,0.1833,12.2327
27,0.191,0.6274,0.191,0.099,0.9592,26.325,0.1602,0.191,14.5706
28,0.1914,0.6273,0.1914,0.0976,0.9566,26.3237,0.1593,0.1914,15.4299
29,0.1913,0.6275,0.1913,0.0988,0.956,26.3257,0.1597,0.1913,12.8405
30,0.1913,0.6275,0.1913,0.0993,0.9552,26.3269,0.1598,0.1913,11.3325
31,0.2003,0.6327,0.2003,0.1047,0.9445,25.9778,0.1682,0.2003,11.1352
32,0.2019,0.6363,0.2019,0.1066,0.9423,25.6519,0.1687,0.2019,11.6455
33,0.2084,0.6412,0.2084,0.1116,0.9338,25.3103,0.1751,0.2084,12.0338
34,0.2157,0.6451,0.2157,0.1168,0.9303,24.9697,0.1805,0.2157,11.5649
35,0.2176,0.6456,0.2176,0.1192,0.9308,24.9665,0.1808,0.2176,11.3733
36,0.219,0.6462,0.219,0.1208,0.9279,24.9592,0.1825,0.219,11.6682
37,0.2187,0.6463,0.2187,0.1211,0.9274,24.9597,0.183,0.2187,11.503
38,0.2269,0.6516,0.2269,0.1275,0.9187,24.6095,0.1913,0.2269,11.7592
39,0.2353,0.6566,0.2353,0.1344,0.9112,24.2618,0.1992,0.2353,11.7889
40,0.2393,0.6608,0.2393,0.1381,0.9054,23.9204,0.2041,0.2393,11.6283
41,0.2439,0.6658,0.2439,0.1434,0.9,23.581,0.2096,0.2439,11.8997
42,0.2453,0.6698,0.2453,0.1462,0.8975,23.254,0.2123,0.2453,11.5693
43,0.2493,0.6739,0.2493,0.1507,0.8931,22.9215,0.2164,0.2493,11.6682
44,0.2503,0.6738,0.2503,0.1489,0.8925,22.9146,0.2174,0.2503,12.5875
45,0.2588,0.6791,0.2588,0.156,0.8862,22.5679,0.2243,0.2588,11.7714
46,0.2643,0.6839,0.2643,0.1625,0.8819,22.2286,0.2288,0.2643,11.3321
47,0.266,0.6881,0.266,0.1651,0.8796,21.9005,0.2306,0.266,11.4405
48,0.2741,0.6934,0.2741,0.173,0.8719,21.5518,0.2392,0.2741,12.8463
49,0.2813,0.6983,0.2813,0.1812,0.8647,21.2079,0.2475,0.2813,11.316
50,0.2876,0.7033,0.2876,0.1887,0.8591,20.8676,0.254,0.2876,12.157
51,0.289,0.7039,0.289,0.1898,0.8574,20.8627,0.256,0.289,11.4318
52,0.2939,0.7088,0.2939,0.197,0.8523,20.5238,0.2634,0.2939,11.917
53,0.2967,0.7093,0.2967,0.1996,0.8501,20.5176,0.2664,0.2967,11.2498
54,0.2973,0.7135,0.2973,0.2022,0.8491,20.1886,0.2676,0.2973,12.1979
55,0.3036,0.7177,0.3036,0.2078,0.847,19.8533,0.2708,0.3036,12.0014
56,0.3105,0.7226,0.3105,0.2153,0.8423,19.5151,0.2779,0.3105,12.7768
57,0.3146,0.7269,0.3146,0.2201,0.8389,19.1844,0.2822,0.3146,13.6144
58,0.3185,0.7311,0.3185,0.2255,0.8364,18.8547,0.2861,0.3185,16.5773
59,0.3185,0.7352,0.3185,0.2267,0.8357,18.5322,0.2877,0.3185,15.0773
