step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.01,0.5,0.01,0.0002,1.98,35.6832,0.01,0.01,0.0268
1,0.0152,0.5085,0.0152,0.0024,1.7553,35.331,0.0184,0.0152,0.0925
2,0.0249,0.5136,0.0249,0.0038,1.5151,34.9741,0.0261,0.0249,0.0516
3,0.0314,0.5177,0.0314,0.0063,1.4189,34.6244,0.0279,0.0314,0.0521
4,0.0323,0.5175,0.0323,0.0052,1.3844,34.6222,0.0277,0.0323,0.1243
5,0.0413,0.5224,0.0413,0.007,1.3238,34.2671,0.0328,0.0413,0.1874
6,0.0505,0.5274,0.0505,0.0111,1.2829,33.9112,0.0403,0.0505,0.1765
7,0.0586,0.5322,0.0586,0.0136,1.2501,33.5585,0.0425,0.0586,0.1865
8,0.0652,0.5363,0.0652,0.0165,1.2173,33.2115,0.0462,0.0652,0.1949
9,0.0709,0.5402,0.0709,0.02,1.1864,32.8626,0.0548,0.0709,0.185
10,0.0768,0.5445,0.0768,0.0227,1.165,32.5159,0.0578,0.0768,0.1787
11,0.0794,0.545,0.0794,0.0221,1.1554,32.5115,0.0587,0.0794,0.2036
12,0.0832,0.5486,0.0832,0.0254,1.1372,32.1715,0.0626,0.0832,0.0623
13,0.0918,0.5537,0.0918,0.0297,1.1149,31.8211,0.0706,0.0918,0.0681
14,0.1003,0.5587,0.1003,0.0335,1.0953,31.4707,0.0777,0.1003,0.0636
15,0.1089,0.5637,0.1089,0.0365,1.0777,31.1192,0.0842,0.1089,0.0622
16,0.1176,0.5688,0.1176,0.0419,1.0621,30.7675,0.0924,0.1176,0.07
17,0.1235,0.5732,0.1235,0.0461,1.0484,30.4231,0.0981,0.1235,0.0643
18,0.1267,0.5742,0.1267,0.0474,1.0425,30.4146,0.1016,0.1267,0.0615
19,0.1324,0.5789,0.1324,0.0518,1.0326,30.0696,0.1061,0.1324,0.0721
20,0.1389,0.5836,0.1389,0.0558,1.0233,29.7234,0.1114,0.1389,0.0645
21,0.1475,0.5885,0.1475,0.0625,1.0097,29.3741,0.1198,0.1475,0.0705
22,0.1559,0.5933,0.1559,0.067,1.0036,29.0252,0.1248,0.1559,0.0761
23,0.1577,0.5972,0.1577,0.0698,0.9982,28.6923,0.1264,0.1577,0.0629
24,0.1663,0.6022,0.1663,0.0755,0.9866,28.3415,0.1348,0.1663,0.0657
25,0.1724,0.6069,0.1724,0.0805,0.9806,27.9975,0.1401,0.1724,0.0671
