step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3086,0.7266,0.3086,0.2629,0.8309,19.1157,0.3141,0.3086,5.5897
1,0.4607,0.8908,0.4607,0.468,0.7016,7.774,0.5357,0.4607,6.9658
2,0.4986,0.9378,0.4986,0.5122,0.6836,4.2381,0.5924,0.4986,9.1457
3,0.5349,0.9688,0.5349,0.5524,0.6663,2.525,0.6401,0.5349,13.7964
4,0.5512,0.9747,0.5512,0.5778,0.6625,2.1597,0.6532,0.5512,14.976
5,0.5686,0.9776,0.5686,0.5974,0.651,2.0907,0.6662,0.5686,17.6908
6,0.5768,0.9789,0.5768,0.6001,0.6479,2.0751,0.6746,0.5768,19.4673
7,0.5717,0.9802,0.5717,0.5989,0.6526,2.0793,0.6821,0.5717,25.214
8,0.5832,0.9811,0.5832,0.6087,0.6541,2.0726,0.6898,0.5832,22.6288
9,0.586,0.9819,0.586,0.6142,0.6558,2.0668,0.6939,0.586,28.023
10,0.5944,0.9821,0.5944,0.622,0.6584,2.0691,0.698,0.5944,26.9464
11,0.6046,0.9832,0.6046,0.6291,0.6542,2.0446,0.7056,0.6046,31.6989
12,0.6162,0.9837,0.6162,0.6386,0.6526,2.0339,0.7094,0.6162,31.7417
13,0.6127,0.9841,0.6127,0.6414,0.6523,2.0321,0.7152,0.6127,35.5195
14,0.6159,0.9844,0.6159,0.6467,0.6531,2.033,0.7193,0.6159,34.6898
15,0.6222,0.9852,0.6222,0.6499,0.6511,2.0215,0.7238,0.6222,37.8366
16,0.6295,0.9857,0.6295,0.6544,0.6503,2.0168,0.7275,0.6295,38.8436
17,0.6338,0.9861,0.6338,0.6609,0.6492,2.0073,0.7309,0.6338,51.6306
18,0.6336,0.9861,0.6336,0.6619,0.6504,2.0126,0.7321,0.6336,55.1538
19,0.6318,0.9864,0.6318,0.6648,0.6511,2.007,0.7328,0.6318,56.5831
20,0.6301,0.9869,0.6301,0.6668,0.6507,1.9962,0.7352,0.6301,56.5529
21,0.6337,0.9873,0.6337,0.6697,0.6503,1.9927,0.7358,0.6337,54.5012
22,0.6405,0.9875,0.6405,0.6746,0.6507,1.9914,0.7366,0.6405,54.5803
23,0.6384,0.9876,0.6384,0.6722,0.6499,1.987,0.7381,0.6384,56.6218
24,0.6451,0.9878,0.6451,0.6758,0.649,1.9829,0.7405,0.6451,60.8563
25,0.6471,0.988,0.6471,0.6761,0.6489,1.983,0.7423,0.6471,75.3455
26,0.6532,0.9882,0.6532,0.6795,0.6489,1.9798,0.7445,0.6532,68.8321
27,0.6501,0.9883,0.6501,0.677,0.6486,1.9796,0.7456,0.6501,75.4371
28,0.6544,0.9884,0.6544,0.6807,0.6471,1.9719,0.7469,0.6544,76.7111
29,0.6617,0.9886,0.6617,0.6873,0.6453,1.9658,0.7488,0.6617,71.8228
30,0.6643,0.9887,0.6643,0.6894,0.6448,1.9612,0.7504,0.6643,82.3202
31,0.6653,0.9888,0.6653,0.6889,0.6437,1.9573,0.7514,0.6653,75.6782
32,0.6665,0.9889,0.6665,0.6901,0.6427,1.9525,0.7531,0.6665,71.5694
33,0.6679,0.9889,0.6679,0.6914,0.6423,1.9493,0.7544,0.6679,79.4649
34,0.6714,0.9889,0.6714,0.6939,0.6421,1.9473,0.7551,0.6714,84.466
35,0.6741,0.9891,0.6741,0.6961,0.6411,1.9437,0.7562,0.6741,75.6047
36,0.6754,0.9891,0.6754,0.6976,0.6419,1.9453,0.7561,0.6754,78.9788
37,0.6747,0.9893,0.6747,0.6976,0.6417,1.9437,0.7572,0.6747,83.4911
38,0.676,0.9893,0.676,0.6991,0.6414,1.9399,0.7582,0.676,84.4389
39,0.6794,0.9895,0.6794,0.7018,0.6402,1.9347,0.7591,0.6794,97.4988
40,0.6806,0.9896,0.6806,0.7021,0.6397,1.932,0.7591,0.6806,99.8441
41,0.6806,0.9896,0.6806,0.7011,0.6396,1.9314,0.7592,0.6806,101.6284
42,0.6832,0.9897,0.6832,0.7027,0.639,1.9297,0.7597,0.6832,108.1124
43,0.6829,0.9898,0.6829,0.7029,0.64,1.9328,0.7608,0.6829,106.3279
44,0.6813,0.9898,0.6813,0.7024,0.6406,1.935,0.7605,0.6813,97.5222
45,0.6823,0.9898,0.6823,0.7032,0.6407,1.9346,0.7606,0.6823,110.6424
46,0.685,0.99,0.685,0.7059,0.641,1.9324,0.7619,0.685,103.2613
47,0.6866,0.99,0.6866,0.7066,0.6406,1.9309,0.7625,0.6866,105.1761
48,0.6883,0.9901,0.6883,0.7075,0.6403,1.93,0.7631,0.6883,132.5992
49,0.6889,0.9901,0.6889,0.7094,0.6406,1.9319,0.7635,0.6889,117.2979
50,0.6893,0.9901,0.6893,0.7097,0.6413,1.9334,0.7635,0.6893,107.166
51,0.6928,0.9901,0.6928,0.7131,0.6412,1.9322,0.7643,0.6928,135.1017
52,0.6942,0.9901,0.6942,0.7151,0.6414,1.9336,0.7639,0.6942,122.2932
53,0.6934,0.9902,0.6934,0.7147,0.6416,1.9345,0.7647,0.6934,111.1295
54,0.696,0.9902,0.696,0.7158,0.6417,1.9352,0.765,0.696,122.272
55,0.695,0.9902,0.695,0.7151,0.6413,1.9335,0.7656,0.695,124.5197
56,0.6954,0.9903,0.6954,0.7149,0.6406,1.9308,0.766,0.6954,127.635
57,0.6963,0.9903,0.6963,0.7156,0.6402,1.9287,0.7665,0.6963,128.9329
58,0.6962,0.9904,0.6962,0.7154,0.64,1.9283,0.767,0.6962,125.461
59,0.6965,0.9904,0.6965,0.7154,0.6403,1.9295,0.767,0.6965,115.5423
