step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1809,0.6636,0.1809,0.1272,0.9423,22.4754,0.1622,0.1809,9.3585
1,0.2375,0.7286,0.2375,0.2014,0.8909,18.1113,0.248,0.2375,9.9767
2,0.3248,0.7999,0.3248,0.2965,0.8271,13.3804,0.3565,0.3248,10.1167
3,0.4006,0.8638,0.4006,0.3793,0.7819,9.3418,0.4473,0.4006,9.8245
4,0.4374,0.9017,0.4374,0.4261,0.7653,6.7167,0.5009,0.4374,10.5386
5,0.4686,0.9298,0.4686,0.4605,0.7554,4.7593,0.535,0.4686,10.28
6,0.4975,0.9516,0.4975,0.4927,0.7502,3.7505,0.5677,0.4975,10.1186
7,0.5277,0.9599,0.5277,0.5247,0.7488,3.3866,0.5873,0.5277,10.3247
8,0.5375,0.9615,0.5375,0.5348,0.7561,3.4068,0.5935,0.5375,11.2783
9,0.552,0.9624,0.552,0.5485,0.7618,3.4234,0.599,0.552,10.2558
10,0.5722,0.9648,0.5722,0.5705,0.7607,3.3985,0.611,0.5722,10.5364
11,0.5829,0.9658,0.5829,0.5796,0.7659,3.4186,0.6213,0.5829,11.1276
12,0.5922,0.9724,0.5922,0.5897,0.7705,2.8146,0.6259,0.5922,11.1814
13,0.5956,0.9773,0.5956,0.5916,0.7748,2.522,0.6332,0.5956,11.7768
14,0.6038,0.9784,0.6038,0.5998,0.7788,2.521,0.6422,0.6038,11.2458
15,0.6109,0.9787,0.6109,0.6073,0.7828,2.5257,0.6472,0.6109,11.044
16,0.6168,0.9784,0.6168,0.6131,0.7884,2.5454,0.6504,0.6168,10.8428
17,0.6112,0.9786,0.6112,0.6112,0.7935,2.5662,0.652,0.6112,10.631
18,0.6211,0.9827,0.6211,0.6209,0.7943,2.5564,0.6592,0.6211,11.4679
19,0.6221,0.9831,0.6221,0.6212,0.7972,2.5698,0.6621,0.6221,10.7144
20,0.6245,0.9837,0.6245,0.623,0.7998,2.5743,0.6682,0.6245,11.095
21,0.6289,0.9842,0.6289,0.628,0.8015,2.579,0.6719,0.6289,10.2775
22,0.6287,0.9845,0.6287,0.6276,0.804,2.5918,0.6726,0.6287,11.0346
23,0.6339,0.985,0.6339,0.6328,0.8063,2.5954,0.678,0.6339,10.9755
24,0.6366,0.9851,0.6366,0.6364,0.8098,2.6098,0.6798,0.6366,11.0282
25,0.6414,0.9852,0.6414,0.6393,0.8109,2.611,0.6841,0.6414,10.5953
26,0.6476,0.9854,0.6476,0.644,0.8129,2.6211,0.6873,0.6476,10.6905
27,0.6442,0.9855,0.6442,0.6417,0.8161,2.6375,0.6892,0.6442,10.752
28,0.6514,0.9857,0.6514,0.6474,0.8179,2.6451,0.6913,0.6514,11.1561
29,0.6549,0.9858,0.6549,0.65,0.8197,2.6531,0.6934,0.6549,10.5955
30,0.6573,0.986,0.6573,0.6515,0.8217,2.6614,0.6938,0.6573,10.6005
31,0.6606,0.9864,0.6606,0.6558,0.8235,2.6685,0.6959,0.6606,11.2142
32,0.6606,0.9867,0.6606,0.6563,0.8255,2.6762,0.6984,0.6606,11.2003
33,0.6639,0.9869,0.6639,0.6595,0.8241,2.6707,0.7015,0.6639,10.5379
34,0.6658,0.9869,0.6658,0.6606,0.8254,2.6782,0.7023,0.6658,11.2053
35,0.6677,0.9871,0.6677,0.6616,0.8268,2.6849,0.7045,0.6677,10.3899
36,0.6702,0.9873,0.6702,0.6655,0.8283,2.6891,0.7074,0.6702,11.5003
37,0.6706,0.9873,0.6706,0.6645,0.8299,2.6984,0.7083,0.6706,10.6095
38,0.6745,0.9875,0.6745,0.6685,0.8305,2.6974,0.7119,0.6745,11.2098
39,0.6753,0.9877,0.6753,0.6704,0.8323,2.7049,0.7132,0.6753,10.1788
40,0.6777,0.9878,0.6777,0.6728,0.8336,2.7096,0.7125,0.6777,10.7448
41,0.6794,0.9878,0.6794,0.6766,0.8348,2.7151,0.7138,0.6794,11.241
42,0.6807,0.9881,0.6807,0.6774,0.8357,2.7176,0.7164,0.6807,10.4701
43,0.6796,0.9882,0.6796,0.6765,0.8364,2.7219,0.7175,0.6796,10.352
