step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1058,0.622,0.1058,0.0754,0.993,22.4077,0.0796,0.1058,1.6762
1,0.1273,0.6974,0.1273,0.1086,0.976,16.0445,0.1181,0.1273,1.3438
2,0.1586,0.7411,0.1586,0.1351,0.9653,12.6976,0.1495,0.1586,1.3815
3,0.1647,0.7617,0.1647,0.14,0.961,11.2137,0.1665,0.1647,1.3995
4,0.1898,0.7817,0.1898,0.166,0.9561,10.2344,0.1789,0.1898,1.4483
5,0.2114,0.8064,0.2114,0.1907,0.9495,8.9594,0.2078,0.2114,1.4071
6,0.2008,0.806,0.2008,0.1795,0.9517,8.8871,0.2006,0.2008,1.4649
7,0.2225,0.8237,0.2225,0.2034,0.9452,7.9067,0.2277,0.2225,1.549
8,0.2329,0.8279,0.2329,0.2087,0.9429,7.8427,0.2303,0.2329,1.5434
9,0.2598,0.8427,0.2598,0.2397,0.9366,7.364,0.267,0.2598,1.5964
10,0.2553,0.844,0.2553,0.2384,0.9364,7.337,0.271,0.2553,1.5357
11,0.2643,0.8505,0.2643,0.2456,0.9335,7.1997,0.2834,0.2643,1.543
12,0.2776,0.8482,0.2776,0.2594,0.9318,7.2814,0.2865,0.2776,1.6131
13,0.2799,0.856,0.2799,0.2629,0.9307,7.0578,0.2979,0.2799,1.6482
14,0.2841,0.861,0.2841,0.2663,0.9296,6.7122,0.3015,0.2841,1.7289
15,0.2984,0.8656,0.2984,0.2851,0.9268,6.5539,0.3156,0.2984,1.7486
16,0.3086,0.8647,0.3086,0.2934,0.9271,6.5788,0.3182,0.3086,1.7463
17,0.3208,0.8778,0.3208,0.3087,0.9231,6.0352,0.3387,0.3208,1.8357
18,0.3243,0.8802,0.3243,0.31,0.9225,5.9714,0.3454,0.3243,1.7705
19,0.3286,0.8771,0.3286,0.3185,0.9224,6.225,0.3526,0.3286,1.7914
20,0.3323,0.8769,0.3323,0.3161,0.9219,6.1405,0.3478,0.3323,1.8862
21,0.3455,0.8836,0.3455,0.327,0.9186,5.9916,0.3661,0.3455,1.9221
22,0.3462,0.8838,0.3462,0.33,0.919,5.9409,0.3627,0.3462,1.9445
23,0.3478,0.8863,0.3478,0.3329,0.9177,5.8618,0.37,0.3478,1.9127
24,0.3531,0.8856,0.3531,0.3346,0.916,5.9196,0.3731,0.3531,1.978
25,0.3569,0.8839,0.3569,0.3398,0.9171,5.9697,0.3697,0.3569,2.032
26,0.3668,0.8944,0.3668,0.3449,0.9131,5.4876,0.3831,0.3668,2.002
27,0.3779,0.8967,0.3779,0.3571,0.9103,5.5357,0.4013,0.3779,2.0256
28,0.3672,0.8951,0.3672,0.3466,0.9128,5.5317,0.3872,0.3672,2.0693
29,0.3847,0.8981,0.3847,0.3627,0.9097,5.4357,0.4001,0.3847,2.1031
30,0.3828,0.9007,0.3828,0.3622,0.9082,5.2732,0.4079,0.3828,2.1149
31,0.3957,0.9023,0.3957,0.3743,0.9066,5.2851,0.4159,0.3957,2.1239
32,0.3889,0.9,0.3889,0.3641,0.9075,5.4227,0.4096,0.3889,2.1396
33,0.3943,0.9077,0.3943,0.3704,0.9054,5.129,0.4163,0.3943,2.1834
34,0.3969,0.9051,0.3969,0.3723,0.905,5.2026,0.422,0.3969,2.239
35,0.3949,0.9067,0.3949,0.3685,0.9046,5.1015,0.4186,0.3949,2.2882
36,0.3964,0.9063,0.3964,0.3722,0.9036,5.1822,0.4209,0.3964,2.262
37,0.3992,0.9054,0.3992,0.3722,0.9018,5.2539,0.4257,0.3992,2.3603
38,0.4056,0.9074,0.4056,0.3816,0.9016,5.1946,0.434,0.4056,2.2871
39,0.4122,0.9096,0.4122,0.3895,0.9002,5.0799,0.4388,0.4122,2.488
40,0.404,0.9114,0.404,0.3801,0.9009,4.9273,0.4325,0.404,2.3643
41,0.4105,0.9119,0.4105,0.3885,0.8985,5.0035,0.443,0.4105,2.4698
42,0.4114,0.9132,0.4114,0.3892,0.8998,4.9407,0.4417,0.4114,2.4427
43,0.4113,0.9136,0.4113,0.3881,0.8975,4.9099,0.4454,0.4113,2.4022
44,0.4235,0.9128,0.4235,0.4015,0.8971,4.9709,0.4498,0.4235,2.5195
45,0.4308,0.9198,0.4308,0.4085,0.8942,4.6736,0.4655,0.4308,2.5488
46,0.4292,0.9178,0.4292,0.4105,0.8946,4.7237,0.4632,0.4292,2.5796
47,0.4335,0.9158,0.4335,0.4134,0.8941,4.8441,0.4674,0.4335,2.7343
48,0.4327,0.9197,0.4327,0.4074,0.8932,4.6762,0.4664,0.4327,2.6748
49,0.4394,0.9191,0.4394,0.4207,0.8926,4.7459,0.4664,0.4394,2.7326
50,0.4401,0.9191,0.4401,0.4198,0.893,4.694,0.4702,0.4401,2.6927
51,0.4359,0.9193,0.4359,0.4157,0.8923,4.7292,0.4688,0.4359,2.7583
52,0.4443,0.9225,0.4443,0.425,0.8893,4.5609,0.4799,0.4443,2.7954
53,0.4466,0.9226,0.4466,0.4301,0.8893,4.542,0.4838,0.4466,2.8543
54,0.4449,0.9234,0.4449,0.4266,0.8888,4.5389,0.4827,0.4449,2.7949
55,0.4453,0.9227,0.4453,0.4258,0.8886,4.6011,0.4778,0.4453,2.9214
56,0.4509,0.925,0.4509,0.4335,0.8873,4.4946,0.488,0.4509,2.8975
57,0.4611,0.9275,0.4611,0.4445,0.8831,4.3526,0.4971,0.4611,2.8331
58,0.4498,0.9267,0.4498,0.431,0.887,4.3733,0.4878,0.4498,3.0016
59,0.4671,0.9263,0.4671,0.4515,0.885,4.364,0.4942,0.4671,2.9887
