step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0378,0.5258,0.0378,0.0079,1.0842,32.6455,0.0174,0.0378,0.0304
1,0.0389,0.5445,0.0389,0.0179,1.0404,30.0276,0.0224,0.0389,0.0285
2,0.0689,0.574,0.0689,0.0382,1.0143,26.8713,0.041,0.0689,0.0226
3,0.0806,0.5989,0.0806,0.0482,1.0034,24.9571,0.0555,0.0806,0.0232
4,0.0894,0.616,0.0894,0.0578,0.9961,23.275,0.0708,0.0894,0.0296
5,0.0937,0.6286,0.0937,0.0595,0.9914,21.8708,0.0786,0.0937,0.0236
6,0.114,0.6477,0.114,0.0745,0.9837,20.7353,0.0977,0.114,0.0248
7,0.1427,0.6699,0.1427,0.0943,0.9739,19.3307,0.1228,0.1427,0.0231
8,0.1502,0.6795,0.1502,0.1009,0.9712,18.0669,0.1277,0.1502,0.0243
9,0.1498,0.6889,0.1498,0.1026,0.9681,16.9312,0.1278,0.1498,0.0239
10,0.1587,0.7005,0.1587,0.1088,0.9643,16.1254,0.1357,0.1587,0.0241
11,0.1596,0.7135,0.1596,0.1087,0.9612,15.1821,0.1412,0.1596,0.0209
12,0.1692,0.7253,0.1692,0.118,0.9577,14.2777,0.1508,0.1692,0.0234
13,0.1766,0.7356,0.1766,0.1255,0.9568,13.728,0.1584,0.1766,0.0215
14,0.1916,0.7399,0.1916,0.1372,0.9525,13.5021,0.1689,0.1916,0.0254
15,0.1876,0.7416,0.1876,0.1336,0.9512,13.3476,0.1663,0.1876,0.0224
16,0.1957,0.7602,0.1957,0.1422,0.948,12.4391,0.1752,0.1957,0.0243
17,0.2003,0.762,0.2003,0.146,0.9461,11.9332,0.1812,0.2003,0.0243
18,0.2144,0.7698,0.2144,0.162,0.9423,11.6456,0.1922,0.2144,0.025
19,0.2165,0.7811,0.2165,0.1669,0.9412,10.9511,0.1988,0.2165,0.0212
20,0.228,0.7851,0.228,0.1734,0.9389,10.669,0.2056,0.228,0.0246
21,0.2292,0.7854,0.2292,0.1758,0.9371,10.3208,0.205,0.2292,0.0239
22,0.2337,0.7942,0.2337,0.1861,0.9357,9.8356,0.2191,0.2337,0.0243
23,0.2358,0.7984,0.2358,0.1873,0.9336,9.5898,0.2251,0.2358,0.0255
24,0.2474,0.7983,0.2474,0.1987,0.9319,9.716,0.2306,0.2474,0.0229
25,0.241,0.8096,0.241,0.1968,0.9305,9.0466,0.2311,0.241,0.0201
26,0.2513,0.8127,0.2513,0.2066,0.9273,8.7592,0.24,0.2513,0.0247
27,0.2574,0.8206,0.2574,0.2166,0.9267,8.3934,0.2436,0.2574,0.0221
28,0.267,0.8169,0.267,0.2237,0.9254,8.6674,0.2463,0.267,0.0233
29,0.2682,0.8195,0.2682,0.2258,0.9219,8.5882,0.254,0.2682,0.0218
30,0.2733,0.8248,0.2733,0.2294,0.922,8.3528,0.2574,0.2733,0.0236
31,0.2802,0.8341,0.2802,0.2366,0.9179,7.904,0.2731,0.2802,0.0214
32,0.284,0.8358,0.284,0.2433,0.9176,7.7644,0.2761,0.284,0.0243
33,0.2816,0.8373,0.2816,0.2415,0.9169,7.5539,0.2749,0.2816,0.0207
34,0.2888,0.8439,0.2888,0.2462,0.9151,7.3637,0.2789,0.2888,0.0209
35,0.3016,0.8455,0.3016,0.2626,0.912,7.3383,0.2889,0.3016,0.0218
36,0.2958,0.8393,0.2958,0.2485,0.9121,7.6547,0.2829,0.2958,0.0244
37,0.2934,0.8459,0.2934,0.2479,0.9118,7.2911,0.2856,0.2934,0.021
38,0.3058,0.8507,0.3058,0.2628,0.9085,7.119,0.2992,0.3058,0.0253
39,0.3052,0.8557,0.3052,0.2626,0.9067,6.7933,0.3034,0.3052,0.0225
40,0.3096,0.8576,0.3096,0.2668,0.9057,6.5885,0.3043,0.3096,0.0231
41,0.3244,0.8625,0.3244,0.2812,0.9018,6.4172,0.319,0.3244,0.0202
42,0.3223,0.8617,0.3223,0.278,0.9004,6.5052,0.319,0.3223,0.0219
43,0.3174,0.8603,0.3174,0.2736,0.9017,6.3978,0.3132,0.3174,0.0224
44,0.3326,0.8662,0.3326,0.2866,0.8989,6.3499,0.3286,0.3326,0.0236
45,0.3251,0.8665,0.3251,0.2838,0.9027,6.2813,0.3204,0.3251,0.0211
46,0.3388,0.8712,0.3388,0.2994,0.8967,6.1107,0.3332,0.3388,0.023
47,0.3526,0.8749,0.3526,0.3143,0.8949,6.0271,0.3479,0.3526,0.0226
48,0.3472,0.8736,0.3472,0.3092,0.8942,6.0882,0.3461,0.3472,0.0224
49,0.3529,0.8791,0.3529,0.3139,0.8947,5.8121,0.3455,0.3529,0.0203
50,0.3441,0.8783,0.3441,0.3095,0.8963,5.8134,0.3433,0.3441,0.0241
51,0.3532,0.8801,0.3532,0.3177,0.8916,5.7803,0.35,0.3532,0.0217
52,0.3622,0.8815,0.3622,0.3264,0.8903,5.7004,0.3593,0.3622,0.0229
53,0.3661,0.8856,0.3661,0.3289,0.8896,5.5782,0.3682,0.3661,0.022
54,0.3693,0.8838,0.3693,0.3351,0.8875,5.6917,0.3701,0.3693,0.0245
55,0.3693,0.8901,0.3693,0.3381,0.8875,5.3987,0.3728,0.3693,0.0213
56,0.3687,0.8898,0.3687,0.3361,0.8871,5.4517,0.3804,0.3687,0.0232
57,0.372,0.8896,0.372,0.344,0.8874,5.4499,0.3757,0.372,0.0248
58,0.3841,0.8949,0.3841,0.3573,0.8834,5.3311,0.3877,0.3841,0.0224
59,0.3844,0.8963,0.3844,0.3598,0.8842,5.2354,0.3922,0.3844,0.0247
