step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.01,0.5,0.01,0.0002,1.98,35.6832,0.01,0.01,0.041
1,0.017,0.5058,0.017,0.0007,1.4807,35.335,0.0124,0.017,0.1348
2,0.0236,0.5099,0.0236,0.0017,1.315,34.9903,0.0179,0.0236,0.1488
3,0.0282,0.5129,0.0282,0.0026,1.233,34.6493,0.0159,0.0282,0.1442
4,0.0306,0.5152,0.0306,0.0052,1.1852,34.3097,0.0198,0.0306,0.1509
5,0.0346,0.519,0.0346,0.0075,1.1516,33.9738,0.0184,0.0346,0.1597
6,0.0353,0.5212,0.0353,0.0071,1.1261,33.6382,0.0199,0.0353,0.1631
7,0.0217,0.5196,0.0217,0.0077,1.136,33.6412,0.0208,0.0217,0.1651
8,0.0198,0.521,0.0198,0.0078,1.1207,33.3095,0.0215,0.0198,0.1677
9,0.0308,0.5283,0.0308,0.0112,1.0975,32.9688,0.0258,0.0308,0.1694
10,0.033,0.5303,0.033,0.0112,1.0867,32.6383,0.0267,0.033,0.1781
11,0.0323,0.5349,0.0323,0.0139,1.0896,32.6332,0.0301,0.0323,0.1762
12,0.0345,0.5336,0.0345,0.016,1.0814,32.3071,0.0299,0.0345,0.2312
13,0.0378,0.5394,0.0378,0.0193,1.0719,31.9743,0.0364,0.0378,0.204
14,0.0408,0.5409,0.0408,0.0199,1.0641,31.6434,0.0342,0.0408,0.1996
15,0.0406,0.5422,0.0406,0.0196,1.0572,31.3148,0.035,0.0406,0.1968
16,0.0436,0.5474,0.0436,0.0232,1.0526,30.9849,0.0385,0.0436,0.2056
17,0.0467,0.5496,0.0467,0.0236,1.0511,30.9792,0.0429,0.0467,0.2058
18,0.0427,0.5519,0.0427,0.0208,1.0495,30.659,0.0411,0.0427,0.2108
19,0.0503,0.5509,0.0503,0.0242,1.0417,30.3369,0.0413,0.0503,0.2128
20,0.0495,0.5538,0.0495,0.0224,1.0387,30.0165,0.0399,0.0495,0.2401
21,0.0614,0.5564,0.0614,0.0254,1.0318,29.6914,0.0447,0.0614,0.2339
22,0.057,0.5578,0.057,0.0261,1.0351,29.6975,0.0457,0.057,0.2379
23,0.0592,0.5598,0.0592,0.0281,1.0346,29.6815,0.045,0.0592,0.2306
24,0.0637,0.5618,0.0637,0.0265,1.0338,29.6879,0.0482,0.0637,0.2434
25,0.072,0.5634,0.072,0.0285,1.0274,29.3578,0.0536,0.072,0.2366
26,0.0619,0.566,0.0619,0.0268,1.0304,29.0659,0.0477,0.0619,0.2471
27,0.0701,0.5679,0.0701,0.031,1.0236,28.7199,0.0509,0.0701,0.2465
28,0.0727,0.57,0.0727,0.0363,1.0225,28.4119,0.0493,0.0727,0.325
29,0.0636,0.5733,0.0636,0.0324,1.0222,28.0898,0.0534,0.0636,0.2729
30,0.075,0.5719,0.075,0.0375,1.0174,27.8104,0.0562,0.075,0.2857
31,0.0609,0.5725,0.0609,0.0322,1.0173,27.4849,0.0476,0.0609,0.2799
32,0.0654,0.5773,0.0654,0.0328,1.0186,27.5046,0.0552,0.0654,0.2923
33,0.0661,0.5772,0.0661,0.0328,1.0156,27.1898,0.054,0.0661,0.2893
34,0.0632,0.5816,0.0632,0.0323,1.0146,26.8899,0.0549,0.0632,0.299
35,0.0631,0.5813,0.0631,0.0349,1.0136,26.575,0.0484,0.0631,0.3796
36,0.0673,0.584,0.0673,0.0324,1.0115,26.3192,0.0557,0.0673,0.3196
37,0.0711,0.5885,0.0711,0.0368,1.0082,25.958,0.0543,0.0711,0.3222
38,0.0747,0.5907,0.0747,0.0435,1.0078,25.9381,0.0589,0.0747,0.3229
39,0.0721,0.5883,0.0721,0.0378,1.0082,25.6663,0.0522,0.0721,0.3371
40,0.0728,0.5909,0.0728,0.0344,1.0066,25.3644,0.0544,0.0728,0.3345
41,0.0744,0.5959,0.0744,0.0391,1.0053,25.3539,0.0598,0.0744,0.3972
42,0.0788,0.5958,0.0788,0.0412,1.0035,25.1378,0.063,0.0788,0.3878
43,0.08,0.599,0.08,0.0442,1.0026,24.7757,0.0621,0.08,0.3576
44,0.0909,0.6017,0.0909,0.0494,1.0007,24.754,0.0654,0.0909,0.3796
45,0.0944,0.6029,0.0944,0.0475,0.9995,24.792,0.0726,0.0944,0.3655
46,0.0859,0.6032,0.0859,0.0436,1.0007,24.4925,0.0654,0.0859,0.3754
47,0.0893,0.6033,0.0893,0.0419,0.9998,24.497,0.067,0.0893,0.3795
48,0.0882,0.6082,0.0882,0.0458,0.9988,24.2263,0.0713,0.0882,0.3987
49,0.0871,0.6117,0.0871,0.0443,0.9984,23.8671,0.065,0.0871,0.3874
50,0.0889,0.6088,0.0889,0.045,0.9991,23.9603,0.0678,0.0889,0.4008
51,0.0867,0.6122,0.0867,0.0446,0.9983,23.9417,0.0661,0.0867,0.4027
