step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3381,0.7254,0.3381,0.2664,0.8839,15.1466,0.4252,0.3381,0.761
1,0.6817,0.9538,0.6817,0.6482,0.4477,1.0577,0.8033,0.6817,0.7738
2,0.7482,0.9789,0.7482,0.739,0.3592,0.7755,0.8979,0.7482,1.0279
3,0.7742,0.9824,0.7742,0.7654,0.3211,0.6805,0.91,0.7742,1.0608
4,0.8561,0.9893,0.8561,0.8574,0.2159,0.4623,0.9373,0.8561,0.9287
5,0.8656,0.9897,0.8656,0.8666,0.2025,0.4316,0.9396,0.8656,1.0533
6,0.8767,0.9912,0.8767,0.8774,0.1841,0.3912,0.949,0.8767,1.0553
7,0.8879,0.9929,0.8879,0.8888,0.166,0.3471,0.958,0.8879,1.0389
8,0.8874,0.9932,0.8874,0.8889,0.1662,0.3446,0.9599,0.8874,0.984
9,0.902,0.9942,0.902,0.9031,0.1477,0.307,0.9663,0.902,1.0385
10,0.9032,0.994,0.9032,0.9041,0.1457,0.305,0.9666,0.9032,1.0187
11,0.9083,0.9949,0.9083,0.9091,0.1358,0.2826,0.9709,0.9083,0.8904
12,0.9132,0.9952,0.9132,0.9142,0.1298,0.269,0.9721,0.9132,1.0376
13,0.9137,0.9951,0.9137,0.9146,0.1299,0.2687,0.9714,0.9137,1.0409
14,0.9137,0.9953,0.9137,0.9146,0.1269,0.2616,0.9723,0.9137,0.8816
15,0.9111,0.9951,0.9111,0.912,0.1308,0.2705,0.9707,0.9111,1.0674
16,0.9161,0.9953,0.9161,0.9169,0.124,0.2585,0.9723,0.9161,1.0756
17,0.9183,0.9955,0.9183,0.9189,0.1206,0.2526,0.9727,0.9183,0.9461
18,0.9195,0.9955,0.9195,0.92,0.1213,0.2537,0.9724,0.9195,1.0975
19,0.9158,0.995,0.9158,0.9163,0.126,0.264,0.97,0.9158,1.0065
20,0.9167,0.995,0.9167,0.9172,0.1245,0.2619,0.9702,0.9167,1.0643
21,0.9222,0.9956,0.9222,0.9226,0.1162,0.2453,0.9734,0.9222,1.0261
22,0.9255,0.9959,0.9255,0.926,0.1125,0.2379,0.9752,0.9255,0.891
23,0.9239,0.996,0.9239,0.9242,0.114,0.2411,0.9754,0.9239,0.8756
