step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4648,0.7954,0.4648,0.3686,0.72,11.5433,0.5047,0.4648,0.0426
1,0.5985,0.9169,0.5985,0.5587,0.5456,4.5028,0.7423,0.5985,0.0662
2,0.7034,0.9254,0.7034,0.6691,0.43,4.2394,0.7857,0.7034,0.0762
3,0.7526,0.974,0.7526,0.7512,0.3598,0.7745,0.8685,0.7526,0.0653
4,0.7789,0.9801,0.7789,0.7788,0.3232,0.6956,0.9005,0.7789,0.0672
5,0.7917,0.9846,0.7917,0.7894,0.2994,0.6286,0.9178,0.7917,0.0686
6,0.8357,0.9892,0.8357,0.8361,0.2404,0.5055,0.9435,0.8357,0.067
7,0.8724,0.9922,0.8724,0.8737,0.1876,0.3946,0.9561,0.8724,0.0701
8,0.8849,0.9929,0.8849,0.8856,0.1701,0.3579,0.9595,0.8849,0.0658
9,0.8793,0.9921,0.8793,0.8811,0.1779,0.3683,0.9561,0.8793,0.0728
10,0.8886,0.9926,0.8886,0.8897,0.1654,0.3418,0.958,0.8886,0.0738
11,0.9035,0.9941,0.9035,0.9042,0.1429,0.2946,0.9646,0.9035,0.0708
12,0.9041,0.9941,0.9041,0.9049,0.1428,0.296,0.9647,0.9041,0.0713
13,0.9016,0.9943,0.9016,0.9019,0.1452,0.2948,0.9645,0.9016,0.0718
14,0.9079,0.9949,0.9079,0.908,0.1372,0.2791,0.9683,0.9079,0.072
15,0.9123,0.9954,0.9123,0.9127,0.1313,0.267,0.9708,0.9123,0.0755
16,0.9101,0.995,0.9101,0.9104,0.1345,0.2769,0.9691,0.9101,0.075
17,0.9104,0.9951,0.9104,0.9107,0.1321,0.2704,0.9693,0.9104,0.0812
18,0.9096,0.9952,0.9096,0.9101,0.1327,0.271,0.9698,0.9096,0.0784
19,0.9129,0.9953,0.9129,0.9135,0.1289,0.2647,0.9701,0.9129,0.0766
20,0.9158,0.9956,0.9158,0.9163,0.1247,0.2582,0.9718,0.9158,0.0788
21,0.9165,0.9955,0.9165,0.9172,0.1259,0.2618,0.9719,0.9165,0.087
22,0.9157,0.9956,0.9157,0.9165,0.1268,0.2641,0.9718,0.9157,0.0861
23,0.9166,0.9956,0.9166,0.9176,0.1264,0.2667,0.9727,0.9166,0.0836
24,0.9184,0.9956,0.9184,0.9194,0.1265,0.2681,0.9723,0.9184,0.0867
25,0.9205,0.9958,0.9205,0.9212,0.1212,0.2577,0.9735,0.9205,0.0915
26,0.9221,0.9959,0.9221,0.9227,0.118,0.2529,0.9744,0.9221,0.0882
27,0.9216,0.9957,0.9216,0.9223,0.1199,0.2587,0.9733,0.9216,0.0918
28,0.9235,0.9958,0.9235,0.9242,0.1171,0.2552,0.9743,0.9235,0.1079
29,0.9255,0.9961,0.9255,0.9261,0.1144,0.2486,0.9755,0.9255,0.1103
30,0.9227,0.996,0.9227,0.9232,0.118,0.257,0.9746,0.9227,0.1088
31,0.9244,0.9961,0.9244,0.9249,0.1159,0.2533,0.9752,0.9244,0.1087
32,0.9258,0.9962,0.9258,0.9262,0.1148,0.2515,0.9757,0.9258,0.1128
33,0.9263,0.9963,0.9263,0.9267,0.1144,0.2519,0.9765,0.9263,0.1198
34,0.9248,0.9963,0.9248,0.9252,0.1158,0.2558,0.9763,0.9248,0.1187
35,0.9237,0.9963,0.9237,0.9241,0.1179,0.2586,0.9761,0.9237,0.1236
36,0.9252,0.9964,0.9252,0.9255,0.1159,0.256,0.9769,0.9252,0.1179
37,0.9239,0.9964,0.9239,0.9244,0.1175,0.2619,0.9767,0.9239,0.1224
38,0.9249,0.9965,0.9249,0.9254,0.1161,0.2591,0.977,0.9249,0.1218
39,0.9272,0.9966,0.9272,0.9275,0.1137,0.2553,0.9776,0.9272,0.1215
40,0.9287,0.9966,0.9287,0.9291,0.1112,0.2531,0.9781,0.9287,0.1192
41,0.9309,0.9967,0.9309,0.9312,0.1093,0.249,0.9785,0.9309,0.1327
42,0.9309,0.9967,0.9309,0.9312,0.1088,0.2478,0.9787,0.9309,0.1308
43,0.931,0.9968,0.931,0.9313,0.1083,0.2459,0.9794,0.931,0.1345
44,0.9313,0.9968,0.9313,0.9316,0.1084,0.2465,0.9793,0.9313,0.1338
45,0.9316,0.9969,0.9316,0.9319,0.1079,0.2494,0.9796,0.9316,0.1318
46,0.93,0.9968,0.93,0.9303,0.1097,0.252,0.9792,0.93,0.1257
47,0.9297,0.9968,0.9297,0.93,0.1101,0.2535,0.9794,0.9297,0.142
48,0.9321,0.9969,0.9321,0.9324,0.108,0.2534,0.9796,0.9321,0.1406
49,0.9327,0.997,0.9327,0.933,0.1071,0.2528,0.9803,0.9327,0.1513
50,0.9332,0.997,0.9332,0.9335,0.1059,0.2518,0.9806,0.9332,0.1464
