step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4628,0.7739,0.4628,0.3775,0.7249,14.8584,0.5217,0.4628,0.0354
1,0.5644,0.869,0.5644,0.5207,0.601,7.9564,0.6662,0.5644,0.0313
2,0.6843,0.9292,0.6843,0.6436,0.4667,4.384,0.7942,0.6843,0.0282
3,0.7648,0.9788,0.7648,0.7622,0.3821,0.8907,0.8794,0.7648,0.0347
4,0.7903,0.9841,0.7903,0.7878,0.3526,0.823,0.904,0.7903,0.0377
5,0.8177,0.9871,0.8177,0.8176,0.3348,0.7819,0.9183,0.8177,0.0418
6,0.8407,0.988,0.8407,0.8381,0.3193,0.749,0.9225,0.8407,0.0271
7,0.8424,0.989,0.8424,0.8362,0.3215,0.7592,0.9274,0.8424,0.03
8,0.8418,0.9899,0.8418,0.8335,0.3157,0.748,0.9336,0.8418,0.0321
9,0.8396,0.9908,0.8396,0.8336,0.3177,0.7396,0.9381,0.8396,0.0231
10,0.8596,0.9914,0.8596,0.857,0.3093,0.7194,0.942,0.8596,0.0229
11,0.8671,0.9916,0.8671,0.8637,0.303,0.7106,0.9436,0.8671,0.0281
12,0.8733,0.9925,0.8733,0.8696,0.2963,0.6946,0.9492,0.8733,0.0363
13,0.8891,0.9926,0.8891,0.8878,0.2912,0.686,0.9499,0.8891,0.0316
14,0.8934,0.9928,0.8934,0.8928,0.2866,0.6766,0.9509,0.8934,0.0401
15,0.8938,0.9936,0.8938,0.8931,0.2879,0.6775,0.9553,0.8938,0.0254
16,0.8973,0.9939,0.8973,0.8975,0.2835,0.6687,0.9573,0.8973,0.0492
17,0.8973,0.994,0.8973,0.8973,0.2857,0.6736,0.9581,0.8973,0.0257
18,0.9,0.9945,0.9,0.9,0.2827,0.668,0.9614,0.9,0.0432
19,0.8989,0.9946,0.8989,0.899,0.2815,0.666,0.9629,0.8989,0.0356
20,0.8998,0.9947,0.8998,0.8997,0.2823,0.6685,0.9634,0.8998,0.036
21,0.9031,0.9949,0.9031,0.903,0.2801,0.6649,0.9647,0.9031,0.0484
22,0.8998,0.9949,0.8998,0.8996,0.2834,0.6708,0.9646,0.8998,0.0572
23,0.8979,0.9948,0.8979,0.8973,0.2818,0.6689,0.9642,0.8979,0.0395
24,0.8914,0.9947,0.8914,0.891,0.2864,0.6781,0.9637,0.8914,0.041
