step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7518,0.9702,0.7518,0.7568,0.4431,0.9993,0.8337,0.7518,10.1638
1,0.8595,0.9877,0.8595,0.8606,0.4045,0.9127,0.9225,0.8595,10.2004
2,0.8743,0.9901,0.8743,0.874,0.4185,0.9448,0.9363,0.8743,10.1512
3,0.8825,0.9916,0.8825,0.8854,0.4256,0.9524,0.9436,0.8825,10.098
4,0.9053,0.9922,0.9053,0.906,0.4374,0.9773,0.9464,0.9053,10.1265
5,0.9132,0.9931,0.9132,0.9134,0.443,0.9906,0.9541,0.9132,10.1349
6,0.9196,0.9934,0.9196,0.9199,0.4586,1.0221,0.9566,0.9196,10.1411
7,0.925,0.9941,0.925,0.9257,0.4692,1.0428,0.9615,0.925,10.2169
8,0.9286,0.9939,0.9286,0.9289,0.4752,1.0542,0.9594,0.9286,10.0861
9,0.9253,0.9939,0.9253,0.9265,0.4887,1.0794,0.9594,0.9253,10.1382
10,0.9234,0.9937,0.9234,0.925,0.4976,1.0954,0.9581,0.9234,10.1425
11,0.9231,0.9938,0.9231,0.925,0.5038,1.1086,0.9584,0.9231,10.0723
12,0.9261,0.9938,0.9261,0.928,0.509,1.117,0.9572,0.9261,10.1243
13,0.9342,0.9939,0.9342,0.9355,0.5078,1.1149,0.9576,0.9342,10.0929
14,0.9378,0.9939,0.9378,0.9388,0.5151,1.1294,0.9578,0.9378,9.9368
15,0.9432,0.9937,0.9432,0.9438,0.5206,1.1415,0.9558,0.9432,9.826
16,0.9389,0.9938,0.9389,0.94,0.5243,1.1485,0.9566,0.9389,10.087
17,0.938,0.9938,0.938,0.9391,0.5287,1.1562,0.9561,0.938,10.085
18,0.9423,0.9937,0.9423,0.943,0.5298,1.1584,0.9556,0.9423,10.1275
19,0.9421,0.9934,0.9421,0.9427,0.5337,1.1659,0.9533,0.9421,10.0769
20,0.9433,0.9933,0.9433,0.9437,0.5371,1.1724,0.9526,0.9433,10.1374
21,0.9439,0.9931,0.9439,0.9445,0.5401,1.1773,0.9506,0.9439,10.149
22,0.9447,0.993,0.9447,0.9454,0.5394,1.1754,0.9503,0.9447,10.1578
23,0.9446,0.9929,0.9446,0.9453,0.5405,1.1772,0.9502,0.9446,10.2049
24,0.9458,0.993,0.9458,0.9465,0.5434,1.1835,0.951,0.9458,10.1176
25,0.9463,0.9928,0.9463,0.9467,0.5465,1.1903,0.9499,0.9463,10.0854
26,0.9455,0.9929,0.9455,0.9462,0.5488,1.195,0.9506,0.9455,10.1466
27,0.9471,0.9929,0.9471,0.9477,0.549,1.1955,0.951,0.9471,10.1447
28,0.9463,0.9928,0.9463,0.9469,0.5508,1.1985,0.9501,0.9463,10.095
29,0.9459,0.9927,0.9459,0.9468,0.5537,1.2049,0.9494,0.9459,10.0638
30,0.9486,0.9925,0.9486,0.9491,0.557,1.211,0.948,0.9486,10.0751
31,0.9486,0.9924,0.9486,0.949,0.5599,1.2172,0.9473,0.9486,10.1527
32,0.9462,0.9923,0.9462,0.947,0.5614,1.2194,0.9466,0.9462,10.116
33,0.9484,0.9922,0.9484,0.9489,0.5624,1.2214,0.946,0.9484,10.2232
34,0.9471,0.9921,0.9471,0.9479,0.5654,1.2272,0.945,0.9471,10.0999
35,0.9458,0.9918,0.9458,0.9467,0.5669,1.2299,0.9425,0.9458,10.188
36,0.9487,0.9919,0.9487,0.9493,0.5662,1.2287,0.9433,0.9487,10.2115
37,0.9484,0.9919,0.9484,0.9492,0.5683,1.2329,0.943,0.9484,10.224
38,0.9486,0.9918,0.9486,0.9493,0.5676,1.2309,0.9427,0.9486,10.2459
39,0.9486,0.9919,0.9486,0.9494,0.5687,1.2325,0.9436,0.9486,10.1701
40,0.9493,0.9917,0.9493,0.9499,0.5696,1.2343,0.9425,0.9493,10.2213
41,0.9489,0.9916,0.9489,0.9494,0.5696,1.2339,0.9417,0.9489,10.219
42,0.9482,0.9915,0.9482,0.9488,0.5709,1.2361,0.9418,0.9482,10.1822
43,0.9456,0.9915,0.9456,0.9465,0.5729,1.2397,0.9407,0.9456,10.2464
44,0.9468,0.9915,0.9468,0.9476,0.5731,1.2399,0.9407,0.9468,10.1629
45,0.9478,0.9913,0.9478,0.9488,0.5734,1.2402,0.9396,0.9478,10.1739
46,0.9484,0.9913,0.9484,0.9492,0.5741,1.2416,0.9391,0.9484,10.0815
47,0.9511,0.9912,0.9511,0.9517,0.5733,1.2399,0.9384,0.9511,10.0321
48,0.9511,0.9911,0.9511,0.9517,0.5745,1.242,0.9375,0.9511,10.0365
49,0.9504,0.9912,0.9504,0.9511,0.5748,1.2423,0.9377,0.9504,10.032
50,0.9507,0.9912,0.9507,0.9514,0.5752,1.2427,0.9379,0.9507,10.0539
51,0.9484,0.9909,0.9484,0.9493,0.5763,1.2444,0.9357,0.9484,10.0547
52,0.9497,0.9908,0.9497,0.9505,0.5757,1.243,0.935,0.9497,9.9557
53,0.9519,0.9907,0.9519,0.9526,0.5754,1.2421,0.9337,0.9519,9.9711
54,0.9519,0.9905,0.9519,0.9525,0.5757,1.2422,0.9331,0.9519,10.0412
55,0.9519,0.9905,0.9519,0.9525,0.5742,1.2395,0.933,0.9519,10.0265
56,0.9524,0.9903,0.9524,0.953,0.5738,1.2376,0.931,0.9524,10.0126
57,0.9518,0.99,0.9518,0.9523,0.5747,1.2388,0.9288,0.9518,10.0563
58,0.9512,0.9899,0.9512,0.9518,0.5727,1.2347,0.9285,0.9512,10.0052
59,0.9507,0.99,0.9507,0.9514,0.5732,1.2353,0.929,0.9507,10.0781
