step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.6186,0.92,0.6186,0.6113,0.7175,1.6517,0.6774,0.6186,0.0505
1,0.7021,0.9634,0.7021,0.712,0.6748,1.5165,0.8384,0.7021,0.2274
2,0.7296,0.9723,0.7296,0.7276,0.6273,1.4169,0.8656,0.7296,0.2879
3,0.7992,0.9749,0.7992,0.7981,0.5946,1.3358,0.8736,0.7992,0.3253
4,0.8507,0.981,0.8507,0.8514,0.5823,1.2934,0.9018,0.8507,0.392
5,0.8669,0.9818,0.8669,0.8675,0.5738,1.2755,0.9069,0.8669,0.4436
6,0.8608,0.9821,0.8608,0.8624,0.5805,1.2865,0.9045,0.8608,0.5012
7,0.868,0.9838,0.868,0.8692,0.5851,1.2954,0.9138,0.868,0.5747
8,0.8788,0.9846,0.8788,0.8796,0.5826,1.2879,0.9164,0.8788,0.6501
9,0.8774,0.9849,0.8774,0.8788,0.5814,1.2825,0.9174,0.8774,0.698
10,0.8789,0.9854,0.8789,0.8801,0.5785,1.2807,0.9186,0.8789,0.8067
11,0.8773,0.9858,0.8773,0.8793,0.5717,1.2619,0.9202,0.8773,0.8711
12,0.88,0.9865,0.88,0.8818,0.5707,1.2587,0.92,0.88,0.9571
13,0.8827,0.9866,0.8827,0.8837,0.5713,1.2616,0.9224,0.8827,1.0804
14,0.8939,0.9867,0.8939,0.8948,0.5675,1.2511,0.9271,0.8939,1.1915
15,0.8922,0.9872,0.8922,0.8932,0.5694,1.255,0.9271,0.8922,1.2717
16,0.894,0.9878,0.894,0.8947,0.5639,1.243,0.9295,0.894,1.3546
17,0.8958,0.9877,0.8958,0.8971,0.5629,1.2399,0.9308,0.8958,1.4052
18,0.8979,0.9889,0.8979,0.8987,0.5573,1.2268,0.9358,0.8979,1.5171
19,0.9033,0.9891,0.9033,0.9042,0.556,1.2245,0.9385,0.9033,1.5242
20,0.9043,0.9888,0.9043,0.9054,0.5595,1.231,0.9361,0.9043,1.5945
21,0.8974,0.9887,0.8974,0.8987,0.5618,1.2358,0.9351,0.8974,1.7404
22,0.8961,0.9893,0.8961,0.8975,0.5621,1.2363,0.9375,0.8961,1.7483
23,0.9009,0.9894,0.9009,0.902,0.5576,1.2264,0.9371,0.9009,1.834
24,0.8998,0.9894,0.8998,0.9009,0.5584,1.2261,0.9379,0.8998,1.9585
25,0.9032,0.989,0.9032,0.9041,0.5558,1.2217,0.9363,0.9032,2.0239
