step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0714,0.5,0.0714,0.0095,1.8571,33.4691,0.0714,0.0714,4086.3045
1,0.0982,0.5439,0.0982,0.0339,1.4662,30.9674,0.1015,0.0982,200.1914
2,0.125,0.5729,0.125,0.0624,1.3427,28.5008,0.1361,0.125,102.3316
3,0.1698,0.6052,0.1698,0.0938,1.1542,26.0214,0.1809,0.1698,685.8518
4,0.199,0.6231,0.199,0.1247,1.052,23.5885,0.2065,0.199,293.5116
5,0.2384,0.6538,0.2384,0.164,0.9773,21.15,0.2406,0.2384,466.0224
6,0.2334,0.663,0.2334,0.1507,0.9687,21.1443,0.2571,0.2334,243.091
7,0.2951,0.7019,0.2951,0.2038,0.8984,18.679,0.3188,0.2951,47.8716
8,0.2999,0.7103,0.2999,0.2011,0.8797,18.6411,0.3503,0.2999,202.6311
9,0.3061,0.7307,0.3061,0.2141,0.8598,16.2555,0.3618,0.3061,204.1962
10,0.3264,0.7426,0.3264,0.2422,0.8471,16.2242,0.4033,0.3264,98.1794
11,0.3711,0.7546,0.3711,0.2769,0.8221,16.1534,0.4284,0.3711,154.0419
12,0.3735,0.7546,0.3735,0.2749,0.8167,16.1405,0.4301,0.3735,111.5069
13,0.3978,0.7853,0.3978,0.3124,0.7885,13.7225,0.4676,0.3978,80.3575
14,0.4178,0.8177,0.4178,0.3466,0.7666,11.318,0.5186,0.4178,142.4574
15,0.4163,0.817,0.4163,0.3463,0.7662,11.3194,0.5226,0.4163,152.8925
16,0.4375,0.8198,0.4375,0.3548,0.7507,11.2907,0.5312,0.4375,52.7424
17,0.4312,0.8208,0.4312,0.3521,0.7481,11.2849,0.5312,0.4312,52.5382
18,0.4245,0.8196,0.4245,0.3474,0.7527,11.2942,0.5284,0.4245,98.3612
19,0.4681,0.8235,0.4681,0.3867,0.7185,11.2282,0.5516,0.4681,46.2366
20,0.452,0.8263,0.452,0.3837,0.7257,11.2292,0.5579,0.452,70.224
21,0.462,0.8283,0.462,0.3805,0.7196,11.2123,0.5608,0.462,96.594
22,0.4692,0.83,0.4692,0.3878,0.7133,11.2016,0.5679,0.4692,62.4702
23,0.4728,0.8592,0.4728,0.3954,0.7003,8.8397,0.5971,0.4728,58.5894
