step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4644,0.916,0.4644,0.422,0.7527,2.0174,0.6565,0.4644,0.4357
1,0.5363,0.9391,0.5363,0.5052,0.7036,1.7875,0.7089,0.5363,2.3103
2,0.6134,0.9565,0.6134,0.5831,0.6786,1.6646,0.7653,0.6134,3.2534
3,0.6258,0.9593,0.6258,0.6157,0.6729,1.6451,0.7921,0.6258,4.0433
4,0.6996,0.9753,0.6996,0.6956,0.6478,1.5433,0.8446,0.6996,4.6995
5,0.7332,0.9787,0.7332,0.7293,0.6427,1.5303,0.8591,0.7332,5.4765
6,0.7416,0.9824,0.7416,0.7371,0.6269,1.4689,0.8695,0.7416,6.5979
7,0.792,0.985,0.792,0.7883,0.6064,1.4068,0.887,0.792,7.2887
8,0.792,0.9869,0.792,0.791,0.6094,1.4094,0.896,0.792,7.5484
9,0.7918,0.9866,0.7918,0.7934,0.6153,1.421,0.8938,0.7918,9.0487
10,0.7823,0.9882,0.7823,0.7794,0.6136,1.4165,0.9042,0.7823,9.6388
11,0.8131,0.9889,0.8131,0.8147,0.6082,1.3974,0.9084,0.8131,11.3095
12,0.8072,0.9871,0.8072,0.8064,0.6135,1.41,0.9001,0.8072,12.4171
13,0.8273,0.9898,0.8273,0.8283,0.5999,1.3753,0.9139,0.8273,13.5604
14,0.808,0.9887,0.808,0.8095,0.6025,1.3799,0.9068,0.808,14.8193
15,0.8305,0.9893,0.8305,0.833,0.5976,1.3637,0.9103,0.8305,16.44
16,0.8273,0.9895,0.8273,0.8297,0.5955,1.3576,0.912,0.8273,16.0976
17,0.8317,0.9906,0.8317,0.8345,0.5984,1.3612,0.9167,0.8317,20.0117
18,0.8066,0.9887,0.8066,0.8093,0.6026,1.3726,0.9041,0.8066,18.4658
19,0.8046,0.9885,0.8046,0.807,0.6062,1.3822,0.9048,0.8046,19.9482
20,0.8092,0.9898,0.8092,0.8128,0.6,1.3662,0.9115,0.8092,21.4017
21,0.8186,0.991,0.8186,0.8224,0.5974,1.3562,0.92,0.8186,20.3997
22,0.8254,0.9913,0.8254,0.8285,0.5951,1.3462,0.9211,0.8254,22.2241
23,0.8281,0.9914,0.8281,0.8307,0.5925,1.3419,0.9221,0.8281,23.9143
24,0.8315,0.9915,0.8315,0.8338,0.5909,1.3366,0.923,0.8315,23.2091
25,0.8295,0.9913,0.8295,0.8323,0.5898,1.3355,0.9209,0.8295,25.7854
26,0.8462,0.9919,0.8462,0.8504,0.5866,1.326,0.9257,0.8462,26.5258
27,0.8355,0.9917,0.8355,0.8388,0.5839,1.3202,0.9236,0.8355,26.6795
28,0.848,0.9919,0.848,0.8518,0.58,1.3098,0.9274,0.848,29.0656
29,0.8536,0.9918,0.8536,0.8579,0.5826,1.312,0.9264,0.8536,31.8485
30,0.8555,0.9922,0.8555,0.8608,0.5862,1.3181,0.9285,0.8555,29.7989
31,0.8557,0.9922,0.8557,0.86,0.5784,1.302,0.9284,0.8557,32.067
32,0.8471,0.9916,0.8471,0.852,0.587,1.319,0.9222,0.8471,35.0131
33,0.8448,0.9921,0.8448,0.8493,0.579,1.3022,0.9269,0.8448,34.0307
34,0.8516,0.9923,0.8516,0.8557,0.587,1.3187,0.9287,0.8516,34.099
35,0.8528,0.9922,0.8528,0.8573,0.5841,1.3104,0.9289,0.8528,36.5062
36,0.8565,0.9919,0.8565,0.8609,0.5874,1.3159,0.9257,0.8565,37.9605
37,0.8674,0.9928,0.8674,0.8709,0.5788,1.2972,0.9327,0.8674,39.2006
38,0.8515,0.9921,0.8515,0.8557,0.5893,1.3212,0.9266,0.8515,38.1873
39,0.8491,0.9922,0.8491,0.853,0.5848,1.3094,0.9267,0.8491,42.4151
40,0.8544,0.9925,0.8544,0.8583,0.583,1.3061,0.9302,0.8544,41.8198
41,0.8498,0.9923,0.8498,0.8535,0.5832,1.3053,0.9279,0.8498,44.912
