step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.6789,0.9371,0.6789,0.6378,0.7065,1.8783,0.7382,0.6789,16.8208
1,0.7432,0.9681,0.7432,0.7171,0.6275,1.5362,0.8259,0.7432,18.0528
2,0.8263,0.9797,0.8263,0.8227,0.5786,1.367,0.8768,0.8263,18.493
3,0.8527,0.9852,0.8527,0.8507,0.5469,1.2807,0.9042,0.8527,17.304
4,0.8721,0.9872,0.8721,0.8714,0.5202,1.2159,0.9125,0.8721,17.8171
5,0.8814,0.9892,0.8814,0.8799,0.496,1.1628,0.9239,0.8814,18.3801
6,0.8886,0.9911,0.8886,0.8879,0.4793,1.1216,0.9358,0.8886,15.1061
7,0.8935,0.9914,0.8935,0.8925,0.4669,1.0964,0.9381,0.8935,18.435
8,0.9064,0.9919,0.9064,0.9065,0.4537,1.0625,0.9414,0.9064,17.927
9,0.9103,0.9927,0.9103,0.9105,0.4401,1.036,0.946,0.9103,17.4705
10,0.9138,0.9936,0.9138,0.9145,0.43,1.007,0.9495,0.9138,17.1058
11,0.9185,0.9939,0.9185,0.9193,0.4246,0.994,0.9523,0.9185,17.1377
12,0.9215,0.9943,0.9215,0.9219,0.4163,0.9762,0.9547,0.9215,17.7902
13,0.9229,0.9945,0.9229,0.9234,0.4089,0.9613,0.9569,0.9229,17.925
14,0.9238,0.9948,0.9238,0.9246,0.4,0.943,0.9588,0.9238,17.8924
15,0.9283,0.995,0.9283,0.9287,0.3928,0.9268,0.9601,0.9283,11.7098
16,0.9294,0.9953,0.9294,0.9299,0.3879,0.9167,0.9619,0.9294,9.8795
17,0.9279,0.9953,0.9279,0.9285,0.3865,0.9135,0.9614,0.9279,10.1041
18,0.9295,0.9956,0.9295,0.9301,0.3817,0.902,0.9631,0.9295,10.5154
19,0.9321,0.9958,0.9321,0.9325,0.3747,0.8882,0.965,0.9321,10.8214
20,0.9328,0.9958,0.9328,0.9332,0.3739,0.8866,0.9651,0.9328,10.4655
21,0.9356,0.9959,0.9356,0.9358,0.3673,0.8733,0.9661,0.9356,10.6638
22,0.9332,0.9959,0.9332,0.9336,0.3645,0.8669,0.9659,0.9332,10.7976
23,0.9353,0.9961,0.9353,0.9354,0.3592,0.8555,0.9669,0.9353,11.4902
24,0.9365,0.9962,0.9365,0.9366,0.3547,0.8483,0.9679,0.9365,11.2381
25,0.9351,0.9961,0.9351,0.9353,0.3537,0.8447,0.9672,0.9351,11.0815
26,0.9373,0.9963,0.9373,0.9375,0.35,0.8362,0.9684,0.9373,11.2298
27,0.9402,0.9966,0.9402,0.9401,0.3449,0.8256,0.9699,0.9402,12.0835
28,0.94,0.9966,0.94,0.9401,0.3424,0.8199,0.9699,0.94,11.9425
29,0.9407,0.9966,0.9407,0.9407,0.3389,0.8128,0.9704,0.9407,11.3018
30,0.9406,0.9967,0.9406,0.9407,0.3342,0.8023,0.9711,0.9406,11.9533
31,0.9422,0.9967,0.9422,0.9423,0.3343,0.8037,0.9713,0.9422,12.3949
32,0.9422,0.9968,0.9422,0.9422,0.3303,0.7941,0.9717,0.9422,12.2718
33,0.942,0.9966,0.942,0.9421,0.3306,0.7942,0.9713,0.942,12.0769
34,0.942,0.9967,0.942,0.9421,0.3274,0.7882,0.9713,0.942,12.4997
35,0.9437,0.9969,0.9437,0.9439,0.3229,0.7798,0.9727,0.9437,12.9846
36,0.9436,0.9968,0.9436,0.9437,0.3238,0.7812,0.9719,0.9436,12.7051
37,0.9444,0.997,0.9444,0.9444,0.3219,0.7771,0.9732,0.9444,12.5421
38,0.9446,0.997,0.9446,0.9447,0.317,0.7675,0.9734,0.9446,13.5224
39,0.945,0.997,0.945,0.9451,0.3159,0.7635,0.9735,0.945,12.9982
40,0.9449,0.9969,0.9449,0.9449,0.3146,0.7618,0.9728,0.9449,13.2
41,0.946,0.997,0.946,0.9461,0.3112,0.7553,0.974,0.946,14.0436
42,0.9466,0.9971,0.9466,0.9467,0.3114,0.7555,0.9744,0.9466,13.8437
43,0.9474,0.9972,0.9474,0.9475,0.3095,0.7501,0.9752,0.9474,13.1991
44,0.9466,0.9972,0.9466,0.9466,0.3074,0.7472,0.975,0.9466,13.2523
45,0.9489,0.9973,0.9489,0.949,0.308,0.7475,0.976,0.9489,13.9113
46,0.9487,0.9974,0.9487,0.9489,0.3056,0.7424,0.9764,0.9487,13.8003
47,0.9484,0.9973,0.9484,0.9484,0.3019,0.7348,0.9756,0.9484,14.817
48,0.9491,0.9974,0.9491,0.9493,0.3021,0.7352,0.9767,0.9491,21.6771
49,0.9496,0.9974,0.9496,0.9497,0.3025,0.7356,0.9765,0.9496,18.1329
50,0.9501,0.9974,0.9501,0.9502,0.2974,0.7253,0.9765,0.9501,17.2103
51,0.9487,0.9973,0.9487,0.9489,0.2983,0.7267,0.9762,0.9487,15.0081
52,0.9521,0.9975,0.9521,0.9522,0.2958,0.7221,0.978,0.9521,14.7845
53,0.9516,0.9976,0.9516,0.9517,0.296,0.722,0.9779,0.9516,15.5418
54,0.9515,0.9975,0.9515,0.9516,0.2945,0.7188,0.9775,0.9515,17.1137
55,0.951,0.9976,0.951,0.9511,0.2925,0.7142,0.9777,0.951,16.2682
56,0.9505,0.9976,0.9505,0.9506,0.2879,0.7046,0.9778,0.9505,16.5991
57,0.9519,0.9976,0.9519,0.952,0.2894,0.707,0.978,0.9519,17.8379
58,0.9511,0.9976,0.9511,0.9512,0.2863,0.7012,0.9779,0.9511,17.4711
59,0.9533,0.9976,0.9533,0.9534,0.2845,0.6993,0.9787,0.9533,16.6882
