step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3615,0.8288,0.3615,0.2977,0.8064,4.7044,0.4947,0.3615,22.2757
1,0.5291,0.9232,0.5291,0.4913,0.7181,1.9201,0.6901,0.5291,22.6109
2,0.6389,0.9388,0.6389,0.603,0.682,1.8808,0.7462,0.6389,22.5517
3,0.6787,0.9596,0.6787,0.6467,0.6448,1.6166,0.8056,0.6787,23.2026
4,0.7307,0.9683,0.7307,0.7069,0.6253,1.5256,0.837,0.7307,23.9195
5,0.7327,0.9694,0.7327,0.7112,0.6176,1.505,0.8374,0.7327,23.7769
6,0.7855,0.9763,0.7855,0.7647,0.5944,1.4265,0.8626,0.7855,23.9768
7,0.7721,0.9795,0.7721,0.7537,0.5861,1.4046,0.8744,0.7721,24.0792
8,0.7896,0.9817,0.7896,0.7705,0.5714,1.3594,0.8853,0.7896,24.4791
9,0.7877,0.9813,0.7877,0.7658,0.5668,1.3529,0.8848,0.7877,24.8573
10,0.8242,0.9852,0.8242,0.8106,0.5489,1.2955,0.9055,0.8242,24.8352
11,0.8249,0.9875,0.8249,0.8117,0.54,1.2702,0.9162,0.8249,26.3355
12,0.8467,0.9883,0.8467,0.8372,0.5232,1.2291,0.9214,0.8467,26.0374
13,0.8555,0.9886,0.8555,0.8496,0.5201,1.2187,0.9223,0.8555,27.0854
14,0.8432,0.9898,0.8432,0.8363,0.5184,1.2136,0.9253,0.8432,28.4999
15,0.8521,0.9894,0.8521,0.8476,0.5153,1.2038,0.9254,0.8521,28.7915
16,0.8524,0.9901,0.8524,0.848,0.5109,1.193,0.9287,0.8524,29.2955
17,0.8519,0.9908,0.8519,0.8477,0.5032,1.1761,0.9325,0.8519,29.8073
18,0.8619,0.9906,0.8619,0.8565,0.4973,1.1626,0.9329,0.8619,30.0005
19,0.8636,0.991,0.8636,0.86,0.4943,1.1503,0.9343,0.8636,30.5876
20,0.8693,0.9917,0.8693,0.8678,0.4932,1.1481,0.9361,0.8693,31.2223
21,0.8707,0.9925,0.8707,0.8712,0.4848,1.1279,0.942,0.8707,31.8559
22,0.8788,0.9922,0.8788,0.8795,0.4764,1.1098,0.9408,0.8788,32.1127
23,0.8771,0.9927,0.8771,0.8778,0.4697,1.0955,0.9428,0.8771,32.5458
24,0.882,0.993,0.882,0.8834,0.469,1.0925,0.9443,0.882,33.2153
25,0.8831,0.993,0.8831,0.8834,0.4678,1.0901,0.9455,0.8831,34.3417
26,0.8872,0.993,0.8872,0.8865,0.4638,1.0803,0.9448,0.8872,34.3232
27,0.8854,0.9933,0.8854,0.8865,0.4597,1.0695,0.947,0.8854,35.5362
28,0.889,0.9933,0.889,0.8884,0.4506,1.0519,0.9468,0.889,35.229
29,0.8919,0.9936,0.8919,0.8924,0.4517,1.052,0.9493,0.8919,37.0943
30,0.8913,0.9937,0.8913,0.8905,0.4453,1.0386,0.9492,0.8913,36.8513
31,0.8984,0.994,0.8984,0.8979,0.4466,1.0397,0.9508,0.8984,37.0329
32,0.8934,0.9938,0.8934,0.8932,0.4502,1.0477,0.9499,0.8934,38.0314
33,0.8978,0.994,0.8978,0.8987,0.4471,1.0379,0.9509,0.8978,37.4363
34,0.9014,0.9943,0.9014,0.9025,0.4427,1.0311,0.9536,0.9014,38.3314
35,0.9104,0.9948,0.9104,0.9108,0.4346,1.0108,0.957,0.9104,39.6265
36,0.9073,0.9943,0.9073,0.9077,0.436,1.0142,0.9534,0.9073,39.3385
37,0.912,0.9946,0.912,0.9124,0.4255,0.9942,0.9558,0.912,41.266
38,0.9142,0.9947,0.9142,0.9143,0.4287,0.9998,0.9553,0.9142,45.0426
