step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1463,0.6267,0.1463,0.0611,1.0422,23.6587,0.2058,0.1463,838.281
1,0.2952,0.731,0.2952,0.2032,0.8922,14.0326,0.3517,0.2952,281.8925
2,0.3835,0.8048,0.3835,0.3174,0.8212,9.1671,0.4753,0.3835,153.0797
3,0.5,0.8726,0.5,0.4417,0.7763,4.3829,0.5881,0.5,172.9696
4,0.5523,0.9235,0.5523,0.5231,0.7425,1.9355,0.6775,0.5523,182.384
5,0.5956,0.9283,0.5956,0.5596,0.7179,1.9807,0.7172,0.5956,178.6048
6,0.6146,0.9483,0.6146,0.5786,0.6913,1.8359,0.7574,0.6146,266.6201
7,0.6636,0.9512,0.6636,0.6244,0.6689,1.7518,0.7765,0.6636,235.1412
8,0.6911,0.9539,0.6911,0.649,0.655,1.6651,0.7834,0.6911,321.8368
9,0.7571,0.9686,0.7571,0.7419,0.6358,1.5298,0.829,0.7571,355.0433
10,0.7583,0.9698,0.7583,0.75,0.6259,1.5042,0.8379,0.7583,269.0988
11,0.7941,0.9761,0.7941,0.7933,0.6131,1.4497,0.8583,0.7941,347.8161
12,0.8034,0.9768,0.8034,0.7958,0.5936,1.4087,0.867,0.8034,342.357
13,0.8185,0.9786,0.8185,0.8104,0.5869,1.3876,0.8742,0.8185,372.5921
14,0.8331,0.9817,0.8331,0.8306,0.5705,1.3446,0.8885,0.8331,400.9304
15,0.8474,0.9836,0.8474,0.8478,0.5634,1.3219,0.8964,0.8474,426.3777
16,0.8467,0.9825,0.8467,0.8451,0.5593,1.3157,0.8955,0.8467,426.2365
17,0.855,0.9829,0.855,0.8528,0.5501,1.295,0.8943,0.855,501.3607
18,0.8604,0.9848,0.8604,0.8602,0.5382,1.2631,0.9034,0.8604,576.0769
19,0.8594,0.9843,0.8594,0.8611,0.5419,1.2673,0.903,0.8594,473.5062
20,0.8621,0.985,0.8621,0.8643,0.5366,1.2517,0.9059,0.8621,476.296
21,0.8682,0.9858,0.8682,0.8692,0.5241,1.2255,0.9116,0.8682,607.0372
22,0.8721,0.9871,0.8721,0.874,0.5216,1.2176,0.918,0.8721,501.7263
23,0.8765,0.9874,0.8765,0.8772,0.5082,1.1894,0.9183,0.8765,563.3359
24,0.8822,0.9891,0.8822,0.8831,0.5074,1.1829,0.9237,0.8822,739.6228
25,0.8816,0.9888,0.8816,0.8816,0.5011,1.176,0.9253,0.8816,749.8641
26,0.8867,0.9898,0.8867,0.8872,0.4973,1.1655,0.93,0.8867,676.8009
27,0.8867,0.99,0.8867,0.887,0.488,1.1438,0.9327,0.8867,554.4564
28,0.8935,0.9896,0.8935,0.8943,0.4861,1.1385,0.9323,0.8935,787.1989
29,0.8883,0.9903,0.8883,0.8887,0.4794,1.1235,0.9339,0.8883,764.6328
30,0.8978,0.991,0.8978,0.898,0.4739,1.1088,0.9365,0.8978,720.4782
31,0.8971,0.9908,0.8971,0.8974,0.4746,1.1111,0.9364,0.8971,763.7991
32,0.9003,0.991,0.9003,0.9003,0.4711,1.1059,0.9366,0.9003,849.3116
33,0.8967,0.9909,0.8967,0.8967,0.4632,1.0893,0.9372,0.8967,714.1114
34,0.8991,0.9912,0.8991,0.8993,0.4619,1.0861,0.9394,0.8991,733.935
35,0.8929,0.9912,0.8929,0.8928,0.4576,1.0797,0.9371,0.8929,856.6124
36,0.8924,0.9912,0.8924,0.892,0.456,1.0751,0.9379,0.8924,721.4273
37,0.8958,0.991,0.8958,0.8955,0.4488,1.0606,0.9385,0.8958,706.6511
38,0.8986,0.9917,0.8986,0.8986,0.4489,1.0577,0.9412,0.8986,784.4556
39,0.8991,0.9917,0.8991,0.899,0.4446,1.0486,0.9414,0.8991,1010.3037
40,0.8974,0.9919,0.8974,0.8974,0.4429,1.0466,0.9422,0.8974,799.5796
41,0.9029,0.9923,0.9029,0.9033,0.4444,1.0467,0.9442,0.9029,1089.1008
42,0.8974,0.9917,0.8974,0.8976,0.4438,1.0457,0.941,0.8974,814.2817
43,0.9021,0.9925,0.9021,0.9024,0.436,1.0283,0.9451,0.9021,975.3571
44,0.9033,0.9919,0.9033,0.9034,0.436,1.0278,0.9435,0.9033,845.585
45,0.8991,0.9923,0.8991,0.8992,0.4374,1.0313,0.9444,0.8991,818.3483
46,0.9007,0.9921,0.9007,0.9003,0.429,1.0159,0.9445,0.9007,922.6858
47,0.9035,0.9928,0.9035,0.9036,0.4311,1.018,0.9473,0.9035,795.601
48,0.901,0.9923,0.901,0.9008,0.4278,1.0127,0.9453,0.901,957.2979
49,0.9043,0.9925,0.9043,0.9043,0.4246,1.0054,0.9464,0.9043,812.724
50,0.902,0.9925,0.902,0.9021,0.4288,1.016,0.946,0.902,787.8539
51,0.9022,0.9923,0.9022,0.902,0.4247,1.007,0.9458,0.9022,803.5987
52,0.902,0.9926,0.902,0.902,0.4223,0.9993,0.9452,0.902,698.665
53,0.9052,0.9927,0.9052,0.9049,0.4194,0.9932,0.9479,0.9052,750.1349
54,0.9053,0.9928,0.9053,0.9052,0.4173,0.9868,0.9477,0.9053,729.9822
55,0.9123,0.9931,0.9123,0.9122,0.4143,0.9808,0.9502,0.9123,895.2568
56,0.91,0.993,0.91,0.9097,0.4115,0.976,0.9499,0.91,825.6683
57,0.9119,0.9933,0.9119,0.9119,0.4103,0.9701,0.9521,0.9119,889.1307
58,0.9115,0.9934,0.9115,0.9117,0.411,0.9725,0.9518,0.9115,809.7954
59,0.9131,0.9935,0.9131,0.9134,0.4094,0.9707,0.9529,0.9131,896.9029
