step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0714,0.5,0.0714,0.0095,1.8571,33.4691,0.0714,0.0714,0.3816
1,0.1034,0.5313,0.1034,0.027,1.3523,30.9862,0.0913,0.1034,0.4948
2,0.1429,0.5549,0.1429,0.0501,1.1788,28.5328,0.1135,0.1429,0.4969
3,0.1242,0.5728,0.1242,0.0542,1.0974,26.1061,0.1314,0.1242,0.5028
4,0.1784,0.5841,0.1784,0.1195,1.0342,23.6759,0.1721,0.1784,0.5363
5,0.2159,0.6433,0.2159,0.1572,0.9889,21.2494,0.2178,0.2159,0.5146
6,0.1751,0.6234,0.1751,0.1075,0.9934,21.2656,0.2314,0.1751,0.5485
7,0.2121,0.6575,0.2121,0.1296,0.9616,18.8621,0.2393,0.2121,0.5179
8,0.1817,0.6592,0.1817,0.1162,0.9706,18.867,0.2328,0.1817,0.5471
9,0.2076,0.6765,0.2076,0.1525,0.9622,18.8289,0.2704,0.2076,0.5232
10,0.2215,0.6896,0.2215,0.1516,0.938,16.4611,0.256,0.2215,0.5437
11,0.2391,0.6992,0.2391,0.1734,0.9271,16.4329,0.3035,0.2391,0.5519
12,0.2772,0.7213,0.2772,0.2379,0.9045,14.0449,0.3242,0.2772,0.5655
13,0.3379,0.7696,0.3379,0.2861,0.8737,11.6112,0.4096,0.3379,0.5569
14,0.3147,0.7716,0.3147,0.2681,0.8717,9.2826,0.3774,0.3147,0.5855
15,0.3382,0.7765,0.3382,0.2871,0.8663,9.267,0.3891,0.3382,0.5967
16,0.3061,0.7773,0.3061,0.2376,0.8741,9.311,0.3975,0.3061,0.5406
17,0.2867,0.7816,0.2867,0.225,0.8752,9.2921,0.4095,0.2867,0.5994
18,0.2956,0.7725,0.2956,0.2061,0.8755,9.3199,0.4037,0.2956,0.577
19,0.2921,0.7896,0.2921,0.2322,0.8652,6.9659,0.4133,0.2921,0.5921
20,0.3136,0.8099,0.3136,0.2138,0.8506,6.9198,0.4397,0.3136,0.5836
21,0.3357,0.8357,0.3357,0.2613,0.8318,4.5352,0.4666,0.3357,0.5934
22,0.3773,0.8364,0.3773,0.2923,0.8283,4.5272,0.4675,0.3773,0.6024
23,0.3568,0.8364,0.3568,0.2864,0.8321,4.5259,0.4722,0.3568,0.5876
24,0.3773,0.8327,0.3773,0.3108,0.8282,4.5557,0.4707,0.3773,0.6029
25,0.4306,0.8557,0.4306,0.383,0.8118,4.4792,0.5257,0.4306,0.5981
26,0.4787,0.8644,0.4787,0.4352,0.8029,4.413,0.5481,0.4787,0.6146
27,0.456,0.862,0.456,0.4212,0.8018,4.3953,0.5404,0.456,0.6119
28,0.4952,0.8703,0.4952,0.4571,0.7984,4.3693,0.5565,0.4952,0.5955
29,0.5229,0.8832,0.5229,0.4919,0.7912,4.3403,0.5947,0.5229,0.6454
30,0.516,0.8812,0.516,0.4775,0.7914,4.3303,0.5745,0.516,0.6244
31,0.514,0.8928,0.514,0.4842,0.7828,2.0559,0.5976,0.514,0.6422
32,0.5349,0.9003,0.5349,0.5094,0.7778,2.0172,0.61,0.5349,0.613
33,0.5408,0.9052,0.5408,0.52,0.7709,1.9495,0.6259,0.5408,0.6285
34,0.5605,0.9055,0.5605,0.5524,0.774,1.9423,0.6237,0.5605,0.6361
35,0.5698,0.9134,0.5698,0.5581,0.7659,1.9124,0.6293,0.5698,0.6306
36,0.5514,0.9095,0.5514,0.5367,0.7746,1.9479,0.6244,0.5514,0.6512
37,0.5193,0.9087,0.5193,0.4946,0.7687,1.9431,0.6264,0.5193,0.6259
38,0.5577,0.9106,0.5577,0.5242,0.77,1.9543,0.646,0.5577,0.6493
39,0.5652,0.9218,0.5652,0.5574,0.7638,1.8914,0.6522,0.5652,0.6641
40,0.5864,0.9163,0.5864,0.5752,0.7697,1.9099,0.6535,0.5864,0.638
41,0.5926,0.9217,0.5926,0.5823,0.7603,1.8848,0.6706,0.5926,0.6542
42,0.6131,0.9313,0.6131,0.609,0.7516,1.8479,0.686,0.6131,0.6578
43,0.5728,0.9203,0.5728,0.5665,0.7663,1.8979,0.6643,0.5728,0.6651
44,0.5973,0.933,0.5973,0.5997,0.754,1.8484,0.6885,0.5973,0.6393
45,0.6039,0.933,0.6039,0.5935,0.7506,1.8431,0.6854,0.6039,0.6442
46,0.6118,0.9324,0.6118,0.6118,0.7497,1.8436,0.6956,0.6118,0.6557
47,0.6288,0.9392,0.6288,0.619,0.744,1.8184,0.7009,0.6288,0.6456
48,0.576,0.9289,0.576,0.5612,0.7513,1.8527,0.6698,0.576,0.6495
49,0.6012,0.9354,0.6012,0.5815,0.7447,1.8399,0.6911,0.6012,0.6765
50,0.6158,0.9373,0.6158,0.6017,0.7393,1.8116,0.7044,0.6158,0.6223
51,0.5904,0.9409,0.5904,0.5805,0.7441,1.8234,0.7154,0.5904,0.6867
52,0.5964,0.9406,0.5964,0.5899,0.7451,1.8187,0.6997,0.5964,0.6529
53,0.5925,0.9439,0.5925,0.5783,0.7467,1.8194,0.7128,0.5925,0.6706
54,0.5912,0.947,0.5912,0.582,0.7316,1.7811,0.7373,0.5912,0.6691
55,0.594,0.9492,0.594,0.5785,0.7368,1.7946,0.7365,0.594,0.685
56,0.5988,0.9462,0.5988,0.5817,0.734,1.7885,0.7298,0.5988,0.6953
57,0.6121,0.9451,0.6121,0.5901,0.7297,1.7828,0.7301,0.6121,0.6957
58,0.645,0.9516,0.645,0.6401,0.72,1.7412,0.7435,0.645,0.6881
59,0.6526,0.9492,0.6526,0.6456,0.7188,1.7348,0.7409,0.6526,0.7335
