step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1232,0.5764,0.1232,0.0494,1.1247,29.3297,0.0993,0.1232,0.9124
1,0.1888,0.6379,0.1888,0.1184,1.0523,24.2851,0.1534,0.1888,0.8716
2,0.266,0.6954,0.266,0.1924,0.9396,19.8998,0.2458,0.266,0.9179
3,0.3537,0.7674,0.3537,0.2894,0.8316,14.7758,0.3437,0.3537,0.947
4,0.3794,0.8234,0.3794,0.3295,0.7904,10.538,0.39,0.3794,2.2573
5,0.391,0.8366,0.391,0.3458,0.7822,9.1609,0.4063,0.391,5.1919
6,0.4193,0.8628,0.4193,0.3696,0.7561,7.0245,0.4323,0.4193,6.3179
7,0.4441,0.8833,0.4441,0.4041,0.7385,4.9601,0.4588,0.4441,3.378
8,0.4645,0.8918,0.4645,0.4226,0.7136,4.8627,0.4832,0.4645,1.3197
9,0.4716,0.8951,0.4716,0.4342,0.6949,4.7929,0.5035,0.4716,3.8281
10,0.4823,0.8979,0.4823,0.4466,0.6873,4.7575,0.5112,0.4823,3.5683
11,0.5106,0.9094,0.5106,0.4806,0.663,4.0021,0.5458,0.5106,3.3422
12,0.5275,0.9222,0.5275,0.5027,0.6322,3.8456,0.5738,0.5275,3.8059
13,0.5408,0.9341,0.5408,0.5164,0.6183,3.117,0.5923,0.5408,5.1742
14,0.5514,0.9356,0.5514,0.5305,0.61,3.0837,0.6026,0.5514,4.3332
15,0.555,0.9379,0.555,0.5343,0.6084,3.0574,0.6084,0.555,3.4805
16,0.5647,0.9412,0.5647,0.5429,0.59,2.993,0.6172,0.5647,3.4696
17,0.586,0.941,0.586,0.5653,0.5789,2.9716,0.6261,0.586,4.8036
18,0.5887,0.942,0.5887,0.5691,0.5761,2.9441,0.6307,0.5887,2.3712
19,0.6073,0.9544,0.6073,0.5934,0.5532,2.1805,0.6563,0.6073,5.1796
20,0.6259,0.9631,0.6259,0.6157,0.532,1.4823,0.6771,0.6259,6.1586
21,0.633,0.9643,0.633,0.6236,0.5227,1.4529,0.6889,0.633,3.8726
22,0.6392,0.9643,0.6392,0.6291,0.5134,1.438,0.6953,0.6392,5.0987
23,0.6516,0.9663,0.6516,0.6436,0.5005,1.3923,0.7056,0.6516,5.5742
24,0.6516,0.9662,0.6516,0.6395,0.5025,1.3969,0.7051,0.6516,4.0965
25,0.6507,0.9672,0.6507,0.6387,0.5033,1.3931,0.7106,0.6507,4.0865
26,0.656,0.9671,0.656,0.6441,0.4957,1.3919,0.7134,0.656,5.904
27,0.6543,0.9679,0.6543,0.6412,0.4948,1.3815,0.7154,0.6543,4.031
28,0.6622,0.9679,0.6622,0.65,0.4931,1.3829,0.7192,0.6622,5.0563
29,0.6729,0.9691,0.6729,0.6661,0.4819,1.3382,0.7278,0.6729,4.4742
30,0.672,0.9686,0.672,0.6655,0.4779,1.3416,0.7322,0.672,3.41
31,0.6809,0.9698,0.6809,0.6727,0.4691,1.3156,0.7326,0.6809,6.6233
32,0.6853,0.9706,0.6853,0.6779,0.4595,1.2956,0.7344,0.6853,4.769
33,0.6862,0.9714,0.6862,0.678,0.4548,1.281,0.7368,0.6862,4.8305
34,0.695,0.972,0.695,0.6884,0.4522,1.2696,0.7449,0.695,4.8624
35,0.703,0.9726,0.703,0.6977,0.4432,1.2528,0.7521,0.703,2.255
36,0.7074,0.9719,0.7074,0.7018,0.4451,1.2667,0.752,0.7074,6.0318
37,0.7066,0.9724,0.7066,0.703,0.4441,1.2632,0.7551,0.7066,6.5847
38,0.7119,0.973,0.7119,0.7076,0.439,1.2534,0.759,0.7119,3.148
39,0.7137,0.973,0.7137,0.7077,0.4336,1.2501,0.7618,0.7137,6.0984
40,0.7137,0.9732,0.7137,0.7082,0.432,1.2527,0.764,0.7137,4.9452
41,0.719,0.9732,0.719,0.714,0.4265,1.2507,0.7671,0.719,5.0816
42,0.7287,0.9748,0.7287,0.7241,0.4121,1.1969,0.7753,0.7287,4.8205
43,0.7314,0.975,0.7314,0.727,0.412,1.1989,0.776,0.7314,4.6486
44,0.7314,0.9755,0.7314,0.7261,0.4095,1.1928,0.7759,0.7314,6.6267
45,0.7296,0.9767,0.7296,0.7247,0.4101,1.1796,0.7772,0.7296,5.7205
46,0.7305,0.9773,0.7305,0.725,0.4082,1.1681,0.776,0.7305,5.5079
47,0.7278,0.9777,0.7278,0.7222,0.4064,1.1626,0.7783,0.7278,5.7772
48,0.734,0.9783,0.734,0.7293,0.398,1.1428,0.7824,0.734,6.8319
49,0.7385,0.9788,0.7385,0.7329,0.392,1.1248,0.7856,0.7385,7.5197
50,0.7447,0.9798,0.7447,0.7395,0.3886,1.1079,0.7891,0.7447,5.4905
51,0.7394,0.9802,0.7394,0.7339,0.3885,1.0983,0.7887,0.7394,6.6668
52,0.7509,0.9808,0.7509,0.7457,0.3835,1.0765,0.7938,0.7509,5.1114
53,0.7527,0.9812,0.7527,0.7478,0.3804,1.0703,0.794,0.7527,7.3029
54,0.7482,0.9812,0.7482,0.7433,0.3823,1.0752,0.7943,0.7482,8.1307
55,0.7553,0.9812,0.7553,0.7512,0.3754,1.0673,0.7979,0.7553,8.5641
56,0.7491,0.9816,0.7491,0.7469,0.3785,1.0677,0.7992,0.7491,6.0281
57,0.7535,0.9817,0.7535,0.7504,0.3791,1.0692,0.7971,0.7535,6.3735
58,0.7429,0.9815,0.7429,0.7395,0.378,1.0749,0.7977,0.7429,4.881
59,0.7456,0.9812,0.7456,0.7428,0.379,1.0821,0.7971,0.7456,6.8057
