step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0984,0.5593,0.0984,0.0507,1.0984,29.4217,0.1058,0.0984,0.1583
1,0.1817,0.6162,0.1817,0.1098,1.0191,25.7314,0.1616,0.1817,0.0929
2,0.211,0.6539,0.211,0.1373,0.9666,22.8328,0.1867,0.211,0.0936
3,0.2518,0.677,0.2518,0.179,0.9369,20.6596,0.2233,0.2518,0.0556
4,0.2819,0.7359,0.2819,0.2276,0.9055,15.7483,0.2849,0.2819,0.0971
5,0.2996,0.7583,0.2996,0.2399,0.8791,14.3238,0.2979,0.2996,0.0653
6,0.3121,0.7842,0.3121,0.2583,0.8607,10.9181,0.3237,0.3121,0.0813
7,0.3431,0.8127,0.3431,0.2925,0.8305,9.4275,0.3615,0.3431,0.0807
8,0.3661,0.8338,0.3661,0.3123,0.8112,8.6353,0.3746,0.3661,0.0576
9,0.3901,0.8459,0.3901,0.3349,0.7901,7.8698,0.4197,0.3901,0.1142
10,0.3972,0.8531,0.3972,0.3453,0.7862,7.8292,0.4348,0.3972,0.0645
11,0.4273,0.8939,0.4273,0.3844,0.7425,4.9868,0.489,0.4273,0.0738
12,0.4468,0.9077,0.4468,0.4036,0.7191,4.1889,0.5098,0.4468,0.0637
13,0.4637,0.9131,0.4637,0.4293,0.7071,4.1349,0.5289,0.4637,0.0689
14,0.4991,0.9174,0.4991,0.4665,0.6747,3.9953,0.5493,0.4991,0.0904
15,0.5098,0.9228,0.5098,0.4828,0.6525,3.895,0.5631,0.5098,0.0691
16,0.516,0.9273,0.516,0.494,0.6398,3.8372,0.585,0.516,0.093
17,0.5381,0.93,0.5381,0.5162,0.6151,3.7571,0.602,0.5381,0.0881
18,0.5514,0.9324,0.5514,0.5255,0.5985,3.7225,0.6095,0.5514,0.0931
19,0.5585,0.9316,0.5585,0.5326,0.5974,3.7265,0.6145,0.5585,0.1163
20,0.5603,0.9321,0.5603,0.5363,0.591,3.7063,0.6192,0.5603,0.0715
21,0.5683,0.9414,0.5683,0.5462,0.5803,3.0089,0.6343,0.5683,0.0566
22,0.578,0.944,0.578,0.5567,0.5721,2.9769,0.6394,0.578,0.1185
23,0.5754,0.9437,0.5754,0.5576,0.5734,2.9741,0.6458,0.5754,0.064
24,0.5745,0.9403,0.5745,0.5533,0.5818,3.0121,0.646,0.5745,0.0798
25,0.5966,0.9508,0.5966,0.5793,0.558,2.2644,0.6618,0.5966,0.0599
26,0.5913,0.9518,0.5913,0.5732,0.5642,2.272,0.6616,0.5913,0.0895
27,0.6108,0.9633,0.6108,0.5977,0.5444,1.5284,0.6842,0.6108,0.065
28,0.6108,0.9647,0.6108,0.596,0.5396,1.5041,0.6878,0.6108,0.0632
29,0.6321,0.9675,0.6321,0.6245,0.5153,1.4245,0.7048,0.6321,0.0679
30,0.641,0.9688,0.641,0.6348,0.5098,1.4033,0.7113,0.641,0.0879
31,0.633,0.9678,0.633,0.6274,0.5145,1.4144,0.7092,0.633,0.1073
32,0.6312,0.9677,0.6312,0.6245,0.521,1.4351,0.7071,0.6312,0.0699
33,0.6383,0.9688,0.6383,0.6303,0.5157,1.4254,0.7115,0.6383,0.064
34,0.6463,0.9695,0.6463,0.6398,0.5063,1.3997,0.7155,0.6463,0.094
35,0.6498,0.9708,0.6498,0.6441,0.5019,1.3879,0.7218,0.6498,0.0872
36,0.6516,0.9714,0.6516,0.6443,0.5065,1.3965,0.7186,0.6516,0.0853
37,0.6454,0.9719,0.6454,0.6384,0.5011,1.378,0.7223,0.6454,0.0972
38,0.6534,0.9728,0.6534,0.6464,0.493,1.3553,0.7313,0.6534,0.058
39,0.664,0.973,0.664,0.6563,0.4878,1.3413,0.7324,0.664,0.0662
40,0.672,0.9764,0.672,0.6634,0.4802,1.2755,0.7366,0.672,0.0695
41,0.6738,0.9767,0.6738,0.6638,0.4772,1.2694,0.7386,0.6738,0.0672
42,0.6879,0.9783,0.6879,0.6801,0.4625,1.2313,0.7493,0.6879,0.0768
43,0.6941,0.9783,0.6941,0.6867,0.4579,1.2273,0.7533,0.6941,0.0748
44,0.6879,0.9783,0.6879,0.6815,0.4525,1.2212,0.7538,0.6879,0.0761
45,0.6897,0.9781,0.6897,0.6833,0.4527,1.2237,0.755,0.6897,0.0758
46,0.6924,0.9783,0.6924,0.6847,0.446,1.2184,0.7572,0.6924,0.0737
47,0.695,0.9781,0.695,0.6884,0.4442,1.2218,0.7558,0.695,0.1087
48,0.695,0.9785,0.695,0.6886,0.4468,1.2268,0.758,0.695,0.1188
49,0.6915,0.9784,0.6915,0.6846,0.4474,1.2172,0.7589,0.6915,0.0793
