step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0975,0.5765,0.0975,0.0524,1.151,28.7146,0.1003,0.0975,0.4415
1,0.1489,0.626,0.1489,0.096,1.0379,25.0992,0.1532,0.1489,0.1903
2,0.2199,0.677,0.2199,0.1648,0.9544,20.1023,0.2191,0.2199,0.2149
3,0.2491,0.7131,0.2491,0.1955,0.9063,17.8982,0.2655,0.2491,0.2085
4,0.305,0.7533,0.305,0.2426,0.8517,15.6425,0.3178,0.305,0.2153
5,0.3378,0.7709,0.3378,0.2758,0.8241,14.8231,0.3516,0.3378,0.1953
6,0.3644,0.8086,0.3644,0.3067,0.7927,11.9784,0.3873,0.3644,0.2041
7,0.3785,0.8244,0.3785,0.3183,0.7831,10.5774,0.4045,0.3785,0.1914
8,0.3901,0.8269,0.3901,0.3304,0.7768,10.5267,0.4124,0.3901,0.2008
9,0.4326,0.8445,0.4326,0.3754,0.7234,9.6706,0.4676,0.4326,0.2024
10,0.4681,0.8568,0.4681,0.4142,0.7027,8.8792,0.4933,0.4681,0.2218
11,0.5115,0.8686,0.5115,0.4626,0.6738,8.0875,0.5225,0.5115,0.2348
12,0.5089,0.8708,0.5089,0.4593,0.6726,8.0658,0.5236,0.5089,0.2123
13,0.5168,0.8828,0.5168,0.4702,0.6624,7.3381,0.5422,0.5168,0.2078
14,0.5301,0.8829,0.5301,0.4849,0.6572,7.3086,0.5531,0.5301,0.2225
15,0.5177,0.904,0.5177,0.4711,0.6587,5.3061,0.5614,0.5177,0.2312
16,0.5284,0.9069,0.5284,0.4812,0.6507,5.2816,0.5705,0.5284,0.2219
17,0.5319,0.9075,0.5319,0.4848,0.6432,5.2593,0.5697,0.5319,0.2301
18,0.5337,0.91,0.5337,0.4903,0.6373,5.214,0.5777,0.5337,0.2313
19,0.5319,0.9199,0.5319,0.4991,0.6259,4.4853,0.5929,0.5319,0.2357
20,0.5496,0.9254,0.5496,0.5239,0.6088,4.3785,0.6112,0.5496,0.2489
21,0.5434,0.9249,0.5434,0.5178,0.6247,4.4144,0.6093,0.5434,0.2318
22,0.5479,0.9362,0.5479,0.5257,0.6179,3.7037,0.6216,0.5479,0.2174
23,0.5576,0.9371,0.5576,0.5373,0.6083,3.6726,0.6302,0.5576,0.2274
24,0.5603,0.9365,0.5603,0.5369,0.6143,3.686,0.6291,0.5603,0.2153
25,0.5656,0.9474,0.5656,0.5482,0.6004,2.962,0.654,0.5656,0.2371
26,0.5789,0.9492,0.5789,0.5601,0.5762,2.9095,0.6638,0.5789,0.2149
27,0.5878,0.9596,0.5878,0.566,0.5631,2.2028,0.6802,0.5878,0.2404
