step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1161,0.5645,0.1161,0.0393,1.1949,30.7829,0.0917,0.1161,0.0061
1,0.1995,0.6311,0.1995,0.1087,1.0212,24.9555,0.1632,0.1995,0.0052
2,0.2722,0.7133,0.2722,0.193,0.9144,18.5029,0.2441,0.2722,0.0052
3,0.3537,0.7491,0.3537,0.2687,0.843,16.1993,0.3156,0.3537,0.0049
4,0.3856,0.8097,0.3856,0.3235,0.7905,11.2546,0.3753,0.3856,0.0044
5,0.391,0.832,0.391,0.3268,0.777,9.8015,0.3978,0.391,0.0048
6,0.4326,0.8573,0.4326,0.3702,0.7343,8.2903,0.4482,0.4326,0.0044
7,0.453,0.8739,0.453,0.391,0.7215,6.8894,0.4721,0.453,0.0046
8,0.4707,0.8931,0.4707,0.4244,0.7017,5.4579,0.4936,0.4707,0.0056
9,0.4876,0.9053,0.4876,0.4437,0.6906,4.7185,0.5137,0.4876,0.0036
10,0.5133,0.9177,0.5133,0.4717,0.6625,3.9572,0.551,0.5133,0.0055
11,0.5372,0.9244,0.5372,0.4991,0.6368,3.8572,0.5715,0.5372,0.0045
12,0.5496,0.9365,0.5496,0.5141,0.6164,3.123,0.5918,0.5496,0.005
13,0.5505,0.944,0.5505,0.5119,0.6137,2.439,0.5972,0.5505,0.0044
14,0.5576,0.9456,0.5576,0.5209,0.6096,2.4147,0.5974,0.5576,0.0047
15,0.57,0.9486,0.57,0.5376,0.5903,2.3447,0.612,0.57,0.0048
16,0.5762,0.9559,0.5762,0.5438,0.5869,1.6919,0.6197,0.5762,0.0044
17,0.602,0.9605,0.602,0.576,0.5638,1.6017,0.6426,0.602,0.0046
18,0.6223,0.9631,0.6223,0.603,0.535,1.5205,0.6597,0.6223,0.0052
19,0.6277,0.9649,0.6277,0.6079,0.5317,1.4988,0.6646,0.6277,0.0043
20,0.6348,0.9649,0.6348,0.6151,0.5239,1.489,0.6722,0.6348,0.0043
21,0.6277,0.9652,0.6277,0.6081,0.5256,1.4906,0.6746,0.6277,0.0045
22,0.633,0.9672,0.633,0.6145,0.5171,1.452,0.6817,0.633,0.0043
23,0.6463,0.9672,0.6463,0.6296,0.5095,1.446,0.6819,0.6463,0.005
24,0.6489,0.9671,0.6489,0.631,0.5111,1.4511,0.6831,0.6489,0.0043
25,0.6489,0.9685,0.6489,0.6323,0.5035,1.4105,0.6892,0.6489,0.0043
26,0.6551,0.9707,0.6551,0.6401,0.4944,1.3709,0.7007,0.6551,0.0041
27,0.6551,0.9705,0.6551,0.6402,0.4952,1.3606,0.7061,0.6551,0.0043
28,0.6667,0.9705,0.6667,0.6533,0.4928,1.3564,0.7074,0.6667,0.0043
29,0.672,0.9716,0.672,0.6576,0.4862,1.3231,0.7148,0.672,0.0044
30,0.6676,0.9719,0.6676,0.6537,0.486,1.3233,0.7167,0.6676,0.0042
31,0.6658,0.9721,0.6658,0.6519,0.4845,1.3185,0.7201,0.6658,0.0044
32,0.6693,0.9721,0.6693,0.6556,0.4849,1.3207,0.7213,0.6693,0.0043
33,0.6791,0.9724,0.6791,0.6667,0.4806,1.318,0.7238,0.6791,0.0043
34,0.6791,0.9727,0.6791,0.6661,0.4758,1.3049,0.7297,0.6791,0.0052
35,0.6826,0.9738,0.6826,0.6716,0.4715,1.2854,0.7333,0.6826,0.0045
36,0.6844,0.9739,0.6844,0.6738,0.4676,1.2779,0.7353,0.6844,0.0037
37,0.6826,0.9743,0.6826,0.6718,0.4675,1.2753,0.7364,0.6826,0.0045
38,0.6755,0.9748,0.6755,0.6644,0.4677,1.2676,0.7414,0.6755,0.0044
39,0.6817,0.9746,0.6817,0.6712,0.4669,1.2709,0.7425,0.6817,0.0048
40,0.6773,0.975,0.6773,0.6677,0.4685,1.2717,0.7435,0.6773,0.0043
41,0.6791,0.9753,0.6791,0.671,0.4636,1.2645,0.7454,0.6791,0.005
42,0.6773,0.976,0.6773,0.6712,0.4612,1.2526,0.7463,0.6773,0.0043
43,0.6809,0.9758,0.6809,0.674,0.4621,1.2628,0.7442,0.6809,0.0041
44,0.6764,0.9758,0.6764,0.668,0.4651,1.2713,0.7421,0.6764,0.0042
45,0.6764,0.9767,0.6764,0.6684,0.4585,1.2443,0.7461,0.6764,0.0045
46,0.6746,0.9769,0.6746,0.667,0.4618,1.2535,0.7424,0.6746,0.0042
47,0.6826,0.9765,0.6826,0.6738,0.4581,1.2489,0.7447,0.6826,0.0046
48,0.6853,0.9771,0.6853,0.6773,0.4534,1.237,0.7454,0.6853,0.0044
49,0.6871,0.9769,0.6871,0.6789,0.4565,1.2499,0.7458,0.6871,0.0045
50,0.6853,0.977,0.6853,0.6762,0.4571,1.2588,0.7454,0.6853,0.0043
51,0.6862,0.9775,0.6862,0.6774,0.4541,1.244,0.7496,0.6862,0.0044
52,0.6835,0.9779,0.6835,0.675,0.4532,1.2382,0.75,0.6835,0.0058
53,0.6888,0.9779,0.6888,0.6808,0.4506,1.2322,0.7521,0.6888,0.0043
54,0.6906,0.978,0.6906,0.6829,0.4491,1.2275,0.7524,0.6906,0.0042
55,0.7021,0.9783,0.7021,0.6964,0.446,1.2227,0.7555,0.7021,0.0041
56,0.7012,0.9779,0.7012,0.6948,0.4452,1.2259,0.7536,0.7012,0.0043
57,0.6941,0.9779,0.6941,0.6873,0.4444,1.2246,0.7555,0.6941,0.0041
58,0.6986,0.9781,0.6986,0.6912,0.4418,1.2195,0.7536,0.6986,0.0042
59,0.703,0.9789,0.703,0.6963,0.4409,1.2197,0.7584,0.703,0.0043
