step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1791,0.598,0.1791,0.069,1.0295,28.4889,0.1654,0.1791,0.2712
1,0.2926,0.6756,0.2926,0.179,0.9001,22.5628,0.28,0.2926,0.2336
2,0.3528,0.7343,0.3528,0.2678,0.8308,16.8559,0.3559,0.3528,0.2549
3,0.4477,0.8165,0.4477,0.3921,0.7344,10.4175,0.46,0.4477,0.2639
4,0.5053,0.8658,0.5053,0.4666,0.6722,7.4435,0.528,0.5053,0.3348
5,0.5195,0.8905,0.5195,0.4908,0.656,5.359,0.5553,0.5195,0.4468
6,0.5337,0.9204,0.5337,0.5127,0.6289,3.237,0.5835,0.5337,0.5047
7,0.5434,0.9311,0.5434,0.5242,0.6296,2.5438,0.5978,0.5434,0.5379
8,0.57,0.9456,0.57,0.5556,0.6067,1.7727,0.6214,0.57,0.5594
9,0.5762,0.9481,0.5762,0.568,0.5944,1.7101,0.6362,0.5762,0.5723
10,0.602,0.953,0.602,0.5909,0.5629,1.6124,0.6563,0.602,0.6075
11,0.6099,0.9573,0.6099,0.6028,0.5441,1.5477,0.6653,0.6099,0.6914
12,0.6073,0.9551,0.6073,0.6005,0.5437,1.5648,0.6694,0.6073,0.7189
13,0.6188,0.956,0.6188,0.614,0.5289,1.5287,0.6805,0.6188,0.5081
14,0.6259,0.9571,0.6259,0.6202,0.5254,1.5102,0.683,0.6259,0.5566
15,0.6303,0.9559,0.6303,0.6228,0.5203,1.519,0.6855,0.6303,0.7202
16,0.633,0.9582,0.633,0.6269,0.5147,1.4862,0.6899,0.633,0.8676
17,0.6365,0.9593,0.6365,0.632,0.5093,1.4648,0.6984,0.6365,0.877
18,0.641,0.96,0.641,0.6366,0.5068,1.4599,0.7024,0.641,0.9684
19,0.6569,0.9629,0.6569,0.6518,0.4932,1.4096,0.7127,0.6569,1.0191
20,0.6684,0.9636,0.6684,0.6611,0.4773,1.3771,0.7215,0.6684,1.0228
21,0.6658,0.9659,0.6658,0.6598,0.4717,1.348,0.7267,0.6658,1.0554
22,0.672,0.9677,0.672,0.6643,0.4675,1.3238,0.7341,0.672,0.7268
23,0.6773,0.9688,0.6773,0.6707,0.4672,1.3174,0.7351,0.6773,0.745
24,0.68,0.9687,0.68,0.6727,0.4659,1.3202,0.7372,0.68,0.7827
25,0.6791,0.9704,0.6791,0.6727,0.4599,1.2914,0.7434,0.6791,1.2519
26,0.6888,0.9726,0.6888,0.6829,0.4484,1.2418,0.7535,0.6888,1.413
27,0.6871,0.9754,0.6871,0.681,0.4558,1.2261,0.75,0.6871,1.2496
28,0.695,0.9766,0.695,0.6892,0.45,1.203,0.7555,0.695,1.4029
29,0.703,0.9776,0.703,0.6976,0.4422,1.1751,0.7625,0.703,1.313
30,0.7021,0.978,0.7021,0.6974,0.4419,1.1717,0.761,0.7021,0.9085
31,0.7101,0.9806,0.7101,0.7045,0.4309,1.1206,0.7741,0.7101,0.939
