step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.01
1,0.0426,0.5211,0.0426,0.0035,1.4687,34.5121,0.06,0.0426,0.0114
2,0.0621,0.531,0.0621,0.0076,1.305,33.7523,0.0736,0.0621,0.0151
3,0.0816,0.5378,0.0816,0.0154,1.2408,33.0018,0.0767,0.0816,0.0172
4,0.0887,0.5415,0.0887,0.0253,1.2031,32.267,0.079,0.0887,0.018
5,0.0922,0.5465,0.0922,0.0291,1.165,31.5457,0.082,0.0922,0.0165
6,0.102,0.5542,0.102,0.0371,1.1327,30.8189,0.0903,0.102,0.017
7,0.1215,0.5638,0.1215,0.048,1.1024,30.0765,0.1051,0.1215,0.0191
8,0.1401,0.575,0.1401,0.0635,1.0691,29.3278,0.1226,0.1401,0.0167
9,0.1605,0.5859,0.1605,0.0796,1.0452,28.5872,0.1346,0.1605,0.0174
10,0.1684,0.592,0.1684,0.0876,1.0271,27.8682,0.1402,0.1684,0.0172
11,0.1702,0.598,0.1702,0.0921,1.0131,27.1573,0.1426,0.1702,0.0183
12,0.1773,0.604,0.1773,0.1011,0.9996,26.4412,0.1507,0.1773,0.0191
13,0.1702,0.6035,0.1702,0.1085,1.0109,26.4436,0.1505,0.1702,0.0191
14,0.1738,0.6055,0.1738,0.1135,1.0014,25.7505,0.1509,0.1738,0.0251
15,0.1702,0.6086,0.1702,0.109,0.9987,25.7373,0.1544,0.1702,0.0252
16,0.1729,0.6102,0.1729,0.111,1.0009,25.7301,0.1561,0.1729,0.0267
17,0.1826,0.62,0.1826,0.1171,0.9911,25.0025,0.1639,0.1826,0.0278
18,0.1835,0.6269,0.1835,0.1193,0.9837,24.3023,0.1666,0.1835,0.0278
19,0.1906,0.6348,0.1906,0.1286,0.9725,23.5918,0.1729,0.1906,0.0268
20,0.2021,0.637,0.2021,0.1374,0.9648,23.5687,0.179,0.2021,0.0276
21,0.2216,0.6489,0.2216,0.1512,0.945,22.822,0.1975,0.2216,0.0286
22,0.2278,0.6491,0.2278,0.155,0.9388,22.8092,0.1993,0.2278,0.0281
