step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1161,0.5662,0.1161,0.05,1.1434,30.076,0.1002,0.1161,0.0138
1,0.1844,0.6295,0.1844,0.1025,1.0231,24.3017,0.152,0.1844,0.0737
2,0.2349,0.6901,0.2349,0.1614,0.9623,18.6498,0.2247,0.2349,0.0548
3,0.3041,0.7472,0.3041,0.2322,0.8934,14.9651,0.293,0.3041,0.1163
4,0.367,0.7834,0.367,0.3031,0.8498,12.7146,0.3643,0.367,1.5894
5,0.4007,0.8229,0.4007,0.3458,0.8078,9.8615,0.4065,0.4007,2.042
6,0.4335,0.8482,0.4335,0.39,0.772,7.725,0.4402,0.4335,4.384
7,0.4406,0.8784,0.4406,0.4023,0.7521,5.6238,0.4665,0.4406,3.0729
8,0.4734,0.9023,0.4734,0.4416,0.7213,4.1502,0.5026,0.4734,5.1829
9,0.4796,0.9225,0.4796,0.4414,0.7037,2.7526,0.5234,0.4796,5.2353
10,0.5151,0.9319,0.5151,0.4873,0.6668,1.9847,0.5619,0.5151,4.9586
11,0.5408,0.9379,0.5408,0.5117,0.6393,1.91,0.5819,0.5408,3.0091
12,0.555,0.9418,0.555,0.532,0.631,1.8455,0.5986,0.555,6.329
13,0.5621,0.9473,0.5621,0.5452,0.6126,1.7341,0.6217,0.5621,6.407
14,0.5709,0.9485,0.5709,0.5505,0.6092,1.721,0.6252,0.5709,5.6752
15,0.5736,0.9527,0.5736,0.5513,0.5978,1.6734,0.6337,0.5736,3.3111
16,0.5833,0.9539,0.5833,0.5614,0.5882,1.638,0.6472,0.5833,6.8881
17,0.5824,0.9535,0.5824,0.5667,0.5907,1.645,0.6437,0.5824,7.3354
18,0.5931,0.9557,0.5931,0.5767,0.5773,1.6147,0.6466,0.5931,5.3481
19,0.6028,0.9579,0.6028,0.5884,0.5666,1.5818,0.6567,0.6028,4.4938
20,0.6117,0.962,0.6117,0.5982,0.5535,1.5263,0.6663,0.6117,5.4771
21,0.6232,0.9617,0.6232,0.6079,0.5463,1.5155,0.6732,0.6232,7.7755
22,0.6356,0.9627,0.6356,0.6207,0.5286,1.4785,0.681,0.6356,7.4428
23,0.6472,0.9651,0.6472,0.6298,0.5121,1.4363,0.6879,0.6472,9.3404
24,0.6543,0.9661,0.6543,0.6378,0.4984,1.4086,0.6942,0.6543,7.4007
25,0.6622,0.9656,0.6622,0.6452,0.4969,1.4109,0.6947,0.6622,6.5429
26,0.6596,0.9661,0.6596,0.6425,0.4895,1.3916,0.7007,0.6596,7.7328
27,0.656,0.9691,0.656,0.6407,0.4902,1.3627,0.7029,0.656,7.07
28,0.6631,0.9716,0.6631,0.6498,0.4825,1.3073,0.7129,0.6631,9.0205
29,0.6693,0.9721,0.6693,0.6549,0.4769,1.2887,0.7144,0.6693,7.6164
30,0.6746,0.9743,0.6746,0.6662,0.4625,1.2295,0.7245,0.6746,7.3035
31,0.6791,0.9748,0.6791,0.672,0.4586,1.2263,0.726,0.6791,4.7292
32,0.6844,0.976,0.6844,0.6786,0.451,1.1919,0.7335,0.6844,9.8461
33,0.6826,0.9765,0.6826,0.6788,0.4546,1.1987,0.7351,0.6826,5.6941
34,0.6835,0.9759,0.6835,0.6794,0.454,1.2076,0.7386,0.6835,5.8613
35,0.6817,0.9766,0.6817,0.68,0.4568,1.2008,0.7408,0.6817,1.5097
36,0.6826,0.9773,0.6826,0.6806,0.4501,1.1883,0.7441,0.6826,7.4907
37,0.6817,0.9775,0.6817,0.6811,0.4491,1.1729,0.7443,0.6817,5.4012
38,0.6915,0.9784,0.6915,0.6917,0.4382,1.1434,0.7544,0.6915,6.453
39,0.695,0.9789,0.695,0.692,0.4357,1.1462,0.759,0.695,6.9916
40,0.6959,0.9792,0.6959,0.6939,0.432,1.1352,0.7584,0.6959,7.0858
41,0.703,0.9797,0.703,0.7033,0.4287,1.1272,0.7609,0.703,1.0626
42,0.7074,0.9801,0.7074,0.7076,0.4225,1.1171,0.765,0.7074,1.23
43,0.7083,0.9806,0.7083,0.7098,0.42,1.0967,0.7696,0.7083,4.3288
44,0.7092,0.9804,0.7092,0.709,0.4194,1.104,0.7689,0.7092,7.4913
45,0.703,0.9807,0.703,0.7028,0.4186,1.1017,0.7706,0.703,1.1092
46,0.7128,0.9808,0.7128,0.7131,0.4117,1.0921,0.7742,0.7128,1.0223
47,0.7199,0.9816,0.7199,0.7196,0.4102,1.0816,0.7777,0.7199,9.8574
48,0.7296,0.9813,0.7296,0.7286,0.405,1.0747,0.7804,0.7296,1.9525
49,0.7154,0.9818,0.7154,0.7149,0.4121,1.0794,0.7791,0.7154,5.702
50,0.7163,0.9817,0.7163,0.7154,0.4098,1.0744,0.7789,0.7163,1.7921
51,0.7119,0.9821,0.7119,0.711,0.411,1.0727,0.7806,0.7119,13.3587
52,0.7181,0.9821,0.7181,0.717,0.4079,1.0729,0.7829,0.7181,11.1047
53,0.7207,0.9825,0.7207,0.7191,0.4103,1.0822,0.7803,0.7207,12.5481
54,0.719,0.9823,0.719,0.7176,0.4118,1.0894,0.7797,0.719,1.5311
55,0.7261,0.9822,0.7261,0.7248,0.4067,1.0877,0.7827,0.7261,1.8092
56,0.7296,0.9824,0.7296,0.7278,0.4053,1.0884,0.7816,0.7296,1.1582
57,0.7296,0.9823,0.7296,0.727,0.4036,1.0829,0.7826,0.7296,2.0783
58,0.7367,0.9827,0.7367,0.7336,0.3962,1.069,0.7869,0.7367,2.5871
59,0.7367,0.9829,0.7367,0.7331,0.394,1.0765,0.7852,0.7367,3.4952
