step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.0073
1,0.039,0.5161,0.039,0.0033,1.6076,34.5167,0.0377,0.039,0.0711
2,0.0523,0.5264,0.0523,0.0114,1.4806,33.7683,0.0471,0.0523,0.0503
3,0.0691,0.5353,0.0691,0.0156,1.3821,33.0184,0.0526,0.0691,0.0505
4,0.0718,0.5364,0.0718,0.0188,1.3261,32.3094,0.0559,0.0718,0.0497
5,0.0878,0.546,0.0878,0.0301,1.2653,31.562,0.0728,0.0878,0.0505
6,0.1082,0.5563,0.1082,0.0424,1.2086,30.8095,0.0931,0.1082,0.0485
7,0.1161,0.5607,0.1161,0.0468,1.1837,30.0969,0.0979,0.1161,0.0501
8,0.1215,0.5702,0.1215,0.0542,1.156,29.3724,0.1056,0.1215,0.0495
9,0.1303,0.5787,0.1303,0.0622,1.1257,28.6473,0.1113,0.1303,0.0495
10,0.1445,0.5889,0.1445,0.0683,1.1285,27.9099,0.1214,0.1445,0.0501
11,0.1507,0.5961,0.1507,0.074,1.108,27.1921,0.1277,0.1507,0.0524
12,0.1516,0.5987,0.1516,0.0758,1.097,26.5047,0.1279,0.1516,0.0489
13,0.1658,0.6085,0.1658,0.088,1.0714,25.7692,0.1447,0.1658,0.0489
14,0.1764,0.6169,0.1764,0.0959,1.0518,25.0429,0.1528,0.1764,0.0493
15,0.18,0.626,0.18,0.102,1.0378,24.3283,0.1615,0.18,0.0745
16,0.1959,0.6267,0.1959,0.1089,1.018,24.295,0.1722,0.1959,0.0489
17,0.2074,0.6357,0.2074,0.1228,1.0018,23.5734,0.186,0.2074,0.0497
18,0.2101,0.6372,0.2101,0.1243,0.9982,23.5697,0.1866,0.2101,0.049
19,0.2172,0.6376,0.2172,0.1248,0.991,23.5648,0.1876,0.2172,0.0659
20,0.2278,0.6463,0.2278,0.1343,0.9783,22.8494,0.1936,0.2278,0.0487
21,0.2296,0.652,0.2296,0.138,0.9709,22.1554,0.1965,0.2296,0.05
22,0.2296,0.6527,0.2296,0.1385,0.9691,22.1573,0.1976,0.2296,0.0488
23,0.25,0.6653,0.25,0.1523,0.9486,21.4087,0.217,0.25,0.0481
24,0.2509,0.6722,0.2509,0.1586,0.9757,20.7122,0.2224,0.2509,0.0479
25,0.266,0.6835,0.266,0.1762,0.9599,19.9776,0.2395,0.266,0.0489
26,0.2651,0.6838,0.2651,0.1782,0.9586,19.9818,0.2398,0.2651,0.0474
27,0.266,0.69,0.266,0.18,0.9568,19.2992,0.2408,0.266,0.0474
28,0.2837,0.701,0.2837,0.1971,0.9371,18.5619,0.2591,0.2837,0.048
29,0.2917,0.7014,0.2917,0.206,0.9281,18.5382,0.2639,0.2917,0.0463
30,0.2943,0.702,0.2943,0.2071,0.9252,18.5372,0.2658,0.2943,0.046
31,0.2881,0.7022,0.2881,0.2056,0.926,18.5442,0.2666,0.2881,0.0438
32,0.289,0.7027,0.289,0.2076,0.924,18.532,0.2674,0.289,0.0482
33,0.2988,0.7126,0.2988,0.2204,0.9127,17.8082,0.2795,0.2988,0.0462
34,0.3032,0.7192,0.3032,0.2264,0.9068,17.1146,0.2842,0.3032,0.046
35,0.3059,0.7272,0.3059,0.2319,0.9058,16.4121,0.2902,0.3059,0.0472
36,0.3209,0.739,0.3209,0.2496,0.8875,15.6702,0.3125,0.3209,0.0411
37,0.3218,0.7389,0.3218,0.2499,0.885,15.668,0.3133,0.3218,0.0463
38,0.3218,0.7392,0.3218,0.2501,0.8838,15.6663,0.3134,0.3218,0.0455
39,0.3138,0.7464,0.3138,0.2485,0.8847,14.9823,0.3166,0.3138,0.0464
40,0.3121,0.7526,0.3121,0.2531,0.8896,14.3027,0.3163,0.3121,0.046
41,0.3138,0.7531,0.3138,0.2527,0.8877,14.3046,0.3178,0.3138,0.047
42,0.3129,0.7524,0.3129,0.2552,0.8855,14.2954,0.317,0.3129,0.0447
43,0.3271,0.7642,0.3271,0.2712,0.8672,13.5595,0.3342,0.3271,0.0483
